"quittons, quittons notre vaine querelle, ne nous disputons point nos talents tour à tour.","unissons-nous…"
"j'y consens. qu'il me passe mon émétique pour la malade dont il s'agit  et je lui passerai tout ce qu'il voudra pour le premier malade dont il sera question."," et soyons de concert auprès des malades pour nous attribuer les heureux succès de la maladie  et rejeter sur la nature toutes les bévues de notre art. n'allons point"
"j'y consens. qu'il me passe mon émétique pour la malade dont il s'agit  et je lui passerai tout ce qu'il voudra pour le premier malade dont il sera question.","dis-je détruire sottement les heureuses préventions d'une erreur qui donne du pain à tant de personnes."
"cela est fait.","allons donc, messieurs, mettez bas toute rancune, et faisons ici votre accommodement."
"quoi, messieurs, vous voilà, et vous ne songez pas à réparer le tort qu'on vient de faire à la médecine.","on ne peut pas mieux dire. et voilà se mettre à la raison."
"un insolent qui a eu l'effronterie d'entreprendre sur votre métier :  et qui sans votre ordonnance vient de tuer un homme d'un grand coup d'épée au travers du corps.","touchez donc là. adieu. une autre fois, montrez plus de prudence."
"je vous permets de me tuer, lorsque j'aurai recours à vous.","comment, qu'est-ce ?"
"le mieux du monde  et je vous attendais avec impatience. enfin le ciel m'a faite d'un naturel le plus humain du monde  et je ne puis voir deux amants soupirer l'un pour l'autre","écoutez, vous faites la railleuse : mais vous passerez par nos mains quelque jour."
"qu'il ne me prenne une tendresse charitable  et un désir ardent de soulager les maux qu'ils souffrent. je veux à quelque prix que ce soit tirer lucinde de la tyrannie où elle est","écoutez, vous faites la railleuse : mais vous passerez par nos mains quelque jour."
" et la mettre en votre pouvoir. vous m'avez plu d'abord je me connais en gens  et elle ne peut pas mieux choisir. l'amour risque des choses extraordinaires","écoutez, vous faites la railleuse : mais vous passerez par nos mains quelque jour."
" et nous avons concerté ensemble une manière de stratagème qui pourra peut-être nous réussir. toutes nos mesures sont déjà prises. l'homme à qui nous avons affaire n'est pas des plus fins de ce monde :","écoutez, vous faites la railleuse : mais vous passerez par nos mains quelque jour."
" et si cette aventure nous manque nous trouverons mille autres voies pour arriver à notre but. attendez-moi là seulement je reviens vous quérir.","écoutez, vous faites la railleuse : mais vous passerez par nos mains quelque jour."
"qu'est-ce ?","hé bien, lisette, me trouves-tu bien ainsi ?"
"de quoi ?","monsieur, allégresse ! allégresse !"
"dis-moi donc ce que c'est, et puis je me réjouirai peut-être.","réjouissez-vous."
"sur quoi ?","réjouissez-vous, vous dis-je."
"allons donc, la lera la la, la lera la. que diable !","non, je veux que vous vous réjouissiez auparavant : que vous chantiez, que vous dansiez."
"ma fille est guérie !","sur ma parole."
"où est-il ?","monsieur, votre fille est guérie."
"il faut voir si celui-ci fera plus que les autres.","oui je vous amène un médecin :  mais un médecin d'importance qui fait des cures merveilleuses"
"voilà un médecin qui a la barbe bien jeune.","je vais le faire entrer."
"monsieur, on m'a dit que vous aviez des remèdes admirables, pour faire aller à la selle.","le voici."
"que vous ai-je dit ?","la science ne se mesure pas à la barbe ; et ce n'est pas par le menton qu'il est habile."
"monsieur, comme votre fille est là toute habillée dans une chaise, je vais la faire passer ici.","monsieur mes remèdes sont différents de ceux des autres : ils ont l'émétique les saignées les médecines  et les lavements :  mais moi je guéris par des paroles"
"monsieur, comme votre fille est là toute habillée dans une chaise, je vais la faire passer ici.","par des sons par des lettres par des talismans  et par des anneaux constellés."
"votre fille est bien malade.","voilà un grand homme."
"oui, par la sympathie qu'il y a entre le père et la fille.","oui, fais."
"pourquoi ? je veux demeurer là.","vous connaissez cela ici ?"
"ah ! madame que le ravissement où je me trouve est grand !  et que je sais peu par où vous commencer mon discours. tant que je ne vous ai parlé que des yeux j'avais ce me semblait","tenez, monsieur, voilà une chaise auprès d'elle. allons, laissez-les là tous deux."
"cent choses à vous dire :  et maintenant que j'ai la liberté de vous parler de la façon que je souhaitais je demeure interdit :  et la grande joie où je suis étouffe toutes mes paroles.","tenez, monsieur, voilà une chaise auprès d'elle. allons, laissez-les là tous deux."
"ah madame ! que je serais heureux ! s'il était vrai que vous sentissiez tout ce que je sens  et qu'il me fût permis de juger de votre âme par la mienne. mais","vous moquez-vous ? il faut s'éloigner, un médecin a cent choses à demander, qu'il n'est pas honnête qu'un homme entende."
"madame puis-je au moins croire que ce soit à vous à qui je doive la pensée de c","vous moquez-vous ? il faut s'éloigner, un médecin a cent choses à demander, qu'il n'est pas honnête qu'un homme entende."
"il me semble qu'il lui parle de bien près.","je puis vous dire la même chose, et je sens comme vous des mouvements de joie, qui m'empêchent de pouvoir parler."
"serez-vous constante, madame, dans ces bontés que vous me témoignez ?","si vous ne m'en devez pas la pensée vous m'êtes redevable au moins d'en avoir approuvé la proposition avec beaucoup de joie."
"ah ! madame jusqu'à la mort. je n'ai point de plus forte envie que d'être à vous  et je vais le faire paraître dans ce que vous m'allez voir faire.","c'est qu'il observe sa physionomie, et tous les traits de son visage."
"c'est que j'ai déjà fait agir sur elle un de ces remèdes que mon art m'enseigne. comme l'esprit a grand empire sur le corps  et que c'est de lui bien souvent que procèdent les maladies","mais vous, serez-vous ferme dans les résolutions que vous avez montrées ?"
"ma coutume est de courir à guérir les esprits avant que de venir au corps. j'ai donc observé ses regards les traits de son visage  et les lignes de ses deux mains :","mais vous, serez-vous ferme dans les résolutions que vous avez montrées ?"
" et par la science que le ciel m'a donnée j'ai reconnu que c'était de l'esprit qu'elle était malade  et que tout son mal ne venait que d'une imagination déréglée","mais vous, serez-vous ferme dans les résolutions que vous avez montrées ?"
"d'un désir dépravé de vouloir être mariée. pour moi je ne vois rien de plus extravagant ","mais vous, serez-vous ferme dans les résolutions que vous avez montrées ?"
"et j'ai eu, et aurai pour lui, toute ma vie, une aversion effroyable.","hé bien, notre malade, elle me semble un peu plus gaie."
"mais comme il faut flatter l'imagination des malades  et que j'ai vu en elle de l'aliénation d'esprit :  et même qu'il y avait du péril à ne lui pas donner un prompt secours ","voilà un habile homme !"
"je l'ai prise par son faible  et lui ai dit que j'étais venu ici pour vous la demander en mariage. soudain son visage a changé son teint s'est éclairci ses yeux se sont animés :","voilà un habile homme !"
" et si vous voulez pour quelques jours l'entretenir dans cette erreur","voilà un habile homme !"
"après nous ferons agir d'autres remèdes pour la guérir entièrement de cette fantaisie.","voilà un grand médecin."
"hélas, est-il possible ?","oui-da, je le veux bien."
"mais, tout de bon ?","oui cela est le mieux du monde. hé bien ma fille voilà monsieur qui a envie de t'épouser"
"quoi, vous êtes dans les sentiments d'être mon mari ?","oui."
"et mon père y consent ?","oui, oui."
"ah, que je suis heureuse, si cela est véritable !","oui, madame."
"c'est me donner des marques d'un amour bien tendre, et j'y suis sensible autant que je puis.","oui, ma fille."
"vous voulez donc bien, mon père, me donner monsieur pour époux ?","n'en doutez point madame ce n'est pas d'aujourd'hui que je vous aime  et que je brûle de me voir votre mari je ne suis venu ici que pour cela :"
"vous voulez donc bien, mon père, me donner monsieur pour époux ?"," et si vous voulez que je vous dise nettement les choses comme elles sont c et habit n'est qu'un pur prétexte inventé  et je n'ai fait le médecin que pour m'approcher de vous"
"mais, monsieur…","oh ! la folle ! oh ! la folle ! oh ! la folle !"
"acceptez pour gage de ma foi c et anneau que je vous donne. c'est un anneau constellé","oui, çà donne-moi ta main. donnez-moi un peu aussi la vôtre, pour voir."
"hélas ! je le veux bien, madame. à sganarelle","non, non, c'est pour… pour lui contenter l'esprit. touchez là. voilà qui est fait."
"je vais faire monter l'homme qui écrit mes remèdes, et lui faire croire que c'est un notaire.","non, non, c'est pour… pour lui contenter l'esprit. touchez là. voilà qui est fait."
"holà, faites monter le notaire que j'ai amené avec moi.","faisons donc le contrat, afin que rien n'y manque."
"oui, madame.","fort bien."
"oh la folle ! oh la folle ! le notaire, clitandre, sganarelle, lucinde, lisette .","quoi, vous aviez amené un notaire ?"
"clitandre parle au notaire à l'oreille.","quoi, vous aviez amené un notaire ?"
"je vous suis bien obligée, mon père.","j'en suis ravie."
"voilà un contrat bientôt bâti.","oui, monsieur, il faut faire un contrat pour ces deux personnes-là. écrivez (voilà le contrat qu'on fait) (le notaire écrit.)"
"voilà un contrat bientôt bâti.","je lui donne vingt mille écus en mariage. écrivez."
"hé non vous dis-je sait-on pas bien ? allons donnez-lui la plume pour signer.","voilà qui est fait, vous n'avez qu'à venir signer."
"hé bien, tiens. es-tu contente ?","au moins…"
"voilà qui est bien, voilà qui est bien.","non, non, je veux avoir le contrat entre mes mains."
"sans nous tous les hommes deviendraient mal sains :","plus qu'on ne peut s'imaginer."
"et c'est nous qui sommes leurs grands médecins.","plus qu'on ne peut s'imaginer."
"sans nous… durant qu'ils chantent, et que les jeux, les ris, et les plaisirs dansent, clitandre emmène lucinde.","au reste je n'ai pas eu seulement la précaution d'amener un notaire j'ai eu celle encore de faire venir des voix et des instruments pour célébrer la fête"
"sans nous… durant qu'ils chantent, et que les jeux, les ris, et les plaisirs dansent, clitandre emmène lucinde."," et pour nous réjouir. qu'on les fasse venir. ce sont des gens que je mène avec moi  et dont je me sers tous les jours pour pacifier avec leur harmonie les troubles de l'esprit."
"ils sont allés achever le reste du mariage.","veut-on qu'on rabatte par des moyens doux,"
"ils sont allés achever le reste du mariage.","les vapeurs de rate qui vous minent tous,"
"ils sont allés achever le reste du mariage.","qu'on laisse hippocrate, et qu'on vienne à nous."
