"répands, charmante nuit, répands sur tous les yeux, de tes pavots la douce violence,","que soupirer d'amour est une douce chose,"
"je les approuve tous *manibus  et pedibus descendo in tuam sententiam*.tout ce que j'y voudrais c'est de faire les saignées et les purgations en nombre impair","si vous êtes médecins, je n'ai que faire de vous ; et je me moque de la médecine."
"*numero deus impari gaudet* : de prendre le lait clair avant le bain  de lui composer un fronteau où il entre du sel le sel est symbole de la sagesse :","si vous êtes médecins, je n'ai que faire de vous ; et je me moque de la médecine."
"de faire blanchir les murailles de sa chambre pour dissiper les ténèbres de ses esprits *album est disgregativum visus*  et de lui donner tout à l'heure un petit lavement","si vous êtes médecins, je n'ai que faire de vous ; et je me moque de la médecine."
"pour servir de prélude et d'introduction à ces judicieux remèdes dont s'il a à guérir il doit recevoir du soulagement. fasse le ciel que ces remèdes","si vous êtes médecins, je n'ai que faire de vous ; et je me moque de la médecine."
"monsieur qui sont les vôtres réussissent au malade selon notre intention.","si vous êtes médecins, je n'ai que faire de vous ; et je me moque de la médecine."
"non, monsieur, nous ne jouons point.","mon père et ma mère n'ont jamais voulu de remèdes, et ils sont morts tous deux sans l'assistance des médecins."
"bon dire des injures. voilà un diagnostique qui nous manquait pour la confirmation de son mal","que diable est-ce là ? les gens de ce pays-ci sont-ils insensés ? je n'ai ja mais rien vu de tel  et je n'y comprends rien du tout."
"autre diagnostique : la sputation fréquente.","altro non è la pazzia che malinconia."
"autre diagnostique : la sputation fréquente.","il malato non è disperato,"
"autre diagnostique : la sputation fréquente.","se vol pigliar un poco d'allegria altro non è la pazzia"
"autre diagnostique : la sputation fréquente.","che malinconia. L’APOTHICAIRE"
"autre diagnostique : la sputation fréquente.","monsieur, voici un petit remède, un petit remède, qu'il vous faut prendre, s'il vous plaît, s'il vous plaît. L’APOTHICAIRE"
"autre diagnostique : la sputation fréquente.","il a été ordonné, monsieur, il a été ordonné. L’APOTHICAIRE"
"autre diagnostique : la sputation fréquente.","prenez-le, monsieur, prenez-le : il ne vous fera point de mal, il ne vous fera point de mal. L’APOTHICAIRE"
"autre diagnostique : la sputation fréquente.","c'est un petit clystère un petit clystère bénin bénin  il est bénin bénin : là prenez prenez prenez monsieur  c'est pour déterger"
"autre encore : l'inquiétude de changer de place.","allez-vous-en au diable. l'apothicaire, les deux musiciens, et les matassins le suivent, tous une seringue à la main."
"vous guérir, selon l'ordre qui nous a été donné.","c'est être bien ennemi de soi-même, que de fuir des remèdes aussi salutaires que les vôtres."
"oui.","vous l'auriez guéri haut la main."
"mauvais signe, lorsqu'un malade ne sent pas son mal.","cependant voilà cinquante pistoles bien acquises, qu'il vous fait perdre."
"nous savons mieux que vous comment vous vous portez, et nous sommes médecins, qui voyons clair dans votre constitution.","vous avez raison, vos remèdes étaient un coup sûr, et c'est de l'argent qu'il vous vole."
"hon, hon ; voici un homme plus fou que nous ne pensons.","chez le bon homme oronte assurément dont il vient épouser la fille  et qui ne sachant rien de l'infirmité de son gendre futur voudra peut-être se hâter de conclure le mariage."
"je ne m'étonne pas s'ils ont engendré un fils qui est insensé. allons procédons à la curation  et par la douceur exhilarante de l'harmonie","vous ne ferez point mal."
"adoucissons lénifions  et accroissons l'aigreur de ses esprits","vous ne ferez point mal."
"bon *di*, bon *di*, bon *di*, non vi lasciate uccidere","c'est fort bien dit à vous  et si vous m'en croyez vous ne souffrirez point qu'il se marie"
"dal dolor malinconico, noi vi faremo ridere","c'est fort bien dit à vous  et si vous m'en croyez vous ne souffrirez point qu'il se marie"
"col nostro canto harmonico, sol'per guarirui","c'est fort bien dit à vous  et si vous m'en croyez vous ne souffrirez point qu'il se marie"
"siamo venuti qui bon *di*, bon *di*, bon *di*.","c'est fort bien dit à vous  et si vous m'en croyez vous ne souffrirez point qu'il se marie"
"2 MUSICIEN sù, cantate, ballate, ridete ;","c'est fort bien dit à vous  et si vous m'en croyez vous ne souffrirez point qu'il se marie"
"e se far meglio volete, quando sentite il deliro vicino,","c'est fort bien dit à vous  et si vous m'en croyez vous ne souffrirez point qu'il se marie"
"pigliate del vino, e qualche volta un *po po* di tabac","c'est fort bien dit à vous  et si vous m'en croyez vous ne souffrirez point qu'il se marie"
"alegramente, monsu pourceaugnac.","c'est fort bien dit à vous  et si vous m'en croyez vous ne souffrirez point qu'il se marie"
"comment ? je n'ai que faire de cela.","je vais de mon côté dresser une autre batterie, et le beau-père est aussi dupe que le gendre."
"ah, que de bruit.","oui, je l'attends de limoges, et il devrait être arrivé."
"ah.","comment donc ?"
"piglialo su signor monsù,","il a quelque mal ?"
"piglialo, piglialo, piglialo su, che non ti farà male,","il a quelque mal ?"
"piglialo su questo servitiale, piglialo su","il a quelque mal ?"
"signor monsù, piglialo, piglialo, piglialo su.","il a quelque mal ?"
"il a forcé tous les obstacles que j'avais mis ; et s'est dérobé aux remèdes que je commençais de lui faire.","et quel mal, s'il vous plaît ?"
"marque d'un cerveau démonté, et d'une raison dépravée, que de ne vouloir pas guérir.","est-ce quelque mal…"
"sans doute, quand il y aurait eu complication de douze maladies.","je n'ai garde, si cela est, de faire le mariage."
"moi je n'entends point les perdre  et prétends le guérir en dépit qu'il en ait. il est lié et engagé à mes remèdes  et je veux le faire saisir où je le trouverai","à la bonne heure."
"comme déserteur de la médecine  et infracteur de mes ordonnances.","à la bonne heure."
"où puis-je en avoir des nouvelles ?","j'y consens."
"je vais lui parler tout à l'heure.","je le veux bien."
"il est hypothéqué à mes consultations ; et un malade ne se moquera pas d'un médecin.","je me porte bien."
"laissez-moi faire.","prenez qui vous voudrez, mais ce ne sera pas moi. voyez un peu la belle raison."
"vous avez, monsieur, un certain monsieur de pourceaugnac, qui doit épouser votre fille.","quoi, monsieur ?"
"aussi l'est-il  et il s'en est fui de chez moi après y avoir été mis   mais je vous défends de la part de la médecine de procéder au mariage que vous avez conclu","dites-moi, monsieur, ce que vous voulez."
"que je ne l'aie dûment préparé pour cela  et mis en état de procréer des enfants bien conditionnés ","dites-moi, monsieur, ce que vous voulez."
"votre prétendu gendre a été constitué mon malade : sa maladie qu'on m'a donné à guérir est un meuble qui m'appartient  et que je compte entre mes effets ","soit. qu'y a-t-il, monsieur ?"
" et je vous déclare que je ne prétends point qu'il se marie qu'au préalable il n'ait satisfait à la médecine","soit. qu'y a-t-il, monsieur ?"
"oui.","oui, je le connais."
"ne vous en mettez pas en peine.","c'est un homme comme les autres."
"les médecins sont obligés au secret : il suffit que je vous ordonne à vous et à votre fille de ne point célébrer sans mon consentement","oui."
"vos noces avec lui sur peine d'encourir la disgrâce de la faculté  et d'être accablés de toutes les maladies qu'il nous plaira.","oui."
"on me l'a mis entre les mains, et il est obligé d'être mon malade.","oui."
"il a beau fuir, je le ferai condamner par arrêt à se faire guérir par moi.","mais pourquoi cela ?"
"oui, il faut qu'il crève, ou que je le guérisse.","mais encore, pourquoi ?"
"et si je ne le trouve, je m'en prendrai à vous, et je vous guérirai au lieu de lui.","hé bien."
"il n'importe, il me faut un malade, et je prendrai qui je pourrai.","ce monsieur de pourceaugnac doit beaucoup à dix ou douze marchands ?"
"montsir avec le vostre permissione je suisse un trancher marchant flamane","hon, hon, il a remis là à payer ses créanciers ?"
"mettez le vostre chapeau sur le teste, montsir, si ve plaist.","l'avis n'est pas mauvais. je vous donne le bonjour."
"moi le dire rien, montsir, si vous le mettre pas le chapeau sur le teste.","votre très humble valet."
"fous connaistre point en sti file un certe montsir oronte ?","*piglialo su, piglialo su, signor monsù*. que diable est-ce là ? ah !"
"et quel homme est-ile, montsir, si ve plaist ?","tout ce que je vois, me semble lavement."
"je vous temande, montsir, s'il est un homme riche qui a du bienne ?","vous ne savez pas ce qui m'est arrivé dans ce logis à la porte duquel vous m'avez conduit ?"
"mais riche beaucoup grandement, montsir ?","je pensais y être régalé comme il faut."
"j'en suis aise beaucoup, montsir.","je vous laisse entre les mains de monsieur. des médecins habillés de noir. dans une chaise. tâter le pouls. comme ainsi soit. il est fou."
"j'en suis aise beaucoup, montsir.","deux gros joufflus. grands chapeaux. *buon dì buon dì*.six pantalons. ta ra ta ta : ta ra ta ta. *allegramente monsù pourceaugnac*."
"j'en suis aise beaucoup, montsir.","apothicaire. lavement. prenez monsieur prenez prenez. il est bénin bénin bénin. c'est pour déterger pour déterger déterger. *piglialo su"
"j'en suis aise beaucoup, montsir.","signor monsù piglialo piglialo piglialo su*. ja mais je n'ai été si soûl de sottises."
"l'est, montsir, pour un petit raisonne de conséquence pour nous.","cela veut dire que c et homme-là avec ses grandes embrassades est un fourbe qui m'a mis dans une maison pour se moquer de moi"
"l'est, montsir, que sti montsir oronte donne son fille en mariage à un certe montsir de pourcegnac.","sans doute ils étaient une douzaine de possédés après mes chausses   et j'ai eu toutes les peines du monde à m'échapper de leurs pattes."
" et sti montsir de pourcegnac montsir l'est un homme que doivre beaucoup grandement à dix ou douze marchanne flamane qui estre venu ici.","ne sens-je point le lavement ? voyez, je vous prie."
"oui montsir   et depuis huite mois nous avoir obtenir un petit santence contre lui  et lui à remettre à payer tou ce créanciers de sti mariage que sti montsir oronte donne pour son fille.","j'ai l'odorat et l'imagination tout rempli de cela  et il me semble toujours que je vois une douzaine de lavements qui me couchent en joue."
"oui, montsir, et avec un grant dévotion nous tous attendre sti mariage.","enseignez-moi, de grâce, le logis de monsieur oronte ; je suis bien aise d'y aller tout à l'heure."
"je remercie, montsir, de la faveur grande.","oui, je viens l'épouser."
"je le suis montsir obliger plus que beaucoup du bon nouvel que montsir m'avoir donné. cela ne va pas mal quittons notre ajustement de flamand pour songer à d'autres machines ","oui."
" et tâchons de semer tant de soupçons  et de division entre le beau-père  et le gendre que cela rompe le mariage prétendu. tous deux également sont propres à gober les hameçons qu'on leur veut tendre ","oui."
" et entre nous autres fourbes de la première classe nous ne faisons que nous jouer","oui."
"qu'est-ce, monsieur, qu'avez-vous ?","de quelle façon donc ?"
"comment ?","qu'est-ce que cela veut dire ?"
"non vraiment, qu'est-ce que c'est ?","mais encore ?"
"hé bien ?","je vous prie de me dire ce qu'il y a là-dessous."
"qu'est-ce que tout cela veut dire ?","de grâce."
"cela est-il possible ?","est-ce que vous n'êtes pas de mes amis ?"
"voyez un peu les mines sont bien trompeuses ! je l'aurais cru le plus affectionné de vos amis. voilà un de mes étonnements comme il est possible qu'il y ait des fourbes comme cela dans le monde.","vous devez donc ne me rien cacher."
"eh il y a quelque petite chose qui approche de cela.","afin de vous obliger à m'ouvrir votre cœur, voilà une petite bague que je vous prie de garder pour l'amour de moi."
"voilà une méchanceté bien grande ! et les hommes sont bien traîtres et scélérats !","l'on me veut donc prendre pour dupe ?"
"ah, ah, vous êtes donc de complexion amoureuse, et vous avez ouï parler que ce monsieur oronte a une fille…","je suis votre serviteur je ne me veux point mettre sur la tête un chapeau comme celui-là  et l'on aime à aller le front levé dans la famille des pourceaugnac."
"l'é… l'épouser ?","ce vieillard-là ? M POURCEAUGNAC"
"l'é… l'épouser ?","bonjour, monsieur, bonjour."
"en mariage ?","vous êtes monsieur oronte, n'est-ce pas ?"
"ah c'est une autre chose, et je vous demande pardon.","et moi, monsieur de pourceaugnac."
"rien.","croyez-vous, monsieur oronte, que les limosins soient des sots ?"
"rien, vous dis-je ; j'ai un peu parlé trop vite.","vous imaginez-vous, monsieur oronte, qu'un homme comme moi soit si affamé de femme ?"
"non, cela n'est pas nécessaire.","on vient de me dire mon père que monsieur de pourceaugnac est arrivé. ah le voilà sans doute  et mon cœur me le dit. qu'il est bien fait !"
"non, cela n'est pas nécessaire.","qu'il a bon air !  et que je suis contente d'avoir un tel époux !"
"point, je vous prie de m'en dispenser.","tu-dieu, quelle galante ! comme elle prend feu d'abord !"
"si fait, on ne peut pas l'être davantage.","que je suis aise de vous voir ! et que je brûle d'impatience… M POURCEAUGNAC"
"si fait, on ne peut pas l'être davantage.","ho, ho, quelle égrillarde !"
"c'est une chose où il y va de l'intérêt du prochain.","vertu de ma vie !"
"laissez-moi consulter un peu si je le puis faire en conscience. c'est un homme qui cherche son bien qui tâche de pourvoir sa fille le plus avantageusement qu'il est possible ","ne voulez-vous pas que je caresse l'époux que vous m'avez choisi ?"
" et il ne faut nuire à personne. ce sont des choses qui sont connues à la vérité  mais j'irai les découvrir à un homme qui les ignore  et il est défendu de scandaliser son prochain.","ne voulez-vous pas que je caresse l'époux que vous m'avez choisi ?"
"cela est vrai  mais d'autre part voilà un étranger qu'on veut surprendre  et qui de bonne foi vient se marier avec une fille qu'il ne connaît pas","ne voulez-vous pas que je caresse l'époux que vous m'avez choisi ?"
" et qu'il n'a ja mais vue  un gentilhomme plein de franchise pour qui je me sens de l'inclination qui me fait l'honneur de me tenir pour son ami prend confiance en moi","ne voulez-vous pas que je caresse l'époux que vous m'avez choisi ?"
" et me donne une bague à garder pour l'amour de lui. oui je trouve que je puis vous dire les choses sans blesser ma conscience   mais tâchons de vous les dire le plus doucement qu'il nous sera possible","ne voulez-vous pas que je caresse l'époux que vous m'avez choisi ?"
" et d'épargner les gens le plus que nous pourrons. de vous dire que cette fille-là mène une vie déshonnête cela serait un peu trop fort cherchons pour nous expliquer quelques termes plus doux.","ne voulez-vous pas que je caresse l'époux que vous m'avez choisi ?"
"le mot de galante aussi n'est pas assez celui de coquette achevée me semble propre à ce que nous voulons  et je m'en puis servir","ne voulez-vous pas que je caresse l'époux que vous m'avez choisi ?"
"peut-être dans le fond n'y a-t-il pas tant de mal que tout le monde croit  et puis il y a des gens après tout qui se mettent au-dessus de ces sortes de choses","laissez-moi le regarder."
"voilà le père.","je veux demeurer là, s'il vous plaît."
"oui, je me retire.","hé bien, je rentre."
"serviteur, monsieur, serviteur.","comme nous lui plaisons !"
"oui.","quand est-ce donc que vous me marierez avec monsieur ?"
"à la bonne heure.","je le veux avoir, moi, puisque vous me l'avez promis."
"croyez-vous, monsieur de pourceaugnac, que les parisiens soient des bêtes ?","elle voudrait bien me tenir."
"vous imaginez-vous, monsieur de pourceaugnac, qu'une fille comme la mienne soit si affamée de mari ?","je vous en empêcherai bien tous deux, je vous assure. voyez un peu quel *vertigo* lui prend."
"doucement, ma fille, doucement.","toutes les vôtres n'auront pas grand effet."
"je voudrais bien savoir, monsieur de pourceaugnac, par quelle raison vous venez…","je ne sais pas ce que cela veut dire :  mais vous êtes-vous mis dans la tête qu'un homme de soixante et trois ans ait si peu de cervelle  et considère si peu sa fille"
"je voudrais bien savoir, monsieur de pourceaugnac, par quelle raison vous venez…","que de la marier avec un homme qui a ce que vous savez  et qui a été mis chez un médecin pour être pansé ?"
"ah, ma fille, ôtez-vous de là, vous dis-je.","le médecin me l'a dit lui-même."
"je voudrais bien, dis-je, savoir par quelle raison, s'il vous plaît, vous avez la hardiesse de… julie s'approche de monsieur de pourceaugnac, le regarde d'un air languissant, et lui veut prendre la main.","je sais ce que j'en dois croire  et vous ne m'abuserez pas là-dessus non plus que sur les dettes que vous avez assignées sur le mariage de ma fille."
"encore, qu'est-ce à dire cela ?","la feinte ici est inutile  et j'ai vu le marchand flamand qui avec les autres créanciers a obtenu depuis huit mois sentence contre vous."
"non : rentrez là -dedans.","vous savez bien ce que je veux dire."
"rentrez, vous dis-je.","qu'est-ce que veut cette femme-là ?"
"je ne veux pas, moi ; et si tu ne rentres tout à l'heure, je…","oh, oh."
"ma fille est une sotte, qui ne sait pas les choses.","lou trayté me quitel trés ans aprés sul preteste de qualques affayres que l'apelabon dins soun païs  et despey noun ly resçauput quaso de noubelo  may dins lou tens qui soungeabi lou mens"
"ma fille est une sotte, qui ne sait pas les choses.","m'an dounat abist que begnio dins aquesto bilo per se remarida danbé un autro joüena fillo que sous parens ly an proucurado sensse saupré res de sou prumié mariatge.yeu ay tout quitat en diligensso"
"ma fille est une sotte, qui ne sait pas les choses."," et me souy rendu dodins aqueste loc lou pu leu qu'ay pouscut per m'oupousa en aquel criminel mariatge  et confondre as elys de tout le mounde lou plus méchant des hommes."
"tu ne veux pas te retirer ?","impudent, n'as pas honte de m'injuria, alloc d'estre confus day reproches secrets que ta conssiensso te deu fayre ?"
"jamais ; et tu n'es pas pour lui.","infame gausos-tu dire lou contrari ? he tu sabes be per ma penno que n'es que trop bertat  et plaguesso al cel qu'aco nou fougesso pas"
"jamais ; et tu n'es pas pour lui."," et que m'auquesso layssado dins l'estat d'innoussenço  et dins la tranquillitat oun moun amo bibio daban que tous charmes  et tas trounpariés oun m'en benguesson malhurousomen fayre sourty"
"jamais ; et tu n'es pas pour lui.","yeu nou serio pas reduito à fayré lou tristé perssounatgé qu'yeu fave presentomen à beyre un marit cruel mespresa touto l'ardou qu'yeu ay per el"
"jamais ; et tu n'es pas pour lui."," et me laissa sensse cap de pietat abandounado à las mourtéles doulous que yeu ressenty de sas perfidos acciûs."
"si je te l'ai promis, je te le dépromets.","je ne connais rien à tout ceci."
"vous avez beau faire, nous serons mariés ensemble en dépit de tout le monde.","encore !"
"mon dieu notre beau-père prétendu ne vous fatiguez point tant  on n'a pas envie de vous enlever votre fille  et vos grimaces n'attraperont rien.","et que boulés-bous dire, ambe bostre empachomen, et bostro pendarié ? quaquel homo es bostre marit ?"
"vous êtes-vous mis dans la tête que léonard de pourceaugnac soit un homme à acheter chat en poche ?  et qu'il n'ait pas là-dedans quelque morceau de judiciaire pour se conduire","aquo es faus, aquos yeu que soun sa fenno ; et se deû estre pendut, aquo sera yeu que lou faray penda."
"pour se faire informer de l'histoire du monde  et voir en se mariant","aquo es faus, aquos yeu que soun sa fenno ; et se deû estre pendut, aquo sera yeu que lou faray penda."
"c'est une pièce que l'on m'a faite, et je n'ai aucun mal.","yeu bous disy que yeu soun sa fenno."
"le médecin en a menti ; je suis gentilhomme, et je le veux voir l'épée à la main.","oy."
"quelles dettes ?","et yeu bous sousteni yeu, qu'aquos yeu."
"quel marchand flamand ? quels créanciers ? quelle sentence obtenue contre moi ?","et yeu set ans y a que m'a preso per fenno."
"ah ! tu es assy, et à la fy yeu te trobi aprés abé fait tant de passés. podes-tu, scélérat, podes-tu sousteni ma bisto ?","tout mon païs lo sap."
"que te boli infame ! tu fas semblan de nou me pas connouysse  et nou rougisses pas impudent que tu sios nou rougisses pas de me beyre ?","tout pézenas a bist nostre mariatge."
"nou sabi pas moussur saquos bous dont m'an dit que bouillo espousa la fillo  may yeu bous declari que yeu soun sa fenno  et que ya s et ans","tout pézenas a bist nostre mariatge."
"moussur qu'en passan à pezenas el augu et l'adresse dambé sas mignardisos commo sap tapla fayre de me gaigna lou cor  et m'oubligel pra quel mouyen à ly douna la ma per l'espousa.","tout pézenas a bist nostre mariatge."
"que diable est-ce ci ?","nou y a res de tan beritable."
"voilà une étrange effrontée !","gausos-tu dire lou contrari, valisquos ?"
"moi, je suis votre mari ?","il est aussi vrai l'un que l'autre."
"je ne saurais m'empêcher de pleurer. allez, vous êtes un méchant homme.","bayez un peu l'insolence. quoy tu ne te souviens mie de chette pauvre ainfain no petite madelaine que tu m'as laichée pour gaige de ta foy ?"
"ah je n'en pis plus je sis toute essoflée. ah finfaron tu m'as bien fait courir tu ne m'écaperas mie. justice justice  je boute empeschement au mariage.","beny françon beny jeanet beny toustou beny toustoune beny fayre beyre à un payre dénaturat la duretat qu'el a per nautres."
"chés mon mery monsieur  et je veux faire pindre che bon pindar-là.","beny françon beny jeanet beny toustou beny toustoune beny fayre beyre à un payre dénaturat la duretat qu'el a per nautres."
"quel diable d'homme est-ce ci ?","ah mon papa, mon papa, mon papa."
"oui, medeme, et je sis sa femme.","coussy trayte tu nou sios pas dins la darnière confusiu de ressaupre à tal tous enfants  et de ferma l'aureillo à la tendresso paternello ? tu nou m'escaperas pas"
"oui, medeme, et je sis sa femme.","infame yeu te boly seguy per tout  et te reproucha ton crime jusquos à tant que me sio beniado"
"je n'entains mie che baragoin-là.","mon papa, mon papa, mon papa."
"sa femme ?","allez, vous ferez bien de le faire punir, et il mérite d'être pendu."
"je vous dis que chest my, encore in coup, qui le sis.","ah je suis assommé. quelle peine ! quelle maudite ville ! assassiné de tous côtés !"
"il y a quetre ans qu'il m'a éposée.","oui. il pleut en ce pays des femmes et des lavements."
"j'ay des gairents de tout ce que je dy.","deux carognes de baragouineuses me sont venues accuser de les avoir épousées toutes deux, et me menacent de la justice."
"no ville en est témoin.","oui :  mais quand il y aurait information ajournement décret  et jugement obtenu par surprise défaut  et contumace j'ai la voie de conflit de juridiction"
"no ville en est témoin.","pour temporiser et venir aux moyens de nullité qui seront dans les procédures."
"tout chin-quentin a assisté à no noce.","moi, point du tout, je suis gentilhomme."
"il gn'y a rien de plus chertain.","point ce n'est que le sens commun qui me fait juger que je serai toujours reçu à mes faits justificatifs  et qu'on ne me saurait condamner sur une simple accusation sans un récolement "
"est-che que tu me démaintiras, méchaint homme ?","ces mots-là me viennent sans que je les sache."
"quaign'inpudensso !  et coussy miserable nou te soubenes plus de la pauro françon  et del paure jeanet que soun lous fruits de nostre mariatge ?","ce sont quelques mots que j'ai retenus en lisant les romans."
"voilà deux impudentes carognes !","pour vous montrer que je n'entends rien du tout à la chicane je vous prie de me mener chez quelque avocat pour consulter mon affaire."
"venez, madelaine, me n'ainfain, venez-ves-en ichy faire honte à vo père de l'inpudainche qu'il a.","qu'importe comme ils parlent, pourvu qu'ils me disent ce que je veux savoir. L’AVOCAT BREDOUILLEUR"
"venez, madelaine, me n'ainfain, venez-ves-en ichy faire honte à vo père de l'inpudainche qu'il a.","votre fait est clair et net ;"
"venez, madelaine, me n'ainfain, venez-ves-en ichy faire honte à vo père de l'inpudainche qu'il a.","et tout le droit sur cet endroit"
"venez, madelaine, me n'ainfain, venez-ves-en ichy faire honte à vo père de l'inpudainche qu'il a.","conclut tout droit. si vous consultez nos auteurs,"
"venez, madelaine, me n'ainfain, venez-ves-en ichy faire honte à vo père de l'inpudainche qu'il a.","législateurs et glossateurs, justinian, papinian,"
"venez, madelaine, me n'ainfain, venez-ves-en ichy faire honte à vo père de l'inpudainche qu'il a.","ulpian et tribonian, fernand, rebuffe, jean imole,"
"venez, madelaine, me n'ainfain, venez-ves-en ichy faire honte à vo père de l'inpudainche qu'il a.","paul, castre, julian, barthole, jason, alciat et cujas,"
"venez, madelaine, me n'ainfain, venez-ves-en ichy faire honte à vo père de l'inpudainche qu'il a.","ce grand homme si capable ; la polygamie est un cas"
"venez, madelaine, me n'ainfain, venez-ves-en ichy faire honte à vo père de l'inpudainche qu'il a.","est un cas pendable. tous les peuples policés,"
"venez, madelaine, me n'ainfain, venez-ves-en ichy faire honte à vo père de l'inpudainche qu'il a.","et bien sensés ; les français, anglais, hollandais,"
"venez, madelaine, me n'ainfain, venez-ves-en ichy faire honte à vo père de l'inpudainche qu'il a.","danois, suédois, polonais, portugais, espagnols, flamands,"
"venez, madelaine, me n'ainfain, venez-ves-en ichy faire honte à vo père de l'inpudainche qu'il a.","italiens, allemands, sur ce fait tiennent loi semblable,"
"venez, madelaine, me n'ainfain, venez-ves-en ichy faire honte à vo père de l'inpudainche qu'il a.","et l'affaire est sans embarras ; la polygamie est un cas,"
"venez, madelaine, me n'ainfain, venez-ves-en ichy faire honte à vo père de l'inpudainche qu'il a.","est un cas pendable. monsieur de pourceaugnac les bat. deux procureurs et deux sergents dansent une entrée, qui finit l'acte."
"diantre soit des petits fils de putains.","je voudrais bien le voir en cet équipage."
"ne rougis-tu mie de dire ches mots-là  et d'estre insainsible aux cairesses de chette pauvre ainfain ? tu ne te sauveras mie de mes pates  et en dépit de tes dains ","oui."
"je feray bien voir que je sis ta femme  et je te feray pindre.","oui."
"au secours, au secours, où fuirai-je ? je n'en puis plus.","fort bien."
"je conduis de l'œil toutes choses  et tout ceci ne va pas mal. nous fatiguerons tant notre provincial qu'il faudra ma foi qu'il déguerpisse.","cela va le mieux du monde."
"qu'est-ce, monsieur, est-il encore arrivé quelque chose ?","pour moi je ne crois pas qu'en c et état on puisse ja mais vous connaître"
"comment donc ?","oui, je vous l'ai déjà dit, ils commencent ici par faire pendre un homme, et puis ils lui font son procès."
"voilà une méchante affaire, et la justice en ce pays-ci est rigoureuse en diable contre cette sorte de crime.","elle est sévère comme tous les diables, particulièrement sur ces sortes de crimes."
"voilà en parler dans tous les termes ; et l'on voit bien, monsieur, que vous êtes du métier.","n'importe ils ne s'enquêtent point de cela   et puis ils ont en cette ville une haine effroyable pour les gens de votre pays  et ils ne sont point plus ravis que de voir pendre un limosin."
"il faut bien pour parler ainsi, que vous ayez étudié la pratique.","ce sont des brutaux ennemis de la gentillesse  et du mérite des autres villes. pour moi je vous avoue que je suis pour vous dans une peur épouvantable "
"il faut bien pour parler ainsi, que vous ayez étudié la pratique."," et je ne me consolerais de ma vie si vous veniez à être pendu."
"en voilà du plus fin encore.","vous avez raison on vous contesterait après cela le titre d'écuyer. au reste étudiez-vous quand je vous mènerai par la main à bien marcher comme une femme"
"en voilà du plus fin encore."," et prendre le langage  et toutes les manières d'une personne de qualité."
"il me semble que le sens commun d'un gentilhomme peut bien aller à concevoir ce qui est du droit et de l'ordre de la justice  mais non pas à savoir les vrais termes de la chicane.","votre barbe n'est rien, et il y a des femmes qui en ont autant que vous. çà, voyons un peu comme vous ferez. bon."
"ah fort bien.","fort bien."
"je le veux  et vais vous conduire chez deux hommes fort habiles   mais j'ai auparavant à vous avertir de n'être point surpris de leur manière de parler ","voilà qui va à merveille :  mais je remarque une chose cette coiffe est un peu trop déliée j'en vais quérir une un peu plus épaisse pour vous mieux cacher le visage"
"ils ont contracté du barreau certaine habitude de déclamation qui fait que l'on dirait qu'ils chantent  et vous prendrez pour musique tout ce qu'ils vous diront.","voilà qui va à merveille :  mais je remarque une chose cette coiffe est un peu trop déliée j'en vais quérir une un peu plus épaisse pour vous mieux cacher le visage"
"L’AVOCAT la polygamie est un cas,","voilà qui va à merveille :  mais je remarque une chose cette coiffe est un peu trop déliée j'en vais quérir une un peu plus épaisse pour vous mieux cacher le visage"
"est un cas pendable.","voilà qui va à merveille :  mais je remarque une chose cette coiffe est un peu trop déliée j'en vais quérir une un peu plus épaisse pour vous mieux cacher le visage"
"oui les choses s'acheminent où nous voulons :  et comme ses lumières sont fort petites  et son sens le plus borné du monde je lui ai fait prendre une frayeur si grande de la sévérité de la justice de ce pays","attendez-moi là. je suis à vous dans un moment ; vous n'avez qu'à vous promener."
" et des apprêts qu'on faisait déjà pour sa mort qu'il veut prendre la fuite   et pour se dérober avec plus de facilité aux gens que je lui ai dit qu'on avait mis pour l'arrêter aux portes de la ville","attendez-moi là. je suis à vous dans un moment ; vous n'avez qu'à vous promener."
"il s'est résolu à se déguiser  et le déguisement qu'il a pris est l'habit d'une femme.","attendez-moi là. je suis à vous dans un moment ; vous n'avez qu'à vous promener."
"songez de votre part à achever la comédie  et tandis que je jouerai mes scènes avec lui","li faut nous loër un fenestre pour foir sti choustice."
"et lorsque je l'aurai mis où je veux…","ly sira, ma foi, un grand plaisir, d'y regarter pendre sti limosin."
"et quand le père aura été averti par moi…","li est un plaisant drole, oui ; li disent que c'être marié trois foye."
"voici notre demoiselle, allez vite, qu'il ne nous voie ensemble.","ah pon chour, mameselle."
"voilà qui m'étonne, qu'en ce pays-ci les formes de la justice ne soient point observées.","j'attends mes gens, messieurs."
"voilà une justice bien injuste.","doucement, messieurs."
"mais quand on est innocent ?","je vous rends grâce."
"qu'est-ce que les limosins leur ont fait ?","je n'ai pas de curiosité."
"ce n'est pas tant la peur de la mort qui me fait fuir que de ce qu'il est fâcheux à un gentilhomme d'être pendu  et qu'une preuve comme celle-là ferait tort à nos titres de noblesse.","tout beau."
"laissez-moi faire, j'ai vu les personnes du bel air ; tout ce qu'il y a, c'est que j'ai un peu de barbe.","ah c'en est trop, et ces sortes d'ordures-là ne se disent point à une femme de ma condition."
