"ah ! charmante daphné.","trop aimable éroxène."
"mais de quoi vous serai-je aujourd'hui redevable, si vous me l'allez rendre, hélas ! insupportable ?","aux douleurs de son âme il me fait prendre part. qui l'aurait jamais cru de ce petit pendard ?"
"il est sans mélicerte un supplice à mes yeux : sans ses divins appas, rien ne m'est précieux,","quel amour, quels transports, quels discours pour son âge : j'en suis confus, et sens que cet amour m'engage."
"ils font tout mon bonheur, et toute mon envie, et si vous me l'ôtez, vous m'arrachez la vie.","aux douleurs de son âme il me fait prendre part. qui l'aurait jamais cru de ce petit pendard ?"
"voyez, me voulez-vous ordonner de mourir ? vous n'avez qu'à parler, je suis prêt d'obéir.","je ne puis plus tenir, il m'arrache des larmes, et ces tendres propos me font rendre les armes."
"que si dans votre cœur un reste d'amitié, vous peut de mon destin donner quelque pitié,","lève-toi."
"accordez mélicerte à mon ardente envie, et vous ferez bien plus que me donner la vie.","lève-toi."
"serez-vous sensible à mes soupirs ?","oui."
"j'obtiendrai de vous l'objet de mes désirs ?","oui."
"vous ferez pour moi que son oncle l'oblige à me donner sa main ?","oui, lève-toi, te dis-je."
"ô père, le meilleur qui jamais ait été, que je baise vos mains, après tant de bonté.","ah, que pour ses enfants un père a de faiblesse ! peut-on rien refuser à leurs mots de tendresse,"
"ô père, le meilleur qui jamais ait été, que je baise vos mains, après tant de bonté.","et ne se sent-on pas certains mouvements doux, quand on vient à songer que cela sort de vous ?"
"me tiendrez-vous au moins la parole avancée. ne changerez-vous point, dites-moi, de pensée ?","non."
"me permettez-vous de vous désobéir, si de ces sentiments on vous fait revenir :","oui. ha, nature ! nature, je m'en vais trouver mopse, et lui faire ouverture"
"prononcez le mot.","de l'amour que sa nièce, et toi, vous vous portez."
"ah, que ne dois-je point à vos rares bontés ! quelle heureuse nouvelle à dire à mélicerte,","ah ! myrtil, vous avez du ciel reçu des charmes, qui nous ont préparé des matières de larmes,"
"je n'accepterais pas une couronne offerte, pour le plaisir que j'ai de courir lui porter,","et leur naissant éclat fatal à nos ardeurs, de ce que nous aimons nous enlève les cœurs."
"ce merveilleux succès qui la doit contenter.","ah ! myrtil, vous avez du ciel reçu des charmes, qui nous ont préparé des matières de larmes,"
"peut-on savoir, myrtil, vers qui de ces deux belles vous tournerez ce choix dont courent les nouvelles,","ne faites point languir deux amants davantage, et nous dites quel sort votre cœur nous partage."
"et sur qui doit de nous tomber ce coup affreux, dont se voit foudroyé tout l'espoir de nos vœux ?","ne faites point languir deux amants davantage, et nous dites quel sort votre cœur nous partage."
"il vaut mieux quand on craint ces malheurs éclatants, en mourir tout d'un coup que traîner si longtemps.","rendez, nobles bergers, le calme à votre flamme, la belle mélicerte a captivé mon âme :"
"il vaut mieux quand on craint ces malheurs éclatants, en mourir tout d'un coup que traîner si longtemps.","auprès de cet objet mon sort est assez doux, pour ne pas consentir à rien prendre sur vous."
"il vaut mieux quand on craint ces malheurs éclatants, en mourir tout d'un coup que traîner si longtemps.","et si vos vœux enfin n'ont que les miens à craindre, vous n'aurez l'un ni l'autre aucun lieu de vous plaindre."
"ah, myrtil, se peut-il que deux tristes amants…","est-il vrai que le ciel sensible à nos tourments…"
"oui, content de mes fers comme d'une victoire, je me suis excusé de ce choix plein de gloire :","ah, que cette aventure est un charmant miracle, et qu'à notre poursuite elle ôte un grand obstacle."
"j'ai de mon père encore changé les volontés, et l'ai fait consentir à mes félicités.","ah, que cette aventure est un charmant miracle, et qu'à notre poursuite elle ôte un grand obstacle."
"elle peut renvoyer ces nymphes à nos vœux, et nous donner moyen d'être contents tous deux.","savez-vous en quel lieu mélicerte est cachée ?"
"comment ?","en diligence elle est partout cherchée."
"et pourquoi ?","nous allons perdre cette beauté. c'est pour elle qu'ici le roi s'est transporté,"
"et pourquoi ?","avec un grand seigneur on dit qu'il la marie."
"ô ciel, expliquez-moi ce discours, je vous prie.","ce sont des incidents grands et mystérieux : oui, le roi vient chercher mélicerte en ces lieux ;"
"ô ciel, expliquez-moi ce discours, je vous prie.","et l'on dit qu'autrefois feu bélise sa mère, dont tout tempé croyait que mopse était le frère…"
"ô ciel, expliquez-moi ce discours, je vous prie.","mais je me suis chargé de la chercher partout, vous saurez tout cela tantôt de bout en bout."
