"quoi, cousine, personne ne t'est venu rendre visite ?","personne du monde."
"ce n'est pas ma coutume de rien blâmer  et je suis assez indulgent pour les ouvrages des autres.  mais enfin sans choquer l'amitié que monsieur le chevalier témoigne pour l'auteur","il est vrai que le goût des gens est étrangement gâté là-dessus, et que le siècle s'encanaille furieusement."
"on m'avouera que ces sortes de comédies ne sont pas proprement des comédies  et qu'il y a une grande différence de toutes ces bagatelles à la beauté des pièces sérieuses.","il est vrai que le goût des gens est étrangement gâté là-dessus, et que le siècle s'encanaille furieusement."
"cependant tout le monde donne là dedans aujourd'hui on ne court plus qu'à cela   et l'on voit une solitude effroyable aux grands ouvrages lorsque des sottises ont tout paris.","il est vrai que le goût des gens est étrangement gâté là-dessus, et que le siècle s'encanaille furieusement."
"je vous avoue que le cœur m'en saigne quelquefois  et cela est honteux pour la france.","il est vrai que le goût des gens est étrangement gâté là-dessus, et que le siècle s'encanaille furieusement."
"celui-là est joli encore, *s'encanaille*. est-ce vous qui l'avez inventé, madame ?","hé !"
"je m'en suis bien doutée.","vous croyez donc monsieur lysidas que tout l'esprit  et toute la beauté sont dans les poèmes sérieux  et que les pièces comiques sont des niaiseries qui ne méritent aucune louange ?"
"ce n'est pas mon sentiment pour moi. la tragédie sans doute est quelque chose de beau quand elle est bien touchée   mais la comédie a ses charmes  et je tiens que l'une n'est pas moins difficile à faire que l'autre.","assurément madame  et quand pour la difficulté vous mettriez un plus du côté de la comédie peut-être que vous ne vous abuseriez pas. car enfin je trouve qu'il est bien plus aisé de se guinder sur de grands sentiments"
"ce n'est pas mon sentiment pour moi. la tragédie sans doute est quelque chose de beau quand elle est bien touchée   mais la comédie a ses charmes  et je tiens que l'une n'est pas moins difficile à faire que l'autre.","de braver en vers la fortune accuser les destins  et dire des injures aux dieux que d'entrer comme il faut dans le ridicule des hommes  et de rendre agréablement sur le théâtre les défauts de tout le monde."
"ce n'est pas mon sentiment pour moi. la tragédie sans doute est quelque chose de beau quand elle est bien touchée   mais la comédie a ses charmes  et je tiens que l'une n'est pas moins difficile à faire que l'autre.","lorsque vous peignez des héros vous faites ce que vous voulez  ce sont des portraits à plaisir où l'on ne cherche point de ressemblance "
"ce n'est pas mon sentiment pour moi. la tragédie sans doute est quelque chose de beau quand elle est bien touchée   mais la comédie a ses charmes  et je tiens que l'une n'est pas moins difficile à faire que l'autre."," et vous n'avez qu'à suivre les traits d'une imagination qui se donne l'essor  et qui souvent laisse le vrai pour attraper le merveilleux. "
"ce n'est pas mon sentiment pour moi. la tragédie sans doute est quelque chose de beau quand elle est bien touchée   mais la comédie a ses charmes  et je tiens que l'une n'est pas moins difficile à faire que l'autre.","mais lorsque vous peignez les hommes il faut peindre d'après nature  on veut que ces portraits ressemblent  et vous n'avez rien fait si vous n'y faites reconnaître les gens de votre siècle."
"ce n'est pas mon sentiment pour moi. la tragédie sans doute est quelque chose de beau quand elle est bien touchée   mais la comédie a ses charmes  et je tiens que l'une n'est pas moins difficile à faire que l'autre.","en un mot dans les pièces sérieuses il suffit pour n'être point blâmé de dire des choses qui soient de bon sens  et bien écrites : "
"ce n'est pas mon sentiment pour moi. la tragédie sans doute est quelque chose de beau quand elle est bien touchée   mais la comédie a ses charmes  et je tiens que l'une n'est pas moins difficile à faire que l'autre.","mais ce n'est pas assez dans les autres il y faut plaisanter   et c'est une étrange entreprise que celle de faire rire les honnêtes gens."
"je crois être du nombre des honnêtes gens, et cependant je n'ai pas trouvé le mot pour rire dans tout ce que j'ai vu.","ma foi, ni moi non plus."
"pour toi, marquis, je ne m'en étonne pas ; c'est que tu n'y as point trouvé de turlupinades.","ma foi monsieur ce qu'on y rencontre ne vaut guère mieux  et toutes les plaisanteries y sont assez froides"
"la cour n'a pas trouvé cela.","ah ! monsieur, la cour."
"achevez monsieur lysidas. je vois bien que vous voulez dire que la cour ne se connaît pas à ces choses   et c'est le refuge ordinaire de vous autres messieurs les auteurs","il est vrai que pour peu qu'on y demeure il vous passe là tous les jours assez de choses devant les yeux pour acquérir quelque habitude de les connaître  et surtout pour ce qui est de la bonne "
"dans le mauvais succès de vos ouvrages que d'accuser l'injustice du siècle  et le peu de lumière des courtisans. sachez s'il vous plaît monsieur lysidas","il est vrai que pour peu qu'on y demeure il vous passe là tous les jours assez de choses devant les yeux pour acquérir quelque habitude de les connaître  et surtout pour ce qui est de la bonne "
"que les courtisans ont d'aussi bons yeux que d'autres qu'on peut être habile avec un point de venise  et des plumes aussi bien qu'avec une perruque courte  et un petit rabat uni :","il est vrai que pour peu qu'on y demeure il vous passe là tous les jours assez de choses devant les yeux pour acquérir quelque habitude de les connaître  et surtout pour ce qui est de la bonne "
"que la grande épreuve de toutes vos comédies c'est le jugement de la cour  que c'est son goût qu'il faut étudier pour trouver l'art de réussir","il est vrai que pour peu qu'on y demeure il vous passe là tous les jours assez de choses devant les yeux pour acquérir quelque habitude de les connaître  et surtout pour ce qui est de la bonne "
"qu'il n'y a point de lieu où les décisions soient si justes  et sans mettre en ligne de compte tous les gens savants qui y sont que du simple bon sens naturel et du commerce de tout le beau monde","il est vrai que pour peu qu'on y demeure il vous passe là tous les jours assez de choses devant les yeux pour acquérir quelque habitude de les connaître  et surtout pour ce qui est de la bonne "
"on s'y fait une manière d'esprit qui sans comparaison juge plus finement des choses","il est vrai que pour peu qu'on y demeure il vous passe là tous les jours assez de choses devant les yeux pour acquérir quelque habitude de les connaître  et surtout pour ce qui est de la bonne "
"la cour a quelques ridicules j'en demeure d'accord  et je suis comme on voit le premier à les fronder. mais ma foi il y en a un grand nombre parmi les beaux esprits de profession ","molière est bien heureux monsieur d'avoir un protecteur aussi chaud que vous.  mais enfin pour venir au fait il est question de savoir si sa pièce est bonne"
" et si l'on joue quelques marquis je trouve qu'il y a bien plus de quoi jouer les auteurs  et que ce serait une chose plaisante à mettre sur le théâtre","molière est bien heureux monsieur d'avoir un protecteur aussi chaud que vous.  mais enfin pour venir au fait il est question de savoir si sa pièce est bonne"
"que leurs grimaces savantes  et leurs raffinements ridicules  leur vicieuse coutume d'assassiner les gens de leurs ouvrages","molière est bien heureux monsieur d'avoir un protecteur aussi chaud que vous.  mais enfin pour venir au fait il est question de savoir si sa pièce est bonne"
"leur friandise de louanges leurs ménagements de pensées  leur trafic de réputation   et leurs ligues offensives  et défensives  aussi bien que leurs guerres d'esprit","molière est bien heureux monsieur d'avoir un protecteur aussi chaud que vous.  mais enfin pour venir au fait il est question de savoir si sa pièce est bonne"
"c'est une étrange chose de vous autres messieurs les poètes que vous condamniez toujours les pièces où tout le monde court  et ne disiez ja mais du bien que de celles où personne ne va.","c'est qu'il est généreux de se ranger du côté des affligés."
"vous montrez pour les unes une haine invincible  et pour les autres une tendresse qui n'est pas concevable.","c'est qu'il est généreux de se ranger du côté des affligés."
"mais de grâce, monsieur lysidas, faites-nous voir ces défauts, dont je ne me suis point aperçue.","ceux qui possèdent aristote et horace voient d'abord, madame, que cette comédie pèche contre toutes les règles de l'art."
"je vous avoue que je n'ai aucune habitude avec ces messieurs-là, et que je ne sais point les règles de l'art.","vous êtes de plaisantes gens avec vos règles dont vous embarrassez les ignorants  et nous étourdissez tous les jours. il semble à vous ouïr parler"
"je vous avoue que je n'ai aucune habitude avec ces messieurs-là, et que je ne sais point les règles de l'art.","que ces règles de l'art soient les plus grands mystères du monde  et cependant ce ne sont que quelques observations aisées que le bon sens a faites sur ce qui peut ôter le plaisir que l'on prend à ces sortes de poèmes "
"je vous avoue que je n'ai aucune habitude avec ces messieurs-là, et que je ne sais point les règles de l'art."," et le même bon sens qui a fait autrefois ces observations les fait aisément tous les jours sans le secours d'horace et d'aristote. je voudrais bien savoir si la grande règle de toutes les règles n'est pas de plaire "
"je vous avoue que je n'ai aucune habitude avec ces messieurs-là, et que je ne sais point les règles de l'art."," et si une pièce de théâtre qui a attrapé son but n'a pas suivi un bon chemin. veut-on que tout un public s'abuse sur ces sortes de choses  et que chacun n'y soit pas juge du plaisir qu'il y prend ?"
"j'ai remarqué une chose de ces messieurs-là c'est que ceux qui parlent le plus des règles  et qui les savent mieux que les autres font des comédies que personne ne trouve belles."," et c'est ce qui marque madame comme on doit s'arrêter peu à leurs disputes embarrassées. car enfin si les pièces qui sont selon les règles ne plaisent pas"
"j'ai remarqué une chose de ces messieurs-là c'est que ceux qui parlent le plus des règles  et qui les savent mieux que les autres font des comédies que personne ne trouve belles."," et que celles qui plaisent ne soient pas selon les règles il faudrait de nécessité que les règles eussent été mal faites. moquons-nous donc de cette chicane où ils veulent assujettir le goût du public"
"j'ai remarqué une chose de ces messieurs-là c'est que ceux qui parlent le plus des règles  et qui les savent mieux que les autres font des comédies que personne ne trouve belles."," et ne consultons dans une comédie que l'eff et qu'elle fait sur nous. laissons-nous aller de bonne foi aux choses qui nous prennent par les entrailles"
"j'ai remarqué une chose de ces messieurs-là c'est que ceux qui parlent le plus des règles  et qui les savent mieux que les autres font des comédies que personne ne trouve belles."," et ne cherchons point de raisonnements pour nous empêcher d'avoir du plaisir."
"pour moi quand je vois une comédie je regarde seulement si les choses me touchent  et lorsque je m'y suis bien divertie je ne vais point demander si j'ai eu tort","c'est justement comme un homme qui aurait trouvé une sauce excellente  et qui voudrait examiner si elle est bonne sur les préceptes du *cuisinier français*."
"il est vrai ; et j'admire les raffinements de certaines gens sur des choses que nous devons sentir par nous-mêmes.","vous avez raison madame de les trouver étranges tous ces raffinements mystérieux. car enfin s'ils ont lieu nous voilà réduits à ne nous plus croire "
"il est vrai ; et j'admire les raffinements de certaines gens sur des choses que nous devons sentir par nous-mêmes.","nos propres sens seront esclaves en toutes choses  et jusques au manger  et au boire nous n'oserons plus trouver rien de bon sans le congé de messieurs les experts."
"enfin monsieur toute votre raison c'est que *l'école des femmes* a plu   et vous ne vous souciez point qu'elle soit dans les règles pourvu…","tout beau monsieur lysidas je ne vous accorde pas cela. je dis bien que le grand art est de plaire  et que cette comédie ayant plu à ceux pour qui elle est faite"
"enfin monsieur toute votre raison c'est que *l'école des femmes* a plu   et vous ne vous souciez point qu'elle soit dans les règles pourvu…","je trouve que c'est assez pour elle  et qu'elle doit peu se soucier du reste.  mais avec cela je soutiens qu'elle ne pèche contre aucune des règles dont vous parlez."
"enfin monsieur toute votre raison c'est que *l'école des femmes* a plu   et vous ne vous souciez point qu'elle soit dans les règles pourvu…","je les ai lues dieu merci autant qu'un autre  et je ferais voir aisément que peut-être n'avons-nous point de pièce au théâtre plus régulière que celle-là."
"courage, monsieur lysidas, nous sommes perdus si vous reculez.","quoi, monsieur, la protase, l'épitase, et la péripétie ?…"
"ah ! monsieur lysidas vous nous assommez avec vos grands mots. ne paraissez point si savant de grâce  humanisez votre discours","ce sont termes de l'art dont il est permis de se servir.  mais puisque ces mots blessent vos oreilles je m'expliquerai d'une autre façon  et je vous prie de répondre positivement à trois ou quatre choses que je vais dire."
" et parlez pour être entendu. pensez-vous qu'un nom grec donne plus de poids à vos raisons ?  et ne trouveriez-vous pas qu'il fût aussi beau de dire l'exposition du sujet","peut-on souffrir une pièce qui pèche contre le nom propre des pièces de théâtre ? car enfin le nom de poème dramatique vient d'un mot grec qui signifie agir"
"que la protase le nœud que l'épitase   et le dénouement que la péripétie ?","pour montrer que la nature de ce poème consiste dans l'action  et dans cette comédie-ci il ne se passe point d'actions  et tout consiste en des récits que vient faire ou agnès ou horace."
"ah, ah, chevalier.","voilà qui est spirituellement remarqué, et c'est prendre le fin des choses."
"est-il rien de si peu spirituel ou pour mieux dire rien de si bas que quelques mots où tout le monde rit  et surtout celui des enfants par l'oreille ?","fort bien."
"ah !","la scène du val et  et de la servante au dedans de la maison n'est-elle pas d'une longueur ennuyeuse"
"cela est vrai.","assurément."
"il a raison.","arnolphe ne donne-t-il pas trop librement son argent à horace  et puisque c'est le personnage ridicule de la pièce fallait-il lui faire faire l'action d'un honnête homme ?"
"bon, la remarque est encore bonne.","admirable."
"merveilleuse.","le sermon  et les maximes ne sont-elles pas des choses ridicules  et qui choquent même le respect que l'on doit à nos mystères ?"
"c'est bien dit.","voilà parlé comme il faut."
"il ne se peut rien de mieux."," et ce monsieur de la souche enfin qu'on nous fait un homme d'esprit  et qui paraît si sérieux en tant d'endroits ne descend-il point dans quelque chose de trop comique"
"il ne se peut rien de mieux."," et de trop outré au cinquième acte lorsqu'il explique à agnès la violence de son amour avec ces roulements d'yeux extravagants ces soupirs ridicules  et ces larmes niaises qui font rire tout le monde ?"
"morbleu, merveille !","miracle !"
"vivat, monsieur lysidas.","je laisse cent mille autres choses de peur d'être ennuyeux."
"parbleu, chevalier, te voilà mal ajusté.","il faut voir."
"tu as trouvé ton homme, ma foi.","peut-être."
"réponds, réponds, réponds, réponds.","volontiers. il…"
"réponds donc, je te prie.","laisse-moi donc faire. si…"
"parbleu, je te défie de répondre.","oui, si tu parles toujours."
"de grâce écoutons ses raisons.","premièrement il n'est pas vrai de dire que toute la pièce n'est qu'en récits. on y voit beaucoup d'actions qui se passent sur la scène  et les récits eux-mêmes y sont des actions suivant la constitution du sujet"
"de grâce écoutons ses raisons.","d'autant qu'ils sont tous faits innocemment ces récits à la personne intéressée qui par là entre à tous coups dans une confusion à réjouir les spectateurs"
"de grâce écoutons ses raisons."," et prend à chaque nouvelle toutes les mesures qu'il peut pour se parer du malheur qu'il craint."
"pour moi je trouve que la beauté du suj et de *l'école des femmes* consiste dans cette confidence perpétuelle   et ce qui me paraît assez plaisant c'est qu'un homme qui a de l'esprit ","bagatelle, bagatelle."
"et qui est averti de tout par une innocente qui est sa maîtresse et par un étourdi qui est son rival ne puisse avec cela éviter ce qui lui arrive.","bagatelle, bagatelle."
"faible réponse.","mauvaises raisons."
"pour ce qui est des enfants par l'oreille ils ne sont plaisants que par réflexion à arnolphe   et l'auteur n'a pas mis cela pour être de soi un bon mot :  mais seulement pour une chose qui caractérise l'homme","c'est mal répondre."
" et peint d'autant mieux son extravagance puisqu'il rapporte une sottise triviale qu'a dite agnès comme la chose la plus belle du monde et qui lui donne une joie inconcevable.","c'est mal répondre."
"cela ne satisfait point.","c'est ne rien dire."
"quant à l'argent qu'il donne librement outre que la lettre de son meilleur ami lui est une caution suffisante il n'est pas incompatible qu'une personne soit ridicule en de certaines choses","voilà des raisons qui ne valent rien."
" et honnête homme en d'autres.  et pour la scène d'alain  et de georgette dans le logis que quelques-uns ont trouvée longue et froide il est certain qu'elle n'est pas sans raison ","voilà des raisons qui ne valent rien."
" et de même qu'arnolphe se trouve attrapé pendant son voyage par la pure innocence de sa maîtresse il demeure au retour longtemps à sa porte par l'innocence de ses valets","voilà des raisons qui ne valent rien."
"afin qu'il soit partout puni par les choses qu'il a cru faire la sûreté de ses précautions.","voilà des raisons qui ne valent rien."
"tout cela ne fait que blanchir.","cela fait pitié."
"pour le discours moral que vous appelez un sermon il est certain que de vrais dévots qui l'ont ouï n'ont pas trouvé qu'il choquât ce que vous dites   et sans doute que ces paroles d'enfer  et de chaudières bouillantes sont assez justifiées par l'extravagance d'arnolphe ","ma foi, chevalier, tu ferais mieux de te taire."
"et par l'innocence de celle à qui il parle.  et quant au transport amoureux du cinquième acte qu'on accuse d'être trop outré  et trop comique je voudrais bien savoir si ce n'est pas faire la satire des amants","ma foi, chevalier, tu ferais mieux de te taire."
" et si les honnêtes gens même  et les plus sérieux en de pareilles occasions","ma foi, chevalier, tu ferais mieux de te taire."
"fort bien. mais enfin si nous nous regardions nous-mêmes, quand nous sommes bien amoureux ?…","je ne veux pas seulement t'écouter."
"écoute-moi si tu veux. est-ce que dans la violence de la passion ?…","la, la, la, la, lare, la, la, la, la, la, la. il chante."
"quoi ?…","la, la, la, la, lare, la, la, la, la, la, la."
"je ne sais pas si ?…","la, la, la, la, lare, la, la, la, la, la, la, la."
"il me semble que…","la, la, la, lare, la, la, la, la, la, la, la, la, la, la."
"il se passe des choses assez plaisantes dans notre dispute. je trouve qu'on en pourrait bien faire une petite comédie  et que cela ne serait pas trop mal à la queue de *l'école des femmes*.","vous avez raison."
"parbleu, chevalier, tu jouerais là-dedans un rôle qui ne te serait pas avantageux.","il est vrai, marquis."
"pour moi, je souhaiterais que cela se fît, pourvu qu'on traitât l'affaire comme elle s'est passée.","et moi je fournirais de bon cœur mon personnage."
"je ne refuserais pas le mien, que je pense.","puisque chacun en serait content chevalier faites un mémoire de tout  et le donnez à molière que vous connaissez pour le mettre en comédie."
"il n'aurait garde, sans doute, et ce ne serait pas des vers à sa louange.","point, point ; je connais son humeur ; il ne se soucie pas qu'on fronde ses pièces, pourvu qu'il y vienne du monde."
"oui  mais quel dénouement pourrait-il trouver à ceci ? car il ne saurait y avoir ni mariage ni reconnaissance  et je ne sais point par où l'on pourrait faire finir la dispute.","il faudrait rêver quelque incident pour cela."
