"qu'est-ce donc ? qu'avez-vous ?","laissez-moi, je vous prie."
"des amants que je fais, me rendez-vous coupable ? puis-je empêcher les gens, de me trouver aimable ?","et sa douceur offerte à qui vous rend les armes, achève, sur les coeurs, l'ouvrage de vos charmes."
"et lorsque, pour me voir, ils font de doux efforts, dois-je prendre un bâton, pour les mettre dehors ?","le trop riant espoir que vous leur présentez, attache, autour de vous, leurs assiduités ;"
"des amants que je fais, me rendez-vous coupable ? puis-je empêcher les gens, de me trouver aimable ?","et votre complaisance, un peu moins étendue, de tant de soupirants chasserait la cohue."
"et lorsque, pour me voir, ils font de doux efforts, dois-je prendre un bâton, pour les mettre dehors ?","mais, au moins, dites-moi, madame, par quel sort, votre clitandre a l'heur de vous plaire si fort ?"
"des amants que je fais, me rendez-vous coupable ? puis-je empêcher les gens, de me trouver aimable ?","sur quel fonds de mérite, et de vertu sublime, appuyez-vous, en lui, l'honneur de votre estime ?"
"et lorsque, pour me voir, ils font de doux efforts, dois-je prendre un bâton, pour les mettre dehors ?","est-ce par l'ongle long, qu'il porte au petit doigt, qu'il s'est acquis, chez vous, l'estime où l'on le voit ?"
"des amants que je fais, me rendez-vous coupable ? puis-je empêcher les gens, de me trouver aimable ?","vous êtes-vous rendue, avec tout le beau monde, au mérite éclatant de sa perruque blonde ?"
"et lorsque, pour me voir, ils font de doux efforts, dois-je prendre un bâton, pour les mettre dehors ?","sont-ce ses grands canons, qui vous le font aimer ? l'amas de ses rubans a-t-il su vous charmer ?"
"des amants que je fais, me rendez-vous coupable ? puis-je empêcher les gens, de me trouver aimable ?","est-ce par les appas de sa vaste rhingrave, qu'il a gagné votre âme, en faisant votre esclave ?"
"et lorsque, pour me voir, ils font de doux efforts, dois-je prendre un bâton, pour les mettre dehors ?","ou sa façon de rire, et son ton de fausset, ont-ils, de vous toucher, su trouver le secret ?"
"qu'injustement, de lui, vous prenez de l'ombrage ! ne savez-vous pas bien, pourquoi je le ménage ?","perdez votre procès, madame, avec constance, et ne ménagez point un rival qui m'offense."
"et que, dans mon procès, ainsi qu'il m'a promis, il peut intéresser tout ce qu'il a d'amis.","perdez votre procès, madame, avec constance, et ne ménagez point un rival qui m'offense."
"mais, de tout l'univers vous devenez jaloux.","c'est que tout l'univers est bien reçu de vous."
"c'est ce qui doit rasseoir votre âme effarouchée, puisque ma complaisance est sur tous épanchée :","mais, moi, que vous blâmez de trop de jalousie, qu'ai-je de plus qu'eux tous, madame, je vous prie ?"
"et vous auriez plus lieu de vous en offenser, si vous me la voyiez, sur un seul, ramasser.","mais, moi, que vous blâmez de trop de jalousie, qu'ai-je de plus qu'eux tous, madame, je vous prie ?"
"le bonheur de savoir que vous êtes aimé.","et quel lieu de le croire, à mon coeur enflammé ?"
"je pense qu'ayant pris le soin de vous le dire, un aveu de la sorte, a de quoi vous suffire.","mais qui m'assurera que dans le même instant, vous n'en disiez, peut-être, aux autres tout autant ?"
"certes, pour un amant, la fleurette est mignonne, et vous me traitez, là, de gentille personne.","morbleu, faut-il que je vous aime ? ah ! que si, de vos mains, je rattrape mon coeur,"
"hé bien, pour vous ôter d'un semblable souci, de tout ce que j'ai dit, je me dédis ici :","je bénirai le ciel, de ce rare bonheur ! je ne le cèle pas, je fais tout mon possible"
"et rien ne saurait plus vous tromper, que vous-même ; soyez content.","à rompre, de ce coeur, l'attachement terrible ; mais mes plus grands efforts n'ont rien fait, jusqu'ici,"
"certes, pour un amant, la fleurette est mignonne, et vous me traitez, là, de gentille personne.","et c'est, pour mes péchés, que je vous aime ainsi."
"il est vrai, votre ardeur est, pour moi, sans seconde.","oui, je puis, là-dessus, défier tout le monde. mon amour ne se peut concevoir, et jamais,"
"il est vrai, votre ardeur est, pour moi, sans seconde.","personne n'a, madame, aimé comme je fais."
"en effet, la méthode en est toute nouvelle, car vous aimez les gens, pour leur faire querelle ;","mais il ne tient qu'à vous, que son chagrin ne passe ; à tous nos démêlés, coupons chemin, de grâce,"
"ce n'est qu'en mots fâcheux, qu'éclate votre ardeur, et l'on n'a vu jamais, un amour si grondeur.","parlons à coeur ouvert, et voyons d'arrêter…"
"qu'est-ce ?","acaste est là-bas."
"hé bien, faites monter.","quoi ! l'on ne peut jamais, vous parler, tête à tête ? à recevoir le monde, on vous voit toujours prête ?"
"hé bien, faites monter.","et vous ne pouvez pas, un seul moment de tous, vous résoudre à souffrir de n'être pas chez vous ?"
"voulez-vous, qu'avec lui, je me fasse une affaire ?","vous avez des regards qui ne sauraient me plaire."
"c'est un homme à jamais ne me le pardonner, s'il savait que sa vue eût pu m'importuner.","et que vous fait cela, pour vous gêner de sorte…"
"mon dieu ! de ses pareils, la bienveillance importe, et ce sont de ces gens qui, je ne sais comment,","enfin, quoi qu'il en soit, et sur quoi qu'on se fonde, vous trouvez des raisons pour souffrir tout le monde ;"
"ont gagné, dans la cour, de parler hautement. dans tous les entretiens, on les voit s'introduire ;","et les précautions de votre jugement…"
"ils ne sauraient servir, mais ils peuvent vous nuire ; et jamais, quelque appui qu'on puisse avoir d'ailleurs,","enfin, quoi qu'il en soit, et sur quoi qu'on se fonde, vous trouvez des raisons pour souffrir tout le monde ;"
"on ne doit se brouiller avec ces grands brailleurs.","et les précautions de votre jugement…"
"voici clitandre, encor, madame.","il témoigne s'en vouloir aller. justement."
"où courez-vous ?","je sors."
"demeurez.","pour quoi faire ?"
"demeurez.","je ne puis."
"je le veux.","point d'affaire ; ces conversations ne font que m'ennuyer,"
"je le veux.","et c'est trop, que vouloir me les faire essuyer."
"je le veux, je le veux.","non, il m'est impossible."
"hé bien ! allez, sortez, il vous est tout loisible.","voici les deux marquis, qui montent avec nous ; vous l'est-on venu dire ?"
"oui, des sièges pour tous. à alceste.","non ; mais je veux, madame, ou, pour eux, ou pour moi, faire expliquer votre âme."
"vous n'êtes pas sorti ?","non ; mais je veux, madame, ou, pour eux, ou pour moi, faire expliquer votre âme."
"taisez-vous.","aujourd'hui, vous vous expliquerez."
"vous perdez le sens.","point. vous vous déclarerez."
"ah !","vous prendrez parti."
"vous vous moquez, je pense.","non ; mais vous choisirez, c'est trop de patience."
"parbleu, je viens du louvre, où cléonte, au levé, madame, a bien paru, ridicule achevé.","dans le monde, à vrai dire, il se barbouille fort ; partout, il porte un air qui saute aux yeux, d'abord ;"
"n'a-t-il point quelque ami qui pût, sur ses manières, d'un charitable avis, lui prêter les lumières ?","et lorsqu'on le revoit, après un peu d'absence, on le retrouve, encor, plus plein d'extravagance."
"parbleu, s'il faut parler de gens extravagants, je viens d'en essuyer un des plus fatigants ;","c'est un parleur étrange, et qui trouve, toujours, l'art de ne vous rien dire, avec de grands discours."
"damon, le raisonneur, qui m'a, ne vous déplaise, une heure, au grand soleil, tenu hors de ma chaise.","dans les propos qu'il tient, on ne voit jamais goutte, et ce n'est que du bruit, que tout ce qu'on écoute."
"ce début n'est pas mal ; et contre le prochain, la conversation prend un assez bon train.","timante encor, madame, est un bon caractère !"
"c'est, de la tête aux pieds, un homme tout mystère, qui vous jette, en passant, un coup d'oeil égaré,","et géralde, madame ?"
"et, sans aucune affaire, est toujours affairé. tout ce qu'il vous débite en grimaces, abonde ;","et géralde, madame ?"
"à force de façons, il assomme le monde ; sans cesse il a, tout bas, pour rompre l'entretien,","et géralde, madame ?"
"un secret à vous dire, et ce secret n'est rien ; de la moindre vétille, il fait une merveille,","et géralde, madame ?"
"et, jusques au bonjour, il dit tout à l'oreille.","et géralde, madame ?"
"ô l'ennuyeux conteur ! jamais, on ne le voit sortir du grand seigneur ;","on dit qu'avec bélise, il est du dernier bien."
"dans le brillant commerce, il se mêle, sans cesse, et ne cite jamais, que duc, prince, ou princesse.","on dit qu'avec bélise, il est du dernier bien."
"la qualité l'entête, et tous ses entretiens ne sont que de chevaux, d'équipage, et de chiens ;","on dit qu'avec bélise, il est du dernier bien."
"il tutoie, en parlant, ceux du plus haut étage, et le nom de monsieur, est, chez lui, hors d'usage.","on dit qu'avec bélise, il est du dernier bien."
"le pauvre esprit de femme ! et le sec entretien ! lorsqu'elle vient me voir, je souffre le martyre,","que vous semble d'adraste ?"
"il faut suer, sans cesse, à chercher que lui dire ; et la stérilité de son expression,","que vous semble d'adraste ?"
"fait mourir, à tous coups, la conversation. en vain, pour attaquer son stupide silence,","que vous semble d'adraste ?"
"de tous les lieux communs, vous prenez l'assistance ; le beau temps, et la pluie, et le froid et le chaud,","que vous semble d'adraste ?"
"sont des fonds qu'avec elle, on épuise bientôt. cependant, sa visite, assez insupportable,","que vous semble d'adraste ?"
"traîne en une longueur, encore, épouvantable ; et l'on demande l'heure, et l'on bâille vingt fois,","que vous semble d'adraste ?"
"qu'elle grouille aussi peu qu'une pièce de bois.","que vous semble d'adraste ?"
"ah ! quel orgueil extrême ! c'est un homme gonflé de l'amour de soi-même ;","mais le jeune cléon, chez qui vont, aujourd'hui, nos plus honnêtes gens, que dites-vous de lui ?"
"son mérite, jamais, n'est content de la cour, contre elle, il fait métier de pester chaque jour ;","mais le jeune cléon, chez qui vont, aujourd'hui, nos plus honnêtes gens, que dites-vous de lui ?"
"et l'on ne donne emploi, charge ni bénéfice, qu'à tout ce qu'il se croit, on ne fasse injustice.","mais le jeune cléon, chez qui vont, aujourd'hui, nos plus honnêtes gens, que dites-vous de lui ?"
"que de son cuisinier, il s'est fait un mérite, et que c'est à sa table, à qui l'on rend visite.","il prend soin d'y servir des mets fort délicats."
"oui, mais je voudrais bien qu'il ne s'y servît pas, c'est un fort méchant plat, que sa sotte personne,","on fait assez de cas de son oncle damis ; qu'en dites-vous, madame ?"
"et qui gâte, à mon goût, tous les repas qu'il donne.","on fait assez de cas de son oncle damis ; qu'en dites-vous, madame ?"
"il est de mes amis.","je le trouve honnête homme, et d'un air assez sage."
"oui, mais il veut avoir trop d'esprit, dont j'enrage ; il est guindé sans cesse ; et dans tous ses propos,","dieu me damne, voilà son portrait véritable."
"on voit qu'il se travaille à dire de bons mots. depuis que dans la tête, il s'est mis d'être habile,","dieu me damne, voilà son portrait véritable."
"rien ne touche son goût, tant il est difficile ; il veut voir des défauts à tout ce qu'on écrit,","dieu me damne, voilà son portrait véritable."
"et pense que louer, n'est pas d'un bel esprit. que c'est être savant, que trouver à redire ;","dieu me damne, voilà son portrait véritable."
"qu'il n'appartient qu'aux sots, d'admirer, et de rire ; et qu'en n'approuvant rien des ouvrages du temps,","dieu me damne, voilà son portrait véritable."
"il se met au-dessus de tous les autres gens. aux conversations, même il trouve à reprendre,","dieu me damne, voilà son portrait véritable."
"ce sont propos trop bas, pour y daigner descendre ; et, les deux bras croisés, du haut de son esprit,","dieu me damne, voilà son portrait véritable."
"il regarde en pitié, tout ce que chacun dit.","dieu me damne, voilà son portrait véritable."
"pour bien peindre les gens, vous êtes admirable !","allons, ferme, poussez, mes bons amis de cour, vous n'en épargnez point, et chacun a son tour."
"pour bien peindre les gens, vous êtes admirable !","cependant, aucun d'eux, à vos yeux, ne se montre, qu'on ne vous voie en hâte, aller à sa rencontre,"
"pour bien peindre les gens, vous êtes admirable !","lui présenter la main, et d'un baiser flatteur, appuyer les serments d'être son serviteur."
"pourquoi s'en prendre à nous ? si ce qu'on dit, vous blesse, il faut que le reproche, à madame, s'adresse.","non, morbleu, c'est à vous ; et vos ris complaisants tirent de son esprit, tous ces traits médisants ;"
"pourquoi s'en prendre à nous ? si ce qu'on dit, vous blesse, il faut que le reproche, à madame, s'adresse.","son humeur satirique est sans cesse nourrie par le coupable encens de votre flatterie ;"
"pourquoi s'en prendre à nous ? si ce qu'on dit, vous blesse, il faut que le reproche, à madame, s'adresse.","et son coeur, à railler, trouverait moins d'appas, s'il avait observé qu'on ne l'applaudît pas."
"pourquoi s'en prendre à nous ? si ce qu'on dit, vous blesse, il faut que le reproche, à madame, s'adresse.","c'est ainsi qu'aux flatteurs, on doit, partout, se prendre des vices où l'on voit les humains se répandre."
"mais pourquoi, pour ces gens, un intérêt si grand, vous, qui condamneriez, ce qu'en eux on reprend ?","et ne faut-il pas bien que monsieur contredise ? à la commune voix, veut-on qu'il se réduise,"
"mais pourquoi, pour ces gens, un intérêt si grand, vous, qui condamneriez, ce qu'en eux on reprend ?","et qu'il ne fasse pas éclater, en tous lieux, l'esprit contrariant, qu'il a reçu des cieux ?"
"mais pourquoi, pour ces gens, un intérêt si grand, vous, qui condamneriez, ce qu'en eux on reprend ?","le sentiment d'autrui, n'est jamais, pour lui plaire, il prend, toujours, en main, l'opinion contraire ;"
"mais pourquoi, pour ces gens, un intérêt si grand, vous, qui condamneriez, ce qu'en eux on reprend ?","et penserait paraître un homme du commun, si l'on voyait qu'il fût de l'avis de quelqu'un."
"mais pourquoi, pour ces gens, un intérêt si grand, vous, qui condamneriez, ce qu'en eux on reprend ?","l'honneur de contredire, a, pour lui, tant de charmes, qu'il prend, contre lui-même, assez souvent, les armes ;"
"mais pourquoi, pour ces gens, un intérêt si grand, vous, qui condamneriez, ce qu'en eux on reprend ?","et ses vrais sentiments sont combattus par lui, aussitôt qu'il les voit dans la bouche d'autrui."
"les rieurs sont pour vous, madame, c'est tout dire ; et vous pouvez pousser, contre moi, la satire.","mais il est véritable, aussi, que votre esprit se gendarme, toujours, contre tout ce qu'on dit ;"
"les rieurs sont pour vous, madame, c'est tout dire ; et vous pouvez pousser, contre moi, la satire.","et que, par un chagrin, que lui-même il avoue, il ne saurait souffrir qu'on blâme, ni qu'on loue."
"c'est que jamais, morbleu, les hommes n'ont raison, que le chagrin, contre eux, est toujours de saison,","mais…"
"et que je vois qu'ils sont, sur toutes les affaires, loueurs impertinents, ou censeurs téméraires.","mais…"
"non, madame, non, quand j'en devrais mourir, vous avez des plaisirs que je ne puis souffrir ;","pour moi, je ne sais pas ; mais j'avouerai, tout haut, que j'ai cru, jusqu'ici, madame sans défaut."
"et l'on a tort, ici, de nourrir dans votre âme, ce grand attachement aux défauts qu'on y blâme.","pour moi, je ne sais pas ; mais j'avouerai, tout haut, que j'ai cru, jusqu'ici, madame sans défaut."
"de grâces, et d'attraits, je vois qu'elle est pourvue ; mais les défauts qu'elle a, ne frappent point ma vue.","ils frappent tous la mienne, et loin de m'en cacher, elle sait que j'ai soin de les lui reprocher."
"de grâces, et d'attraits, je vois qu'elle est pourvue ; mais les défauts qu'elle a, ne frappent point ma vue.","plus on aime quelqu'un, moins il faut qu'on le flatte ; à ne rien pardonner, le pur amour éclate ;"
"de grâces, et d'attraits, je vois qu'elle est pourvue ; mais les défauts qu'elle a, ne frappent point ma vue.","et je bannirais, moi, tous ces lâches amants, que je verrais soumis à tous mes sentiments,"
"de grâces, et d'attraits, je vois qu'elle est pourvue ; mais les défauts qu'elle a, ne frappent point ma vue.","et dont, à tous propos, les molles complaisances donneraient de l'encens à mes extravagances."
"enfin, s'il faut qu'à vous, s'en rapportent les coeurs, on doit, pour bien aimer, renoncer aux douceurs ;","l'amour, pour l'ordinaire, est peu fait à ces lois, et l'on voit les amants vanter, toujours, leur choix :"
"et du parfait amour, mettre l'honneur suprême, à bien injurier les personnes qu'on aime.","jamais, leur passion n'y voit rien de blâmable, et dans l'objet aimé, tout leur devient aimable ;"
"enfin, s'il faut qu'à vous, s'en rapportent les coeurs, on doit, pour bien aimer, renoncer aux douceurs ;","ils comptent les défauts pour des perfections, et savent y donner de favorables noms."
"et du parfait amour, mettre l'honneur suprême, à bien injurier les personnes qu'on aime.","la pâle, est aux jasmins, en blancheur, comparable ; la noire, à faire peur, une brune adorable ;"
"enfin, s'il faut qu'à vous, s'en rapportent les coeurs, on doit, pour bien aimer, renoncer aux douceurs ;","la maigre, a de la taille, et de la liberté ; la grasse, est, dans son port, pleine de majesté ;"
"et du parfait amour, mettre l'honneur suprême, à bien injurier les personnes qu'on aime.","la malpropre, sur soi, de peu d'attraits chargée, est mise sous le nom de beauté négligée ;"
"enfin, s'il faut qu'à vous, s'en rapportent les coeurs, on doit, pour bien aimer, renoncer aux douceurs ;","la géante, paraît une déesse aux yeux ; la naine, un abrégé des merveilles des cieux ;"
"et du parfait amour, mettre l'honneur suprême, à bien injurier les personnes qu'on aime.","l'orgueilleuse, a le coeur digne d'une couronne ; la fourbe, a de l'esprit ; la sotte, est toute bonne ;"
"enfin, s'il faut qu'à vous, s'en rapportent les coeurs, on doit, pour bien aimer, renoncer aux douceurs ;","la trop grande parleuse, est d'agréable humeur ; et la muette, garde une honnête pudeur."
"et du parfait amour, mettre l'honneur suprême, à bien injurier les personnes qu'on aime.","c'est ainsi, qu'un amant, dont l'ardeur est extrême, aime, jusqu'aux défauts des personnes qu'il aime."
"et moi, je soutiens, moi…","brisons là, ce discours, et dans la galerie, allons faire deux tours."
"et moi, je soutiens, moi…","quoi ! vous vous en allez, messieurs ?"
"non pas, madame.","la peur de leur départ, occupe fort votre âme ; sortez quand vous voudrez, messieurs ; mais j'avertis,"
"non pas, madame.","que je ne sors qu'après que vous serez sortis."
"à moins de voir madame en être importunée, rien ne m'appelle, ailleurs, de toute la journée.","moi, pourvu que je puisse être au petit couché, je n'ai point d'autre affaire, où je sois attaché."
"c'est pour rire, je crois.","non, en aucune sorte, nous verrons, si c'est moi, que vous voudrez qui sorte."
"monsieur, un homme est là, qui voudrait vous parler, pour affaire, dit-il, qu'on ne peut reculer.","dis-lui, que je n'ai point d'affaires si pressées."
"il porte une jaquette, à grand'basques plissées, avec du dor dessus.","allez voir ce que c'est, ou bien, faites-le entrer."
"qu'est-ce, donc, qu'il vous plaît ? venez, monsieur.","monsieur, j'ai deux mots à vous dire."
"vous pouvez parler haut, monsieur, pour m'en instruire.","messieurs les maréchaux, dont j'ai commandement, vous mandent de venir les trouver promptement,"
"vous pouvez parler haut, monsieur, pour m'en instruire.","monsieur."
"qui ? moi, monsieur ?","vous-même."
"et pour quoi faire ?","c'est d'oronte, et de vous, la ridicule affaire."
"comment ?","oronte, et lui, se sont tantôt bravés, sur certains petits vers, qu'il n'a pas approuvés ;"
"comment ?","et l'on veut assoupir la chose, en sa naissance."
"moi, je n'aurai, jamais, de lâche complaisance.","mais il faut suivre l'ordre, allons, disposez-vous…"
"quel accommodement veut-on faire entre nous ? la voix de ces messieurs, me condamnera-t-elle","mais d'un plus doux esprit…"
"à trouver bons les vers qui font notre querelle ? je ne me dédis point de ce que j'en ai dit,","mais d'un plus doux esprit…"
"je les trouve méchants.","mais d'un plus doux esprit…"
"je n'en démordrai point, les vers sont exécrables.","vous devez faire voir des sentiments traitables ; allons, venez."
"j'irai, mais rien n'aura pouvoir de me faire dédire.","allons vous faire voir."
"hors qu'un commandement exprès du roi me vienne, de trouver bons les vers, dont on se met en peine,","allez vite paraître où vous devez."
"je soutiendrai, toujours, morbleu, qu'ils sont mauvais, et qu'un homme est pendable, après les avoir faits.","allez vite paraître où vous devez."
"à clitandre et acaste, qui rient. par la sangbleu, messieurs, je ne croyais pas être","allez vite paraître où vous devez."
"si plaisant que je suis.","allez vite paraître où vous devez."
"j'y vais, madame, et, sur mes pas je reviens en ce lieu, pour vider nos débats.","cher marquis, je te vois l'âme bien satisfaite, toute chose t'égaye, et rien ne t'inquiète."
"j'y vais, madame, et, sur mes pas je reviens en ce lieu, pour vider nos débats.","en bonne foi, crois-tu, sans t'éblouir les yeux, avoir de grands sujets de paraître joyeux ?"
"parbleu, je ne vois pas, lorsque je m'examine, où prendre aucun sujet d'avoir l'âme chagrine.","oui, mais trouvant ailleurs, des conquêtes faciles, pourquoi pousser ici des soupirs inutiles ?"
"j'ai du bien, je suis jeune, et sors d'une maison qui se peut dire noble, avec quelque raison ;","oui, mais trouvant ailleurs, des conquêtes faciles, pourquoi pousser ici des soupirs inutiles ?"
"et je crois, par le rang que me donne ma race, qu'il est fort peu d'emplois, dont je ne sois en passe.","oui, mais trouvant ailleurs, des conquêtes faciles, pourquoi pousser ici des soupirs inutiles ?"
"pour le coeur, dont, sur tout, nous devons faire cas, on sait, sans vanité, que je n'en manque pas ;","oui, mais trouvant ailleurs, des conquêtes faciles, pourquoi pousser ici des soupirs inutiles ?"
"et l'on m'a vu pousser, dans le monde, une affaire, d'une assez vigoureuse, et gaillarde manière.","oui, mais trouvant ailleurs, des conquêtes faciles, pourquoi pousser ici des soupirs inutiles ?"
"pour de l'esprit, j'en ai, sans doute, et du bon goût, à juger sans étude, et raisonner de tout ;","oui, mais trouvant ailleurs, des conquêtes faciles, pourquoi pousser ici des soupirs inutiles ?"
"à faire aux nouveautés, dont je suis idolâtre, figure de savant, sur les bancs du théâtre ;","oui, mais trouvant ailleurs, des conquêtes faciles, pourquoi pousser ici des soupirs inutiles ?"
"y décider en chef, et faire du fracas à tous les beaux endroits qui méritent des *has*.","oui, mais trouvant ailleurs, des conquêtes faciles, pourquoi pousser ici des soupirs inutiles ?"
"je suis assez adroit, j'ai bon air, bonne mine, les dents belles, surtout, et la taille fort fine.","oui, mais trouvant ailleurs, des conquêtes faciles, pourquoi pousser ici des soupirs inutiles ?"
"quant à se mettre bien, je crois, sans me flatter, qu'on serait mal venu de me le disputer.","oui, mais trouvant ailleurs, des conquêtes faciles, pourquoi pousser ici des soupirs inutiles ?"
"je me vois dans l'estime autant qu'on y puisse être, fort aimé du beau sexe, et bien auprès du maître :","oui, mais trouvant ailleurs, des conquêtes faciles, pourquoi pousser ici des soupirs inutiles ?"
"je crois, qu'avec cela, mon cher marquis, je crois, qu'on peut, par tout pays, être content de soi.","oui, mais trouvant ailleurs, des conquêtes faciles, pourquoi pousser ici des soupirs inutiles ?"
"moi ? parbleu, je ne suis de taille, ni d'humeur, à pouvoir, d'une belle, essuyer la froideur.","tu penses donc, marquis, être fort bien ici ?"
"c'est aux gens mal tournés, aux mérites vulgaires, à brûler, constamment, pour des beautés sévères ;","tu penses donc, marquis, être fort bien ici ?"
"à languir à leurs pieds, et souffrir leurs rigueurs, à chercher le secours des soupirs, et des pleurs,","tu penses donc, marquis, être fort bien ici ?"
"et tâcher, par des soins d'une très longue suite, d'obtenir ce qu'on nie à leur peu de mérite.","tu penses donc, marquis, être fort bien ici ?"
"mais les gens de mon air, marquis, ne sont pas faits, pour aimer à crédit, et faire tous les frais.","tu penses donc, marquis, être fort bien ici ?"
"quelque rare que soit le mérite des belles, je pense, dieu merci, qu'on vaut son prix, comme elles ;","tu penses donc, marquis, être fort bien ici ?"
"que pour se faire honneur d'un coeur comme le mien, ce n'est pas la raison qu'il ne leur coûte rien.","tu penses donc, marquis, être fort bien ici ?"
"et qu'au moins, à tout mettre en de justes balances, il faut, qu'à frais communs, se fassent les avances.","tu penses donc, marquis, être fort bien ici ?"
"j'ai quelque lieu, marquis, de le penser ainsi.","crois-moi, détache-toi de cette erreur extrême ; tu te flattes, mon cher, et t'aveugles toi-même."
"il est vrai, je me flatte, et m'aveugle, en effet.","mais, qui te fait juger ton bonheur si parfait ?"
"je me flatte.","sur quoi fonder tes conjectures ?"
"je m'aveugle.","en as-tu des preuves qui soient sûres ?"
"je m'abuse, te dis-je.","est-ce que de ses voeux, célimène t'a fait quelques secrets aveux ?"
"non, je suis maltraité.","réponds-moi, je te prie."
"je n'ai que des rebuts.","laissons la raillerie, et me dis quel espoir on peut t'avoir donné ?"
"je suis le misérable, et toi le fortuné, on a, pour ma personne, une aversion grande ;","ô çà, veux-tu, marquis, pour ajuster nos voeux, que nous tombions d'accord d'une chose, tous deux ?"
"et quelqu'un de ces jours, il faut que je me pende.","que qui pourra montrer une marque certaine, d'avoir meilleure part au coeur de célimène,"
"je suis le misérable, et toi le fortuné, on a, pour ma personne, une aversion grande ;","l'autre ici, fera place au vainqueur prétendu, et le délivrera d'un rival assidu ?"
"ah ! parbleu, tu me plais, avec un tel langage ; et du bon de mon coeur, à cela je m'engage.","encore ici ?"
"mais chut.","encore ici ?"
"l'amour retient nos pas.","je viens d'ouïr entrer un carrosse là-bas, savez-vous qui c'est ?"
"non.","arsinoé, madame, monte ici, pour vous voir."
"que me veut cette femme ?","éliante, là-bas, est à l'entretenir."
"de quoi s'avise-t-elle ? et qui la fait venir ?","pour prude consommée, en tous lieux elle passe ; et l'ardeur de son zèle…"
"oui, oui, franche grimace, dans l'âme, elle est du monde, et ses soins tentent tout,","ah ! quel heureux sort, en ce lieu vous amène ? madame, sans mentir, j'étais de vous, en peine."
"pour accrocher quelqu'un, sans en venir à bout. elle ne saurait voir, qu'avec un oeil d'envie,","ah ! quel heureux sort, en ce lieu vous amène ? madame, sans mentir, j'étais de vous, en peine."
"les amants déclarés, dont une autre est suivie ; et son triste mérite, abandonné de tous,","ah ! quel heureux sort, en ce lieu vous amène ? madame, sans mentir, j'étais de vous, en peine."
"contre le siècle aveugle, est toujours en courroux. elle tâche à couvrir d'un faux voile de prude,","ah ! quel heureux sort, en ce lieu vous amène ? madame, sans mentir, j'étais de vous, en peine."
"ce que, chez elle, on voit d'affreuse solitude ; et pour sauver l'honneur de ses faibles appas,","ah ! quel heureux sort, en ce lieu vous amène ? madame, sans mentir, j'étais de vous, en peine."
"elle attache du crime, au pouvoir qu'ils n'ont pas. cependant, un amant plairait fort à la dame,","ah ! quel heureux sort, en ce lieu vous amène ? madame, sans mentir, j'étais de vous, en peine."
"et même, pour alceste, elle a tendresse d'âme ; ce qu'il me rend de soins, outrage ses attraits,","ah ! quel heureux sort, en ce lieu vous amène ? madame, sans mentir, j'étais de vous, en peine."
"elle veut que ce soit un vol que je lui fais ; et son jaloux dépit, qu'avec peine, elle cache,","ah ! quel heureux sort, en ce lieu vous amène ? madame, sans mentir, j'étais de vous, en peine."
"en tous endroits, sous main, contre moi se détache. enfin, je n'ai rien vu de si sot, à mon gré,","ah ! quel heureux sort, en ce lieu vous amène ? madame, sans mentir, j'étais de vous, en peine."
"elle est impertinente au suprême degré ; et…","ah ! quel heureux sort, en ce lieu vous amène ? madame, sans mentir, j'étais de vous, en peine."
"je viens, pour quelque avis que j'ai cru vous devoir.","ah ! mon dieu, que je suis contente de vous voir !"
"leur départ ne pouvait, plus à propos, se faire.","voulons-nous nous asseoir ?"
"il n'est pas nécessaire, madame ; l'amitié doit surtout éclater","madame, j'ai beaucoup de grâces à vous rendre, un tel avis m'oblige, et loin de le mal prendre,"
"aux choses, qui le plus, nous peuvent importer ; et comme il n'en est point de plus grande importance,","j'en prétends reconnaître, à l'instant, la faveur, pour un avis, aussi, qui touche votre honneur :"
"que celles de l'honneur et de la bienséance, je viens, par un avis qui touche votre honneur,","et, comme je vous vois vous montrer mon amie, en m'apprenant les bruits que de moi l'on publie,"
"témoigner l'amitié que, pour vous, a mon cœur. hier, j'étais chez des gens, de vertu singulière,","je veux suivre, à mon tour, un exemple si doux, en vous avertissant, de ce qu'on dit de vous."
"où, sur vous, du discours, on tourna la matière ; et là, votre conduite, avec ses grands éclats,","en un lieu, l'autre jour, où je faisais visite, je trouvai quelques gens, d'un très rare mérite,"
"madame, eut le malheur, qu'on ne la loua pas. cette foule de gens, dont vous souffrez visite,","qui parlant des vrais soins d'une âme qui vit bien, firent tomber, sur vous, madame, l'entretien."
"votre galanterie, et les bruits qu'elle excite, trouvèrent des censeurs plus qu'il n'aurait fallu,","là, votre pruderie, et vos éclats de zèle, ne furent pas cités comme un fort bon modèle :"
"et bien plus rigoureux que je n'eusse voulu. vous pouvez bien penser quel parti je sus prendre ;","cette affectation d'un grave extérieur, vos discours éternels de sagesse, et d'honneur,"
"je fis ce que je pus, pour vous pouvoir défendre, je vous excusai fort sur votre intention,","vos mines, et vos cris, aux ombres d'indécence, que d'un mot ambigu, peut avoir l'innocence ;"
"et voulus, de votre âme, être la caution. mais vous savez qu'il est des choses dans la vie,","cette hauteur d'estime où vous êtes de vous, et ces yeux de pitié, que vous jetez sur tous ;"
"qu'on ne peut excuser, quoique on en ait envie ; et je me vis contrainte à demeurer d'accord,","vos fréquentes leçons, et vos aigres censures, sur des choses qui sont innocentes, et pures ;"
