"*Récit de *L’AURORE quand l'amour à vos yeux offre un choix agréable,"," holà ? holà ? debout, debout, debout :"
"ah ! monsieur l'ours je suis votre serviteur de tout mon cœur : de grâce épargnez-moi ! je vous assure que je ne vaux rien du tout à manger","oui j'aime à demeurer dans ces paisibles lieux, on n'y découvre rien qui n'enchante les yeux,"
"je n'ai que la peau et les os  et je vois de certaines gens là-bas qui seraient bien mieux votre affaire. eh ! eh ! eh ! monseigneur tout doux s'il vous plaît. là là là","et de tous nos palais la savante structure cède aux simples beautés qu'y forme la nature :"
"là ah ! monseigneur que votre altesse est jolie  et bien faite  elle a tout à fait l'air galant et la taille la plus mignonne du monde.","ces arbres, ces rochers, cette eau, ces gazons frais ont pour moi des appas à ne lasser jamais."
"ah beau poil ! belle tête ! beaux yeux brillants  et bien fendus ! ah beau petit nez ! belle petite bouche ! petites quenottes jolies !","oui j'aime à demeurer dans ces paisibles lieux, on n'y découvre rien qui n'enchante les yeux,"
"ah belle gorge ! belles petites menottes ! petits ongles bien faits. à l'aide au secours je suis mort miséricorde pauvre moron ah mon dieu !","et de tous nos palais la savante structure cède aux simples beautés qu'y forme la nature :"
"les chasseurs paraissent. eh messieurs ayez pitié de moi ! bons messieurs tuez-moi ce vilain animal-là !","ces arbres, ces rochers, cette eau, ces gazons frais ont pour moi des appas à ne lasser jamais."
"ô ciel ! daigne les assister. bon le voilà qui fuit le voilà qui s'arrête  et qui se jette sur eux. bon en voilà un qui vient de lui donner un coup dans la gueule.","oui j'aime à demeurer dans ces paisibles lieux, on n'y découvre rien qui n'enchante les yeux,"
"les voilà tous à l'entour de lui. courage ferme allons mes amis. bon poussez fort encore ah ! le voilà qui est à terre c'en est fait il est mort","et de tous nos palais la savante structure cède aux simples beautés qu'y forme la nature :"
"descendons maintenant pour lui donner cent coups. serviteur messieurs je vous rends grâce de m'avoir délivré de cette bête maintenant que vous l'avez tuée je m'en vais l'achever","ces arbres, ces rochers, cette eau, ces gazons frais ont pour moi des appas à ne lasser jamais."
"ces heureux chasseurs n'eurent pas plutôt remporté cette victoire que moron devenu brave par l'éloignement du péril voulut aller donner mille coups à la bête","oui j'aime à demeurer dans ces paisibles lieux, on n'y découvre rien qui n'enchante les yeux,"
"qui n'était plus en état de se défendre  et fit tout ce qu'un fanfaron qui n'aurait pas été trop hardi eût pu faire en cette occasion ","et de tous nos palais la savante structure cède aux simples beautés qu'y forme la nature :"
" et les chasseurs pour témoigner leur joie dansèrent une fort belle entrée : c'étaient m. manceau les sieurs chicanneau baltazard noblet bonard","ces arbres, ces rochers, cette eau, ces gazons frais ont pour moi des appas à ne lasser jamais."
"le prince d'ithaque et la princesse eurent une conversation fort galante sur la course des chars qui se préparait : elle avait dit auparavant à une des princesses ses parentes que l'insensibilité du prince d'ithaque lui donnait de la peine ","oui j'aime à demeurer dans ces paisibles lieux, on n'y découvre rien qui n'enchante les yeux,"
"et lui était honteuse : qu'encore qu'elle ne voulût rien aimer il était bien fâcheux de voir qu'il n'aimait rien  et que quoi qu'elle eût résolu de n'aller point voir les courses","et de tous nos palais la savante structure cède aux simples beautés qu'y forme la nature :"
"elle s'y voulait rendre dans le dessein de tâcher à triompher de la liberté d'un homme qui la chérissait si fort. il était facile de juger que le mérite de ce prince produisait son eff","ces arbres, ces rochers, cette eau, ces gazons frais ont pour moi des appas à ne lasser jamais."
"et ordinaire que ses belles qualités avaient touché ce cœur superbe :  et commencé à fondre une partie de cette glace qui avait résisté jusques alors à toutes les ardeurs de l'amour","oui j'aime à demeurer dans ces paisibles lieux, on n'y découvre rien qui n'enchante les yeux,"
" et plus il affectait (par le conseil de moron qu'il avait gagné  et qui connaissait fort le cœur de la princesse) de paraître insensible","et de tous nos palais la savante structure cède aux simples beautés qu'y forme la nature :"
" et quoiqu'il ne fût que trop amoureux plus la princesse se mettait dans la tête de l'engager quoiqu'elle n'eût pas fait dessein de s'engager elle-même. les princes de messène ","ces arbres, ces rochers, cette eau, ces gazons frais ont pour moi des appas à ne lasser jamais."
"et de pyle prirent lors congé d'elle pour s'aller préparer aux courses  et lui parlant de l'espérance qu'ils avaient de vaincre par le désir qu'ils sentaient de lui plaire :","oui j'aime à demeurer dans ces paisibles lieux, on n'y découvre rien qui n'enchante les yeux,"
"celui d'ithaque lui témoigna au contraire que n'ayant ja mais rien aimé il allait essayer à vaincre pour sa propre satisfaction ce qui la piqua encore davantage à vouloir soumettre un cœur déjà assez soumis","et de tous nos palais la savante structure cède aux simples beautés qu'y forme la nature :"
"je chéris comme vous ces retraites tranquilles où l'on se vient sauver de l'embarras des villes ;","quel droit ont-ils chacun d'y vouloir ma présence ? et que dois-je après tout à leur magnificence ?"
"de mille objets charmants ces lieux sont embellis ; et ce qui doit surprendre, est qu'aux portes d'élis","ce sont soins que produit l'ardeur de m'acquérir, et mon cœur est le prix qu'ils veulent tous courir :"
"la douce passion de fuir la multitude rencontre une si belle, et vaste solitude :","mais quelque espoir qui flatte un projet de la sorte, je me tromperai fort si pas un d'eux l'emporte."
"mais à vous dire vrai dans ces jours éclatants vos retraites ici me semblent hors de temps,","quel droit ont-ils chacun d'y vouloir ma présence ? et que dois-je après tout à leur magnificence ?"
"et c'est fort maltraiter l'appareil magnifique que chaque prince a fait pour la fête publique :","ce sont soins que produit l'ardeur de m'acquérir, et mon cœur est le prix qu'ils veulent tous courir :"
"ce spectacle pompeux de la course des chars devrait bien mériter l'honneur de vos regards.","mais quelque espoir qui flatte un projet de la sorte, je me tromperai fort si pas un d'eux l'emporte."
"jusques à quand ce cœur veut-il s'effaroucher des innocents desseins qu'on a de le toucher ?","pour moi je tiens que cette passion est la plus agréable affaire de la vie qu'il est nécessaire d'aimer pour vivre heureusement  et que tous les plaisirs sont fades s'il ne s'y mêle un peu d'amour."
"et regarde les soins que pour vous on se donne, comme autant d'attentats contre votre personne ?","pour moi je tiens que cette passion est la plus agréable affaire de la vie qu'il est nécessaire d'aimer pour vivre heureusement  et que tous les plaisirs sont fades s'il ne s'y mêle un peu d'amour."
"je sais qu'en défendant le parti de l'amour on s'expose chez vous à faire mal sa cour :","pour moi je tiens que cette passion est la plus agréable affaire de la vie qu'il est nécessaire d'aimer pour vivre heureusement  et que tous les plaisirs sont fades s'il ne s'y mêle un peu d'amour."
"mais ce que par le sang j'ai l'honneur de vous être s'oppose aux duretés que vous faites paraître,","pour moi je tiens que cette passion est la plus agréable affaire de la vie qu'il est nécessaire d'aimer pour vivre heureusement  et que tous les plaisirs sont fades s'il ne s'y mêle un peu d'amour."
"et je ne puis nourrir d'un flatteur entretien vos résolutions de n'aimer jamais rien.","pour moi je tiens que cette passion est la plus agréable affaire de la vie qu'il est nécessaire d'aimer pour vivre heureusement  et que tous les plaisirs sont fades s'il ne s'y mêle un peu d'amour."
"est-il rien de plus beau que l'innocente flamme qu'un mérite éclatant allume dans une âme ?","pour moi je tiens que cette passion est la plus agréable affaire de la vie qu'il est nécessaire d'aimer pour vivre heureusement  et que tous les plaisirs sont fades s'il ne s'y mêle un peu d'amour."
"et serait-ce un bonheur de respirer le jour si d'entre les mortels on bannissait l'amour ?","pour moi je tiens que cette passion est la plus agréable affaire de la vie qu'il est nécessaire d'aimer pour vivre heureusement  et que tous les plaisirs sont fades s'il ne s'y mêle un peu d'amour."
"non, non, tous les plaisirs se goûtent à le suivre, et vivre sans aimer n'est pas proprement vivre.","pour moi je tiens que cette passion est la plus agréable affaire de la vie qu'il est nécessaire d'aimer pour vivre heureusement  et que tous les plaisirs sont fades s'il ne s'y mêle un peu d'amour."
"pouvez-vous bien toutes deux étant ce que vous êtes prononcer ces paroles   et ne devez-vous pas rougir d'appuyer une passion qui n'est qu'erreur","eh ! madame il est de certaines faiblesses qui ne sont point honteuses  et qu'il est beau même d'avoir dans les plus hauts degrés de gloire."
"que faiblesse et qu'emportement  et dont tous les désordres ont tant de répugnance avec la gloire de notre sexe. j'en prétends soutenir l'honneur jusqu'au dernier moment de ma vie :","j'espère que vous changerez un jour de pensée  et s'il plaît au ciel nous verrons votre cœur avant qu'il soit peu…"
" et ne veux point du tout me commettre à ces gens qui sont les esclaves auprès de nous pour devenir un jour nos tyrans : toutes ces larmes tous ces soupirs","eh ! madame il est de certaines faiblesses qui ne sont point honteuses  et qu'il est beau même d'avoir dans les plus hauts degrés de gloire."
"tous ces hommages tous ces respects sont des embûches qu'on tend à notre cœur  et qui souvent l'engagent à commettre des lâchetés. pour moi quand je regarde certains exemples","j'espère que vous changerez un jour de pensée  et s'il plaît au ciel nous verrons votre cœur avant qu'il soit peu…"
" et les bassesses épouvantables où cette passion ravale les personnes sur qui elle étend sa puissance : je sens tout mon cœur qui s'émeut :  et je ne puis souffrir qu'une âme qui fait profession d'un peu de fierté","eh ! madame il est de certaines faiblesses qui ne sont point honteuses  et qu'il est beau même d'avoir dans les plus hauts degrés de gloire."
"arrêtez n'achevez pas ce souhait étrange j'ai une horreur trop invincible pour ces sortes d'abaissements  et si ja mais j'étais capable d'y descendre je serais personne sans doute à ne me le point pardonner.","prenez garde ; madame, l'amour sait se venger des mépris que l'on fait de lui, et peut-être…"
"non non je brave tous ses traits  et le grand pouvoir qu'on lui donne n'est rien qu'une chimère qu'une excuse des faibles cœurs qui le font invincible pour autoriser leur faiblesse."," mais enfin toute la terre reconnaît sa puissance  et vous voyez que les dieux même sont assujettis à son empire : on nous fait voir que jupiter n'a pas aimé pour une fois  et que diane même dont vous affectez tant l'exemple n'a pas rougi de pousser des soupirs d'amour."
"les croyances publiques sont toujours mêlées d'erreur : les dieux ne sont point faits comme se les fait le vulgaire  et c'est leur manquer de respect que de leur attribuer les faiblesses des hommes.","viens, approche moron, viens nous aider à défendre l'amour contre les sentiments de la princesse."
"voilà votre parti fortifié d'un grand défenseur.","ma foi madame je crois qu'après mon exemple il n'y a plus rien à dire  et qu'il ne faut plus mettre en doute le pouvoir de l'amour."
"voilà votre parti fortifié d'un grand défenseur.","j'ai bravé ses armes assez longtemps  et fait de mon drôle comme un autre   mais enfin ma fierté a baissé l'oreille  et vous avez une traîtresse qui m'a rendu plus doux qu'un agneau :"
"voilà votre parti fortifié d'un grand défenseur.","après cela on ne doit plus faire aucun scrupule d'aimer  et puisque j'ai bien passé par là"
"quoi ? moron se mêle d'aimer ?","fort bien."
"et de vouloir être aimé ?"," et pourquoi non ? est-ce qu'on n'est pas assez bien fait pour cela ? je pense que ce visage est assez passable  et que pour le bel air"
"sans doute, on aurait tort…","madame le prince votre père vient vous trouver ici  et conduit avec lui les princes de pyle"
"ô ciel ! que prétend-il faire en me les amenant ? aurait-il résolu ma perte","seigneur je vous demande la licence de prévenir par deux paroles la déclaration des pensées que vous pouvez avoir. il y a deux vérités"
"ô ciel ! que prétend-il faire en me les amenant ? aurait-il résolu ma perte","seigneur aussi constantes l'une que l'autre  et dont je puis vous assurer également : l'une que vous avez un absolu pouvoir sur moi  et que vous ne sauriez m'ordonner rien où je ne réponde aussitôt par une obéissance aveugle."
"ô ciel ! que prétend-il faire en me les amenant ? aurait-il résolu ma perte","l'autre que je regarde l'hyménée ainsi que le trépas  et qu'il m'est impossible de forcer cette aversion naturelle : me donner un mari  et me donner la mort c'est une même chose "
"ô ciel ! que prétend-il faire en me les amenant ? aurait-il résolu ma perte"," mais votre volonté va la première  et mon obéissance m'est bien plus chère que ma vie : après cela parlez seigneur prononcez librement ce que vous voulez."
"ma fille tu as tort de prendre de telles alarmes  et je me plains de toi qui peux mettre dans ta pensée que je sois assez mauvais père pour vouloir faire violence à tes sentiments","tout le monde va faire des efforts pour emporter le prix de cette course  mais à vous dire vrai j'ai peu d'ardeur pour la victoire puisque ce n'est pas votre cœur qu'on y doit disputer."
" et me servir tyranniquement de la puissance que le ciel me donne sur toi. je souhaite à la vérité que ton cœur puisse aimer quelqu'un :","tout le monde va faire des efforts pour emporter le prix de cette course  mais à vous dire vrai j'ai peu d'ardeur pour la victoire puisque ce n'est pas votre cœur qu'on y doit disputer."
"tous mes vœux seraient satisfaits si cela pouvait arriver  et je n'ai proposé les fêtes  et les jeux que je fais célébrer ici qu'afin d'y pouvoir attirer tout ce que la grèce a d'illustre ","tout le monde va faire des efforts pour emporter le prix de cette course  mais à vous dire vrai j'ai peu d'ardeur pour la victoire puisque ce n'est pas votre cœur qu'on y doit disputer."
" et que parmi cette noble jeunesse tu puisses enfin rencontrer où arrêter tes yeux  et déterminer tes pensées. je ne demande dis-je au ciel autre bonheur que celui de te voir un époux.","tout le monde va faire des efforts pour emporter le prix de cette course  mais à vous dire vrai j'ai peu d'ardeur pour la victoire puisque ce n'est pas votre cœur qu'on y doit disputer."
"j'ai pour obtenir cette grâce fait encore ce matin un sacrifice à vénus  et si je sais bien expliquer le langage des dieux elle m'a promis un miracle ","tout le monde va faire des efforts pour emporter le prix de cette course  mais à vous dire vrai j'ai peu d'ardeur pour la victoire puisque ce n'est pas votre cœur qu'on y doit disputer."
" mais quoi qu'il en soit je veux en user avec toi en père qui chérit sa fille : si tu trouves où attacher tes vœux ton choix sera le mien  et je ne considérerai ni intérêts d'état","tout le monde va faire des efforts pour emporter le prix de cette course  mais à vous dire vrai j'ai peu d'ardeur pour la victoire puisque ce n'est pas votre cœur qu'on y doit disputer."
"ni avantage d'alliance. si ton cœur demeure insensible je n'entreprendrai point de le forcer :  mais au moins sois complaisante aux civilités qu'on te rend ","tout le monde va faire des efforts pour emporter le prix de cette course  mais à vous dire vrai j'ai peu d'ardeur pour la victoire puisque ce n'est pas votre cœur qu'on y doit disputer."
"et ne m'oblige point à faire les excuses de ta froideur : traite ces princes avec l'estime que tu leur dois reçois avec reconnaissance les témoignages de leur zèle  et viens voir cette course où leur adresse va paraître.","tout le monde va faire des efforts pour emporter le prix de cette course  mais à vous dire vrai j'ai peu d'ardeur pour la victoire puisque ce n'est pas votre cœur qu'on y doit disputer."
"pour moi madame vous êtes le seul prix que je me propose partout : c'est vous que je crois disputer dans ces combats d'adresse  et je n'aspire maintenant à remporter l'honneur de cette course","pour moi madame je n'y vais point du tout avec cette pensée : comme j'ai fait toute ma vie profession de ne rien aimer tous les soins que je prends ne vont point où tendent les autres :"
"que pour obtenir un degré de gloire qui m'approche de votre cœur.","je n'ai aucune prétention sur votre cœur  et le seul honneur de la course est tout l'avantage où j'aspire. ils la quittent."
"d'où sort cette fierté où l'on ne s'attendait point ? princesses que dites-vous de ce jeune prince ? avez-vous remarqué de quel ton il l'a pris ?","il est vrai que cela est un peu fier."
"ah ! quelle brave botte il vient là de lui porter !","ne trouvez-vous pas qu'il y aurait plaisir d'abaisser son orgueil"
"comme vous êtes accoutumée à ne ja mais recevoir que des hommages  et des adorations de tout le monde un compliment pareil au sien doit vous surprendre à la vérité.","je vous avoue que cela m'a donné de l'émotion  et que je souhaiterais fort de trouver les moyens de châtier cette hauteur. je n'avais pas beaucoup d'envie de me trouver à cette course "
"comme vous êtes accoutumée à ne ja mais recevoir que des hommages  et des adorations de tout le monde un compliment pareil au sien doit vous surprendre à la vérité.","mais j'y veux aller exprès  et employer toute chose pour lui donner de l'amour."
"prenez garde, madame, l'entreprise est périlleuse, et lorsqu'on veut donner de l'amour, on court risque d'en recevoir.","non laisse-moi suivre les autres."
"philis demeure ici ?","cela se pourrait faire  et je demeure d'accord que je trouve bien mieux mon compte avec l'un qu'avec l'autre  car il me divertit avec sa voix  et toi tu m'étourdis de ton caquet."
"philis demeure ici ?","lorsque tu chanteras aussi bien que lui je te promets de t'écouter."
"ah ! cruelle si c'était tircis qui t'en priât, tu demeurerais bien vite.","je ne saurais."
"eh ! demeure un peu !","point te dis-je."
"de grâce !","ah ! que de façons."
"je ne te laisserai point aller.","eh bien ! oui, j'y demeurerai, pourvu que tu me promettes une chose !"
"je ne te demande qu'un moment à être avec toi !","de ne me point parler du tout."
"et quelle ?","à moins que de cela je ne demeurerai point avec toi."
"eh ! philis !","laisse-moi aller !"
"veux-tu me…","prends-y bien garde au moins ; car à la moindre parole je prends la fuite."
"eh bien, oui, demeure : je ne dirai mot.","la, la, la."
"il fait une scène de gestes. soit. ah ! philis… eh… elle s'enfuit  et je ne saurais l'attraper.","je le veux ; mais auparavant écoute une chanson que je viens de faire."
"voilà ce que c'est si je savais chanter j'en ferais bien mieux mes affaires. la plupart des femmes aujourd'hui se laissent prendre par les oreilles :","je le veux ; mais auparavant écoute une chanson que je viens de faire."
"elles sont cause que tout le monde se mêle de musique  et l'on ne réussit auprès d'elles que par les petites chansons  et les petits vers qu'on leur fait entendre.","je le veux ; mais auparavant écoute une chanson que je viens de faire."
"il faut que j'apprenne à chanter pour faire comme les autres bon","je le veux ; mais auparavant écoute une chanson que je viens de faire."
"ah ! satyre mon ami, tu sais bien ce que tu m'as promis il y a longtemps, apprends-moi à chanter, je te prie.","je portais…"
"il est si accoutumé à chanter qu'il ne saurait parler d'autre façon. allons chante, j'écoute.","je port…"
"une chanson, dis-tu ?","je port…"
"une chanson à chanter ?","je portais dans une cage deux moineaux que j'avais pris,"
"une chanson à chanter ?","lorsque la jeune cloris fit dans un sombre bocage"
"une chanson à chanter ?","briller, à mes yeux surpris, les fleurs de son beau visage :"
"une chanson à chanter ?","hélas ! dis-je aux moineaux, en recevant les coups de ses yeux si savants à faire des conquêtes,"
"une chanson à chanter ?","consolez-vous, pauvres petites bêtes, celui qui vous a pris est bien plus pris que vous."
"une chanson à chanter ?","moron ne fut pas satisfait de cette chanson quoiqu'il la trouvât jolie il en demanda une plus passionnée  et priant le satyre de lui dire celle qu'il lui avait ouï chanter quelques jours auparavant"
"une chanson à chanter ?","dans vos chants si doux, chantez à ma belle,"
"une chanson à chanter ?","oiseaux, chantez tous ma peine mortelle :"
"une chanson à chanter ?","mais si la cruelle se met en courroux"
"une chanson à chanter ?","au récit fidèle des maux que je sens pour elle ;"
"une chanson à chanter ?","oiseaux, taisez-vous. oiseaux, taisez-vous."
"une chanson à chanter ?","cette seconde chanson ayant touché moron fort sensiblement il pria le satyre de la lui apprendre à chanter "
"chanson amoureuse, peste.","la, la, la, la."
"ah qu'elle est belle, apprends-la-moi !","fa, fa, fa, fa."
"la, la, la, la.","il est vrai madame que ce jeune prince a fait voir une adresse non commune  et que l'air dont il a paru a été quelque chose de surprenant."
"la, la, la, la.","il sort vainqueur de cette course  mais je doute fort qu'il en sorte avec le même cœur qu'il y a porté : car enfin vous lui avez tiré des traits dont il est difficile de se défendre"
"la, la, la, la."," et sans parler de tout le reste la grâce de votre danse  et la douceur de votre voix ont eu des charmes aujourd'hui à toucher les plus insensibles."
"fa toi-même. le satyre s'en mit en colère  et peu à peu se mettant en posture d'en venir à des coups de poing","ah ! moron je te l'avoue j'ai été enchanté  et ja mais tant de charmes n'ont frappé tout ensemble mes yeux  et mes oreilles. elle est adorable en tout temps il est vrai :"
"les violons reprirent un air sur lequel ils dansèrent une plaisante entrée. la princesse d'élide était cependant dans d'étranges inquiétudes :"," mais ce moment l'a emporté sur tous les autres  et des grâces nouvelles ont redoublé l'éclat de ses beautés. ja mais son visage ne s'est paré de plus vives couleurs ni ses yeux ne se sont armés de traits plus vifs "
"le prince d'ithaque avait gagné le prix des courses elle avait dans la suite de ce divertissement fait des merveilles à chanter  et à la danse sans qu'il parût que les dons de la nature  et de l'art eussent été quasi remarqués par le prince d'ithaque ","et plus perçants. la douceur de sa voix a voulu se faire paraître dans un air tout charmant qu'elle a daigné chanter  et les sons merveilleux qu'elle formait passaient jusqu'au fond de mon âme"
"elle en fit de grandes plaintes à la princesse sa parente elle en parla à moron qui fit passer c et insensible pour un brutal :  et enfin le voyant arriver lui-même"," et tenaient tous mes sens dans un ravissement à ne pouvoir en revenir. elle a fait éclater ensuite une disposition toute divine  et ses pieds amoureux sur l'émail d'un tendre gazon traçaient d'aimables caractères qui m'enlevaient hors de moi-même"
"elle ne put s'empêcher de lui en toucher fort sérieusement quelque chose : il lui répondit ingénument qu'il n'aimait rien  et qu'hors l'amour de sa liberté"," et m'attachaient par des nœuds invincibles aux doux  et justes mouvements dont tout son corps suivait les mouvements de l'harmonie. enfin ja mais âme n'a eu de plus puissantes émotions que la mienne"
" et les plaisirs qu'elle trouvait si agréables de la solitude "," et j'ai pensé plus de vingt fois oublier ma résolution pour me jeter à ses pieds  et lui faire un aveu sincère de l'ardeur que je sens pour elle."
"le voici qui s'entretient avec moron nous saurons un peu de quoi il lui parle : ne rompons point encore leur entretien  et prenons cette route pour revenir à leur rencontre.","seigneur, voici la princesse qui s'est un peu éloignée de sa suite."
"donnez-vous-en bien de garde seigneur si vous m'en voulez croire : vous avez trouvé la meilleure invention du monde  et je me trompe fort si elle ne vous réussit.","tu as donc familiarité, moron, avec le prince d'ithaque ?"
"les femmes sont des animaux d'un naturel bizarre nous les gâtons par nos douceurs  et je crois toutdebon que nous les verrions nous courir sans tous ces respects","tu as donc familiarité, moron, avec le prince d'ithaque ?"
"demeurez ferme au moins dans le chemin que vous avez pris : je m'en vais voir ce qu'elle me dira : cependant promenez-vous ici dans ces petites routes sans faire aucun semblant d'avoir envie de la joindre","d'où vient qu'il n'est pas venu jusqu'ici, et qu'il a pris cette autre route quand il m'a vue ?"
" et si vous l'abordez demeurez avec elle le moins qu'il vous sera possible.","d'où vient qu'il n'est pas venu jusqu'ici, et qu'il a pris cette autre route quand il m'a vue ?"
"ah ! madame il y a longtemps que nous nous connaissons.","étais-tu tantôt au compliment qu'il m'a fait ?"
"c'est un homme bizarre qui ne se plaît qu'à entretenir ses pensées.","pour moi je le confesse moron cette fuite m'a choquée  et j'ai toutes les envies du monde de l'engager pour rabattre un peu son orgueil."
"oui, madame, j'y étais, et je l'ai trouvé un peu impertinent, n'en déplaise à sa principauté.","comment ?"
"ma foi madame vous ne feriez pas mal il le mériterait bien :  mais à vous dire vrai je doute fort que vous y puissiez réussir.","mais encore, ne t'a-t-il point parlé de moi ?"
"comment ! c'est le plus orgueilleux petit vilain que vous ayez ja mais vu. il lui semble qu'il n'y a personne au monde qui le mérite","il ne t'a rien dit de ma voix, et de ma danse ?"
"lui ? non.","certes ce mépris est choquant, et je ne puis souffrir cette hauteur étrange de ne rien estimer."
"pas le moindre mot.","il n'y a rien que je ne fasse, pour le soumettre comme il faut."
"il n'estime et n'aime que lui.","le voilà."
"nous n'avons point de marbre dans nos montagnes qui soit plus dur, et plus insensible que lui.","de grâce, moron, va le faire aviser que je suis ici, et l'oblige à me venir aborder."
"voyez-vous comme il passe, sans prendre garde à vous ?","vous êtes bien solitaire seigneur  et c'est une humeur bien extraordinaire que la vôtre de renoncer ainsi à notre sexe  et de fuir à votre âge cette galanterie"
"seigneur je vous donne avis que tout va bien : la princesse souhaite que vous l'abordiez :  mais songez bien à continuer votre rôle  et de peur de l'oublier ne soyez pas longtemps avec elle.","il y a grande différence  et ce qui sied bien à un sexe ne sied pas bien à l'autre. il est beau qu'une femme soit insensible  et conserve son cœur exempt des flammes de l'amour "
"seigneur je vous donne avis que tout va bien : la princesse souhaite que vous l'abordiez :  mais songez bien à continuer votre rôle  et de peur de l'oublier ne soyez pas longtemps avec elle."," mais ce qui est vertu en elle devient un crime dans un homme.  et comme la beauté est le partage de notre sexe vous ne sauriez ne nous point aimer"
"seigneur je vous donne avis que tout va bien : la princesse souhaite que vous l'abordiez :  mais songez bien à continuer votre rôle  et de peur de l'oublier ne soyez pas longtemps avec elle.","sans nous dérober les hommages qui nous sont dus  et commettre une offense dont nous devons toutes nous ressentir."
"cette humeur madame n'est pas si extraordinaire qu'on n'en trouvât des exemples sans aller loin d'ici  et vous ne sauriez condamner la résolution que j'ai prise de n'aimer ja","ce n'est pas une raison, seigneur, et sans vouloir aimer, on est toujours bien aise d'être aimée."
"je ne vois pas, madame, que celles qui ne veulent point aimer, doivent prendre aucun intérêt à ces sortes d'offenses.","et la raison ?"
"pour moi je ne suis pas de même, et dans le dessein où je suis, de ne rien aimer, je serais fâché d'être aimé.","si bien donc, que pour fuir l'ingratitude, vous aimeriez qui vous aimerait ?"
"c'est qu'on a obligation à ceux qui nous aiment, et que je serais fâché d'être ingrat.","telle personne vous aimerait, peut-être que votre cœur…"
"moi ? madame point du tout. je dis bien que je serais fâché d'être ingrat :","a-t-on jamais rien vu de tel !"
"non ! madame rien n'est capable de toucher mon cœur ma liberté est la seule maîtresse à qui je consacre mes vœux  et quand le ciel emploierait ses soins à composer une beauté parfaite","cet orgueil me confond, et j'ai un tel dépit, que je ne me sens pas."
"quand il emploierait en elle tous les dons les plus merveilleux  et du corps  et de l'âme. enfin quand il exposerait à mes yeux un miracle d'esprit","cet orgueil me confond, et j'ai un tel dépit, que je ne me sens pas."
"d'adresse  et de beauté  et que cette personne m'aimerait avec toutes les tendresses imaginables","cet orgueil me confond, et j'ai un tel dépit, que je ne me sens pas."
"peste soit du petit brutal, j'aurais bien envie de lui bailler un coup de poing.","ah ! moron, je n'en puis plus, et je me suis fait des efforts étranges."
"bon courage, seigneur, voilà qui va le mieux du monde.","le ciel ne m'a pas fait d'une autre humeur : mais madame j'interromps votre promenade"
"c'est avoir une insensibilité bien grande, que de parler comme vous faites.","je donnerais volontiers tout ce que j'ai au monde, pour avoir l'avantage d'en triompher."
"il ne vous en doit rien, madame, en dureté de cœur.","ne pourrais-tu, moron, me servir dans un tel dessein ?"
"je le crois !","parle-lui de moi dans tes entretiens vante-lui adroitement ma personne  et les avantages de ma naissance  et tâche d'ébranler ses sentiments"
"je le crois !","par la douceur de quelque espoir. je te permets de dire tout ce que tu voudras"
"vous savez bien, madame, que je suis tout à votre service.","c'est une chose qui me tient au cœur, je souhaite ardemment qu'il m'aime."
"laissez-moi faire.","enfin tu peux tout espérer de moi, si tu trouves moyen d'enflammer pour moi son cœur."
"il est bien fait ? oui ce petit pendard-là  il a bon air bonne physionomie  et je crois qu'il serait assez le fait d'une jeune princesse.","ah ! ce serait lors que je prendrais plaisir à triompher pleinement de sa vanité à punir son mépris par mes froideurs  et exercer sur lui toutes les cruautés que je pourrais imaginer."
"il n'y a rien qui ne se puisse faire ; mais, madame s'il venait à vous aimer, que feriez-vous s'il vous plaît ?","ah ! moron, il faut faire en sorte qu'il se rende."
"il ne se rendra jamais.","tu m'écoutes, hélas ! dans ma triste langueur ; mais je n'en suis pas mieux, ô ! beauté sans pareille !"
"il ne se rendra jamais.","et je touche ton oreille, sans que je touche ton cœur."
"non, il n'en fera rien, je le connais, ma peine serait inutile.","ah ! ah ! je vous y prends, cruelle, vous vous écartez des autres pour ouïr mon rival ?"
"viens tircis laissons-les aller  et me dis un peu ton martyre de la façon que tu sais faire ? il y a longtemps que tes yeux me parlent  mais je suis plus aise d'ouïr ta voix.","si je ne sais chanter, je sais faire autre chose, et quand…"
"va va c'est déjà quelque chose que de toucher l'oreille  et le temps amène tout. chante-moi cependant quelque plainte nouvelle que tu aies composée pour moi.","ah ! cruelle…"
"oui je m'écarte pour cela je te le dis encore : je me plais avec lui  et l'on écoute volontiers les amants lorsqu'ils se plaignent aussi agréablement qu'il fait.","arbres épais, et vous prés émaillés, la beauté dont l'hiver vous avait dépouillés"
"que ne chantes-tu comme lui ? je prendrais plaisir à t'écouter.","par le printemps vous est rendue : vous reprenez tous vos appas ;"
"oui je m'écarte pour cela je te le dis encore : je me plais avec lui  et l'on écoute volontiers les amants lorsqu'ils se plaignent aussi agréablement qu'il fait.","mais mon âme ne reprend pas la joie, hélas ! que j'ai perdue."
"tais-toi ! je veux l'entendre. dis, tircis, ce que tu voudras.","en vérité, tircis, il ne se peut rien de plus agréable, et tu l'emportes sur tous les rivaux que tu as."
"silence, dis-je, ou je me mettrai en colère.","oui, dis ? je veux bien t'écouter pour la rareté du fait."
