"seigneur la grange.","quoi ?"
"j'aurais envie d'en faire autant :  mais je me trouve un peu incommodé de la veine poétique pour la quantité des saignées que j'y ai faites ces jours passés.","je vous ferai un impromptu à loisir que vous trouverez le plus beau du monde."
"il a de l'esprit comme un démon.","et du galant, et du bien tourné."
"vicomte dis-moi un peu, y a-t-il longtemps, que tu n'as vu la comtesse ?","il y a plus de trois semaines que je ne lui ai rendu visite."
"sais-tu bien que le duc m'est venu voir ce matin, et m'a voulu mener à la campagne, courir un cerf, avec lui ?","voici nos amies, qui viennent."
"mon dieu mes chères nous vous demandons pardon. ces messieurs ont eu fantaisie de nous donner les âmes des pieds  et nous vous avons envoyé quérir pour remplir les vides de notre assemblée.","vous nous avez obligées, sans doute."
"ce n'est ici qu'un bal à la hâte  mais l'un de ces jours nous vous en donnerons un dans les formes.","oui, monsieur, ils sont ici."
"allons donc, mes chères, prenez place.","la, la, la, la, la, la, la, la."
"il a tout à fait la taille élégante.","et a la mine de danser proprement."
"ma franchise va danser la courante aussi bien que mes pieds. en cadence violons en cadence. oh quels ignorants ! il n'y a pas moyen de danser avec eux.","holà, ne pressez pas si fort la cadence, je ne fais que sortir de maladie."
"le diable vous emporte ne sauriez-vous jouer en mesure ? la la","holà, ne pressez pas si fort la cadence, je ne fais que sortir de maladie."
"ah, ah, coquins, que faites-vous ici ? il y a trois heures que nous vous cherchons.","ahy, ahy, ahy, vous ne m'aviez pas dit que les coups en seraient aussi."
"ahy, ahy, ahy.","c'est bien à vous, infâme que vous êtes, à vouloir faire l'homme d'importance."
"voilà qui vous apprendra à vous connaître. ils sortent.","que veut donc dire ceci ?"
"c'est une gageure.","quoi, vous laisser battre de la sorte !"
"mon dieu, je n'ai pas voulu faire semblant de rien : car je suis violent, et je me serais emporté.","endurer un affront comme celui-là, en notre présence ?"
"ce n'est rien ne laissons pas d'achever. nous nous connaissons il y a longtemps","ma foi, marauds, vous ne vous rirez pas de nous, je vous promets. entrez, vous autres."
"quelle est donc cette audace, de venir nous troubler de la sorte, dans notre maison ?","comment mes dames nous endurerons que nos laquais soient mieux reçus que nous ? qu'ils viennent vous faire l'amour à nos dépens  et vous donnent le bal ?"
"vos laquais ?","oui, nos laquais, et cela n'est ni beau, ni honnête, de nous les débaucher, comme vous faites."
"ô ciel, quelle insolence !"," mais ils n'auront pas l'avantage de se servir de nos habits pour vous donner dans la vue  et si vous les voulez aimer ce sera ma foi pour leurs beaux yeux."
"adieu notre braverie.","voilà le marquisat et la vicomté à bas."
"ha ha coquins vous avez l'audace d'aller sur nos brisées. vous irez chercher autre part de quoi vous rendre agréables aux yeux de vos belles","c'est trop que de nous supplanter, et de nous supplanter avec nos propres habits."
"ô fortune, quelle est ton inconstance !","vite qu'on leur ôte jusqu'à la moindre chose."
"qu'on emporte toutes ces hardes dépêchez. maintenant mes dames en l'état qu'ils sont vous pouvez continuer vos amours avec eux","ah quelle confusion !"
"tant qu'il vous plaira nous vous laissons toute sorte de liberté pour cela  et nous vous protestons monsieur  et moi que nous n'en serons aucunement jaloux.","ah quelle confusion !"
"je crève de dépit.","qu'est-ce donc que ceci ? qui nous payera, nous autres ?"
"demandez à monsieur le vicomte.","qui est-ce qui nous donnera de l'argent ?"
"demandez à monsieur le marquis.","ah coquines que vous êtes vous nous mettez dans de beaux draps blancs à ce que je vois  et je viens d'apprendre de belles affaires vraiment"
"ah ! mon père, c'est une pièce sanglante, qu'ils nous ont faite.","oui c'est une pièce sanglante  mais qui est un eff et de votre impertinence infâmes. ils se sont ressentis du traitement que vous leur avez fait"
"ah ! mon père, c'est une pièce sanglante, qu'ils nous ont faite."," et cependant malheureux que je suis il faut que je boive l'affront."
"ah je jure que nous en serons vengées ou que je mourrai en la peine.  et vous marauds osez-vous vous tenir ici après votre insolence ?","traiter comme cela un marquis ? voilà ce que c'est que du monde la moindre disgrâce nous fait mépriser de ceux qui nous chérissaient."
"ah je jure que nous en serons vengées ou que je mourrai en la peine.  et vous marauds osez-vous vous tenir ici après votre insolence ?","allons camarade allons chercher fortune autre part  je vois bien qu'on n'aime ici que la vaine apparence  et qu'on n y considère point la vertu toute nue."
"ah je jure que nous en serons vengées ou que je mourrai en la peine.  et vous marauds osez-vous vous tenir ici après votre insolence ?","ils sortent tous deux."
