"quand la neige fondue enfle un torrent fameux, contre l'effort soudain de ses flots écumeux","le foudre menaçant qui perce avec fureur l'affreuse obscurité de la nue enflammée,"
"le théâtre change et représente une ville. polichinelle dans la nuit vient pour donner une sérénade à sa maîtresse.","il chante ces paroles. notte e dì v' amo e v' adoro"
"il est interrompu d'abord par des violons contre lesquels il se m et en colère  et ensuite par le gu et composé de musiciens  et de danseurs.","cerco un sì per mio ristoro, ma se voi dite di nò"
"le théâtre change et représente une ville. polichinelle dans la nuit vient pour donner une sérénade à sa maîtresse.","bell' ingrata io morirò fra la speranza"
"il est interrompu d'abord par des violons contre lesquels il se m et en colère  et ensuite par le gu et composé de musiciens  et de danseurs.","s'afflige il cuore, in lontananza"
"le théâtre change et représente une ville. polichinelle dans la nuit vient pour donner une sérénade à sa maîtresse.","consuma l'ore; si dolce inganno"
"il est interrompu d'abord par des violons contre lesquels il se m et en colère  et ensuite par le gu et composé de musiciens  et de danseurs.","che mi figura breve l'affanno,"
"le théâtre change et représente une ville. polichinelle dans la nuit vient pour donner une sérénade à sa maîtresse.","ahy troppo dura, cosi per tropp' amar languisco e muoro"
"il est interrompu d'abord par des violons contre lesquels il se m et en colère  et ensuite par le gu et composé de musiciens  et de danseurs.","notte e dì v' amo' e v' adoro cerco un sì per mio ristoro,"
"le théâtre change et représente une ville. polichinelle dans la nuit vient pour donner une sérénade à sa maîtresse.","mà se voi dite di nò bell' ingrata io morirò"
"il est interrompu d'abord par des violons contre lesquels il se m et en colère  et ensuite par le gu et composé de musiciens  et de danseurs.","se non dormite, al men pensate"
"le théâtre change et représente une ville. polichinelle dans la nuit vient pour donner une sérénade à sa maîtresse.","alle ferite ch'al cuor mi fate;"
"il est interrompu d'abord par des violons contre lesquels il se m et en colère  et ensuite par le gu et composé de musiciens  et de danseurs.","deh al men fingete per mio conforto,"
"le théâtre change et représente une ville. polichinelle dans la nuit vient pour donner une sérénade à sa maîtresse.","se m'uccidete, d'aver il torto:"
"il est interrompu d'abord par des violons contre lesquels il se m et en colère  et ensuite par le gu et composé de musiciens  et de danseurs.","vostra pietà mi scemerà il martoro notte e di v' amo' e v' adoro"
"le théâtre change et représente une ville. polichinelle dans la nuit vient pour donner une sérénade à sa maîtresse.","cerco un sì per mio ristoro, ma se voi dite di nò"
"il est interrompu d'abord par des violons contre lesquels il se m et en colère  et ensuite par le gu et composé de musiciens  et de danseurs.","bell' ingrata io morirò."
"zerbinetti ch'ogn'or con finti sguardi, mentiti desiri,","quelle impertinente harmonie vient interrompre ici ma voix ? violons"
"fallaci sospiri, accenti buggiardi,","paix là, taisez-vous, violons. laissez-moi me plaindre à mon aise des cruautés de mon inexorable. violons"
"di fede vi preggiate, ah che non m'ingannate.","taisez-vous, vous dis-je. c'est moi qui veux chanter. violons"
"che gia sò per prova, ch'in voi non si trova","paix donc. violons"
"constanza ne fede; oh quanto è pazza colei che vi crede.","ouais ! violons"
"quei sguardi languidi non m'innamorano,","ahy. violons"
"quei sospir fervidi più non m'infiammano","est-ce pour rire ? violons"
"vel giuro a fé. zerbino misero,","ah que de bruit. violons"
"del vostro piangere il mio cor libero","le diable vous emporte. violons"
"vuol semper ridere credet'a me","j'enrage. violons"
"che già sò per prova, ch' in voi non si trova","vous ne vous tairez pas ? ah dieu soit loué. violons"
"constanza ne fede; oh quanto è pazza colei che vi crede.","encore ? violons"
"violons","peste des violons. violons"
"zerbinetti ch'ogn'or con finti sguardi, mentiti desiri,","la sotte musique que voilà ! violons"
"fallaci sospiri, accenti buggiardi,","la, la, la, la, la, la. violons"
"di fede vi preggiate, ah che non m'ingannate.","la, la, la, la, la, la. violons"
"che gia sò per prova, ch'in voi non si trova","la, la, la, la, la, la. violons"
"constanza ne fede; oh quanto è pazza colei che vi crede.","la, la, la, la, la, la. violons"
"quei sguardi languidi non m'innamorano,","la, la, la, la, la, la. violons"
"quei sospir fervidi più non m'infiammano","par ma foi cela me divertit. poursuivez messieurs les violons vous me ferez plaisir. allons donc continuez. je vous en prie."
"vel giuro a fé. zerbino misero,","voilà le moyen de les faire taire. la musique est accoutumée à ne point faire ce qu'on veut. ho sus à nous. avant que de chanter il faut que je prélude un peu"
"del vostro piangere il mio cor libero"," et joue quelque pièce afin de mieux prendre mon ton. plan plan plan. plin plin plin. voilà un temps fâcheux pour mettre un luth d'accord."
"vuol semper ridere credet'a me","plin plin plin. plin tan plan. plin plin. les cordes ne tiennent point par ce temps-là. plin plan. j'entends du bruit. mettons mon luth contre la porte."
"qui va là, qui va là ?","qui diable est-ce là ? est-ce que c'est la mode de parler en musique ?"
"qui va là, qui va là, qui va là ?","moi, moi, moi."
"qui va là, qui va là ? vous dis-je.","moi, moi, vous dis-je."
"et qui toi, et qui toi ?","moi, moi, moi, moi, moi, moi."
"dis ton nom, dis ton nom, sans davantage attendre.","mon nom est, va te faire pendre."
"ici camarade, ici. saisissons l'insolent qui nous répond ainsi.","qui va là ? violons *et* danseurs"
"tout le guet vient qui cherche polichinelle dans la nuit.","qui sont les coquins que j'entends ? violons *et* danseurs"
"ici camarade, ici. saisissons l'insolent qui nous répond ainsi.","euh ! violons *et* danseurs"
"tout le guet vient qui cherche polichinelle dans la nuit.","holà mes laquais, mes gens. violons *et* danseurs"
"ici camarade, ici. saisissons l'insolent qui nous répond ainsi.","par la mort. violons *et* danseurs"
"tout le guet vient qui cherche polichinelle dans la nuit.","par la sang. violons *et* danseurs"
"ici camarade, ici. saisissons l'insolent qui nous répond ainsi.","j'en jetterai par terre. violons *et* danseurs"
"tout le guet vient qui cherche polichinelle dans la nuit.","champagne, poitevin, picard, basque, breton. violons *et* danseurs"
"ici camarade, ici. saisissons l'insolent qui nous répond ainsi.","polichinelle tire un coup de pistolet. donnez-moi mon mousqueton."
"tout le guet vient qui cherche polichinelle dans la nuit.","violons *et* danseurs poue."
"ici camarade, ici. saisissons l'insolent qui nous répond ainsi.","ils tombent tous et s'enfuient. polichinelle, en se moquant"
"tout le guet vient qui cherche polichinelle dans la nuit.","ah ah ah ah comme je leur ai donné l'épouvante. voilà de sottes gens d'avoir peur de moi qui ai peur des autres. ma foi il n'est que de jouer d'adresse en ce monde. si je n'avais tranché du grand seigneur"
"ici camarade, ici. saisissons l'insolent qui nous répond ainsi."," et n'avais fait le brave ils n'auraient pas manqué de me happer. les archers se rapprochent, et ayant entendu ce qu'il disait, ils le saisissent au collet."
"nous le tenons, à nous, camarades, à nous, dépêchez, de la lumière. tout le guet vient avec des lanternes.","ah traître, ah fripon, c'est donc vous, faquin, maraud, pendard, impudent, téméraire,"
"nous le tenons, à nous, camarades, à nous, dépêchez, de la lumière. tout le guet vient avec des lanternes.","insolent, effronté, coquin, filou, voleur, vous osez nous faire peur ?"
"messieurs, c'est que j'étais ivre.","non, non, point de raison, il faut vous apprendre à vivre,"
"messieurs, c'est que j'étais ivre.","en prison vite, en prison."
"messieurs, je ne suis point voleur.","en prison."
"je suis un bourgeois de la ville.","en prison."
"qu'ai-je fait ?","en prison, vite, en prison."
"messieurs, laissez-moi aller.","non."
"je vous prie.","non."
"eh !","non."
"de grâce.","non, non."
"messieurs.","non, non, non."
"s'il vous plaît.","non, non."
"par charité.","non, non."
"au nom du ciel.","non, non."
"miséricorde.","non, non, non, point de raison. il faut vous apprendre à vivre,"
"miséricorde.","en prison vite, en prison."
"eh, n'est-il rien, messieurs, qui soit capable d'attendrir vos âmes ?","il est aisé de nous toucher, et nous sommes humains plus qu'on ne saurait croire,"
"eh, n'est-il rien, messieurs, qui soit capable d'attendrir vos âmes ?","donnez-nous doucement six pistoles pour boire ; nous allons vous lâcher."
"hélas, messieurs, je vous assure que je n'ai pas un sol sur moi.","au défaut de six pistoles, choisissez donc sans façon"
"hélas, messieurs, je vous assure que je n'ai pas un sol sur moi.","d'avoir trente croquignoles, ou douze coups de bâton."
"si c'est une nécessité, et qu'il faille en passer par là, je choisis les croquignoles.","allons, préparez-vous, les archers danseurs lui donnent des croquignoles en cadence."
"un et deux. trois et quatre. cinq et six. sept et huit. neuf et dix. onze et douze et treize, et quatorze et quinze.","ah ! ah ! vous en voulez passer ; allons, c'est à recommencer."
"ah messieurs ma pauvre tête n'en peut plus  et vous venez de me la rendre comme une pomme cuite.","soit, puisque le bâton est pour vous plus charmant, les archers danseurs lui donnent des coups de bâtons en cadence."
"un deux trois quatre cinq six ah ah ah je n'y saurais plus résister.","ah l'honnête homme ! ah l'âme noble et belle ! adieu, seigneur, adieu, seigneur polichinelle."
"messieurs, je vous donne le bonsoir.","adieu seigneur, adieu, seigneur polichinelle."
"votre serviteur.","adieu seigneur, adieu, seigneur polichinelle."
"très humble valet.","adieu seigneur, adieu, seigneur polichinelle."
"ils dansent tous en réjouissance de l'argent qu'ils ont reçu. le théâtre change, et représente encore une chambre.","que demandez-vous, monsieur ?"
"ce que je demande ?","ah, ah, c'est vous ! quelle surprise ! que venez-vous faire céans ?"
"savoir ma destinée parler à l'aimable angélique  consulter les sentiments de son cœur  et lui demander ses résolutions sur ce mariage fatal dont on m'a averti.","oui  mais on ne parle pas comme cela de but en blanc à angélique. il y faut des mystères  et l'on vous a dit l'étroite garde où elle est retenue."
"savoir ma destinée parler à l'aimable angélique  consulter les sentiments de son cœur  et lui demander ses résolutions sur ce mariage fatal dont on m'a averti.","qu'on ne la laisse ni sortir ni parler à personne  et que ce ne fut que la curiosité d'une vieille tante qui nous fit accorder la liberté d'aller à cette comédie qui donna lieu à la naissance de votre passion"
"savoir ma destinée parler à l'aimable angélique  consulter les sentiments de son cœur  et lui demander ses résolutions sur ce mariage fatal dont on m'a averti."," et nous nous sommes bien gardées de parler de cette aventure."
"aussi ne viens-je pas ici comme cléante  et sous l'apparence de son amant   mais comme ami de son maître de musique dont j'ai obtenu le pouvoir de dire qu'il m'envoie à sa place.","voici son père. retirez-vous un peu, et me laissez lui dire que vous êtes là."
"monsieur purgon m'a dit de me promener le matin dans ma chambre douze allées et venues  mais j'ai oublié à lui demander si c'est en long ou en large.","monsieur, voilà un…"
"parle bas pendarde tu viens m'ébranler tout le cerveau  et tu ne songes pas qu'il ne faut point parler si haut à des malades.","je voulais vous dire monsieur…"
"parle bas, te dis-je.","monsieur…"
"eh ?","je vous dis que…"
"qu'est-ce que tu dis ?","je dis que voilà un homme qui veut parler à vous."
"qu'il vienne.","monsieur…"
"ne parlez pas si haut, de peur d'ébranler le cerveau de monsieur.","monsieur, je suis ravi de vous trouver debout, et de voir que vous vous portez mieux."
"comment qu'il se porte mieux ! cela est faux, monsieur se porte toujours mal.","j'ai ouï dire que monsieur était mieux, et je lui trouve bon visage."
"que voulez-vous dire avec votre bon visage ? monsieur l'a fort mauvais  et ce sont des impertinents qui vous ont dit qu'il était mieux","elle a raison."
"il marche, dort, mange, et boit tout comme les autres : mais cela n'empêche pas qu'il ne soit fort malade.","cela est vrai."
"monsieur j'en suis au désespoir. je viens de la part du maître à chanter de mademoiselle votre fille. il s'est vu obligé d'aller à la campagne pour quelques jours ","fort bien. appelez angélique."
"et comme son ami intime il m'envoie à sa place pour lui continuer ses leçons de peur qu'en les interrompant elle ne vînt à oublier ce qu'elle sait déjà.","fort bien. appelez angélique."
"je crois, monsieur, qu'il sera mieux de mener monsieur à sa chambre.","non, faites-la venir."
"il ne pourra lui donner leçon comme il faut, s'ils ne sont en particulier.","si fait, si fait."
"monsieur, cela ne fera que vous étourdir, et il ne faut rien pour vous émouvoir en l'état où vous êtes.","point point j'aime la musique  et je serai bien aise de… ah !"
"venez ma fille votre maître de musique est allé aux champs  et voilà une personne qu'il envoie à sa place pour vous montrer.","ah ciel !"
"qu'est-ce ? d'où vient cette surprise ?","c'est…"
"quoi ? qui vous émeut de la sorte ?","c'est, mon père, une aventure surprenante qui se rencontre ici."
"comment ?","j'ai songé cette nuit que j'étais dans le plus grand embarras du monde  et qu'une personne faite tout comme monsieur s'est présentée à moi à qui j'ai demandé secours"
"comment ?"," et qui m'est venue tirer de la peine où j'étais  et ma surprise a été grande de voir inopinément en arrivant ici"
"ce n'est pas être malheureux que d'occuper votre pensée soit en dormant soit en veillant  et mon bonheur serait grand sans doute si vous étiez dans quelque peine dont vous me jugeassiez assez digne de vous tirer ","ma foi monsieur je suis pour vous maintenant  et je me dédis de tout ce que je disais hier. voici monsieur diafoirus le père  et monsieur diafoirus le fils qui viennent vous rendre visite."
"ce n'est pas être malheureux que d'occuper votre pensée soit en dormant soit en veillant  et mon bonheur serait grand sans doute si vous étiez dans quelque peine dont vous me jugeassiez assez digne de vous tirer ","que vous serez bien engendré ! vous allez voir le garçon le mieux fait du monde  et le plus spirituel. il n'a dit que deux mots qui m'ont ravie"
"ne vous en allez point monsieur  c'est que je marie ma fille  et voilà qu'on lui amène son prétendu mari qu'elle n'a point encore vu.","c'est m'honorer beaucoup, monsieur, de vouloir que je sois témoin d'une entrevue si agréable."
"c'est le fils d'un habile médecin, et le mariage se fera dans quatre jours.","fort bien."
"mandez-le un peu à son maître de musique, afin qu'il se trouve à la noce.","je n'y manquerai pas."
"je vous y prie aussi.","vous me faites beaucoup d'honneur."
"allons qu'on se range, les voici.","monsieur purgon, monsieur, m'a défendu de découvrir ma tête. vous êtes du métier ; vous savez les conséquences."
"nous sommes dans toutes nos visites pour porter secours aux malades, et non pour leur porter de l'incommodité.","je reçois, monsieur… ils parlent tous deux en même temps, s'interrompent et confondent."
"nous venons ici, monsieur…","avec beaucoup de joie,"
"mon fils thomas et moi,","l'honneur que vous me faites :"
"vous témoigner, monsieur,","et j'aurais souhaité"
"le ravissement où nous sommes,","de pouvoir aller chez vous"
"de la grâce que vous nous faites","pour vous en assurer :"
"de vouloir bien nous recevoir","mais vous savez, monsieur,"
"dans l'honneur, monsieur,","ce que c'est qu'un pauvre malade"
"de votre alliance ;","qui ne peut faire autre chose,"
"et vous assurer,","que de vous dire ici,"
"que dans les choses qui dépendront de notre métier,","qu'il cherchera toutes les occasions"
"de même qu'en toute autre,","de vous faire connaître, monsieur,"
"nous serons toujours prêts, monsieur,","qu'il est tout à votre service."
"à vous témoigner notre zèle. il se tourne vers son fils, et lui dit :","c'est un grand benêt, nouvellement sorti des écoles, qui fait toutes les choses de mauvaise grâce, et à contretemps. n'est-ce pas par le père qu'il convient commencer ?"
"allons, thomas, avancez, faites vos compliments.","c'est un grand benêt, nouvellement sorti des écoles, qui fait toutes les choses de mauvaise grâce, et à contretemps. n'est-ce pas par le père qu'il convient commencer ?"
"oui.","monsieur je viens saluer reconnaître chérir  et révérer en vous un second père :  mais un second père auquel j'ose dire que je me trouve plus redevable qu'au premier."
"oui.","le premier m'a engendré  mais vous m'avez choisi. il m'a reçu par nécessité   mais vous m'avez accepté par grâce. ce que je tiens de lui est un ouvrage de son corps "
"oui."," mais ce que je tiens de vous est un ouvrage de votre volonté   et d'autant plus que les facultés spirituelles sont au-dessus des corporelles"
"oui.","d'autant plus je vous dois  et d'autant plus je tiens précieuse cette future filiation dont je viens aujourd'hui vous rendre par avance les très humbles"
"vivent les collèges d'où l'on sort si habile homme.","cela a-t-il bien été, mon père ?"
"optime.","allons, saluez monsieur."
"baiserai-je ?","oui, oui."
"madame, c'est avec justice que le ciel vous a concédé le nom de belle-mère, puisque l'on…","ce n'est pas ma femme, c'est ma fille à qui vous parlez."
"où donc est-elle ?","elle va venir."
"attendrai-je, mon père, qu'elle soit venue ?","faites toujours le compliment de mademoiselle."
"mademoiselle ne plus ne moins que la statue de memnon rendait un son harmonieux lorsqu'elle venait à être éclairée des rayons du soleil tout de même me sens-je animé d'un doux transport à l'apparition du soleil de vos beautés","voilà ce que c'est que d'étudier, on apprend à dire de belles choses."
" et comme les naturalistes remarquent que la fleur nommée héliotrope tourne sans cesse vers c et astre du jour aussi mon cœur d'ores en avant tournera-t-il toujours vers les astres resplendissants de vos yeux adorables","voilà ce que c'est que d'étudier, on apprend à dire de belles choses."
"ainsi que vers son pôle unique. souffrez donc mademoiselle que j'appende aujourd'hui à l'autel de vos charmes l'offrande de ce cœur qui ne respire  et n'ambitionne autre gloire que d'être toute sa vie","voilà ce que c'est que d'étudier, on apprend à dire de belles choses."
"mademoiselle votre très humble très obéissant  et très fidèle serviteur","voilà ce que c'est que d'étudier, on apprend à dire de belles choses."
"eh ? que dites-vous de cela ?","que monsieur fait merveilles  et que s'il est aussi bon médecin qu'il est bon orateur il y aura plaisir à être de ses malades."
"assurément. ce sera quelque chose d'admirable, s'il fait d'aussi belles cures, qu'il fait de beaux discours.","allons vite ma chaise  et des sièges à tout le monde. mettez-vous là ma fille. vous voyez monsieur que tout le monde admire monsieur votre fils"
"assurément. ce sera quelque chose d'admirable, s'il fait d'aussi belles cures, qu'il fait de beaux discours."," et je vous trouve bien heureux de vous voir un garçon comme cela."
"monsieur ce n'est pas parce que je suis son père  mais je puis dire que j'ai suj et d'être content de lui  et que tous ceux qui le voient en parlent comme d'un garçon qui n'a point de méchanceté.","il tire une thèse de sa poche qu'il présente à angélique. j'ai contre les circulateurs soutenu une thèse qu'avec la permission de monsieur j'ose présenter à mademoiselle"
"il n'a ja mais eu l'imagination bien vive ni ce feu d'esprit qu'on remarque dans quelques-uns   mais c'est par là que j'ai toujours bien auguré de sa judiciaire","il tire une thèse de sa poche qu'il présente à angélique. j'ai contre les circulateurs soutenu une thèse qu'avec la permission de monsieur j'ose présenter à mademoiselle"
"qualité requise pour l'exercice de notre art. lorsqu'il était petit il n'a ja mais été ce qu'on appelle mièvre  et éveillé. on le voyait toujours doux","il tire une thèse de sa poche qu'il présente à angélique. j'ai contre les circulateurs soutenu une thèse qu'avec la permission de monsieur j'ose présenter à mademoiselle"
"paisible  et taciturne  ne disant ja mais mot  et ne jouant ja mais à tous ces petits jeux que l'on nomme enfantins. on eut toutes les peines du monde à lui apprendre à lire","il tire une thèse de sa poche qu'il présente à angélique. j'ai contre les circulateurs soutenu une thèse qu'avec la permission de monsieur j'ose présenter à mademoiselle"
" et il avait neuf ans qu'il ne connaissait pas encore ses lettres. bon disais-je en moi-même les arbres tardifs sont ceux qui portent les meilleurs fruits.","il tire une thèse de sa poche qu'il présente à angélique. j'ai contre les circulateurs soutenu une thèse qu'avec la permission de monsieur j'ose présenter à mademoiselle"
"on grave sur le marbre bien plus malaisément que sur le sable   mais les choses y sont conservées bien plus longtemps  et cette lenteur à comprendre","il tire une thèse de sa poche qu'il présente à angélique. j'ai contre les circulateurs soutenu une thèse qu'avec la permission de monsieur j'ose présenter à mademoiselle"
"cette pesanteur d'imagination est la marque d'un bon jugement à venir. lorsque je l'envoyai au collège il trouva de la peine  mais il se raidissait contre les difficultés","il tire une thèse de sa poche qu'il présente à angélique. j'ai contre les circulateurs soutenu une thèse qu'avec la permission de monsieur j'ose présenter à mademoiselle"
" et ses régents se louaient toujours à moi de son assiduité  et de son travail. enfin à force de battre le fer il en est venu glorieusement à avoir ses licences","il tire une thèse de sa poche qu'il présente à angélique. j'ai contre les circulateurs soutenu une thèse qu'avec la permission de monsieur j'ose présenter à mademoiselle"
" et je puis dire sans vanité que depuis deux ans qu'il est sur les bancs il n'y a point de candidat qui ait fait plus de bruit que lui dans toutes les disputes de notre école","il tire une thèse de sa poche qu'il présente à angélique. j'ai contre les circulateurs soutenu une thèse qu'avec la permission de monsieur j'ose présenter à mademoiselle"
"il s'y est rendu redoutable  et il ne s'y passe point d'acte où il n'aille argumenter à outrance pour la proposition contraire. il est ferme dans la dispute fort comme un turc sur ses principes","il tire une thèse de sa poche qu'il présente à angélique. j'ai contre les circulateurs soutenu une thèse qu'avec la permission de monsieur j'ose présenter à mademoiselle"
"ne démord ja mais de son opinion  et poursuit un raisonnement jusques dans les derniers recoins de la logique   mais sur toute chose ce qui me plaît en lui  et en quoi il suit mon exemple","il tire une thèse de sa poche qu'il présente à angélique. j'ai contre les circulateurs soutenu une thèse qu'avec la permission de monsieur j'ose présenter à mademoiselle"
"c'est qu'il s'attache aveuglément aux opinions de nos anciens  et que ja mais il n'a voulu comprendre ni écouter les raisons ","il tire une thèse de sa poche qu'il présente à angélique. j'ai contre les circulateurs soutenu une thèse qu'avec la permission de monsieur j'ose présenter à mademoiselle"
"et les expériences des prétendues découvertes de notre siècle touchant la circulation du sang et autres opinions de même forme.","il tire une thèse de sa poche qu'il présente à angélique. j'ai contre les circulateurs soutenu une thèse qu'avec la permission de monsieur j'ose présenter à mademoiselle"
"monsieur, c'est pour moi un meuble inutile, et je ne me connais pas à ces choses-là.","donnez, donnez, elle est toujours bonne à prendre pour l'image, cela servira à parer notre chambre."
"avec la permission aussi de monsieur je vous invite à venir voir l'un de ces jours pour vous divertir","le divertissement sera agréable. il y en a qui donnent la comédie à leurs maîtresses   mais donner une dissection est quelque chose de plus galant."
"au reste pour ce qui est des qualités requises pour le mariage  et la propagation je vous assure que selon les règles de nos docteurs","n'est-ce pas votre intention, monsieur, de le pousser à la cour, et d'y ménager pour lui une charge de médecin ?"
"il est tel qu'on le peut souhaiter. qu'il possède en un degré louable la vertu prolifique  et qu'il est du tempérament qu'il faut pour engendrer  et procréer des enfants bien conditionnés.","n'est-ce pas votre intention, monsieur, de le pousser à la cour, et d'y ménager pour lui une charge de médecin ?"
"à vous en parler franchement notre métier auprès des grands ne m'a ja mais paru agréable  et j'ai toujours trouvé qu'il valait mieux","cela est plaisant  et ils sont bien impertinents de vouloir que vous autres messieurs vous les guérissiez. vous n'êtes point auprès d'eux pour cela. vous n'y êtes que pour recevoir vos pensions "
"pour nous autres demeurer au public. le public est commode  vous n'avez à répondre de vos actions à personne  et pourvu que l'on suive le courant des règles de l'art on ne se m","et leur ordonner des remèdes c'est à eux à guérir s'ils peuvent."
"et point en peine de tout ce qui peut arriver.  mais ce qu'il y a de fâcheux auprès des grands c'est que quand ils viennent à être malades ils veulent absolument que leurs médecins les guérissent.","cela est plaisant  et ils sont bien impertinents de vouloir que vous autres messieurs vous les guérissiez. vous n'êtes point auprès d'eux pour cela. vous n'y êtes que pour recevoir vos pensions "
"cela est vrai. on n'est obligé qu'à traiter les gens dans les formes.","monsieur, faites un peu chanter ma fille devant la compagnie."
"j'attendais vos ordres monsieur  et il m'est venu en pensée pour divertir la compagnie de chanter avec mademoiselle une scène d'un petit opéra qu'on a fait depuis peu.","moi ?"
"ne vous défendez point s'il vous plaît  et me laissez vous faire comprendre ce que c'est que la scène que nous devons chanter. je n'ai pas une voix à chanter  mais il suffit que je me fasse entendre","les vers en sont-ils beaux ?"
" et l'on aura la bonté de m'excuser par la nécessité où je me trouve de faire chanter mademoiselle.","les vers en sont-ils beaux ?"
"c'est proprement ici un petit opéra impromptu  et vous n'allez entendre chanter que de la prose cadencée ou des manières de vers libres tels que la passion ","fort bien. écoutons."
"et la nécessité peuvent faire trouver à deux personnes qui disent les choses d'eux-mêmes","fort bien. écoutons."
"voici le suj et de la scène. un berger était attentif aux beautés d'un spectacle qui ne faisait que de commencer lorsqu'il fut tiré de son attention par un bruit qu'il entendit à ses côtés.","vous me voyez, tircis, triste et mélancolique aux apprêts de l'hymen, dont vous vous alarmez,"
"il se retourne  et voit un brutal qui de paroles insolentes maltraitait une bergère. d'abord il prend les intérêts d'un sexe à qui tous les hommes doivent hommage","je lève au ciel les yeux, je vous regarde, je soupire, c'est vous en dire assez."
" et après avoir donné au brutal le châtiment de son insolence il vient à la bergère  et voit une jeune personne qui des deux plus beaux yeux qu'il eût ja","vous me voyez, tircis, triste et mélancolique aux apprêts de l'hymen, dont vous vous alarmez,"
"mais vus versait des larmes qu'il trouva les plus belles du monde. hélas ! dit-il en lui-même est-on capable d'outrager une personne si aimable ?","je lève au ciel les yeux, je vous regarde, je soupire, c'est vous en dire assez."
" et quel inhumain quel barbare ne serait touché par de telles larmes ? il prend soin de les arrêter ces larmes qu'il trouve si belles","vous me voyez, tircis, triste et mélancolique aux apprêts de l'hymen, dont vous vous alarmez,"
" et l'aimable bergère prend soin en même temps de le remercier de son léger service   mais d'une manière si charmante si tendre  et si passionnée que le berger n'y peut résister :","je lève au ciel les yeux, je vous regarde, je soupire, c'est vous en dire assez."
"chaque mot  et chaque regard est un trait plein de flamme dont son cœur se sent pénétré. est-il disait-il quelque chose qui puisse mériter les aimables paroles d'un tel remerciement ?","vous me voyez, tircis, triste et mélancolique aux apprêts de l'hymen, dont vous vous alarmez,"
" et que ne voudrait-on pas faire à quels services à quels dangers ne serait-on pas ravi de courir pour s'attirer un seul moment des touchantes douceurs d'une âme si reconnaissante ? tout le spectacle passe sans qu'il y donne aucune attention :","je lève au ciel les yeux, je vous regarde, je soupire, c'est vous en dire assez."
" mais il se plaint qu'il est trop court parce qu'en finissant il le sépare de son adorable bergère  et de cette première vue de ce premier moment il emporte chez lui tout ce qu'un amour de plusieurs années peut avoir de plus violent.","vous me voyez, tircis, triste et mélancolique aux apprêts de l'hymen, dont vous vous alarmez,"
"le voilà aussitôt à sentir tous les maux de l'absence  et il est tourmenté de ne plus voir ce qu'il a si peu vu. il fait tout ce qu'il peut pour se redonner cette vue dont il conserve nuit ","je lève au ciel les yeux, je vous regarde, je soupire, c'est vous en dire assez."
"et jour une si chère idée  mais la grande contrainte où l'on tient sa bergère lui en ôte tous les moiens. la violence de sa passion le fait résoudre à demander en mariage l'adorable beauté sans laquelle il ne peut plus vivre","vous me voyez, tircis, triste et mélancolique aux apprêts de l'hymen, dont vous vous alarmez,"
" et il en obtient d'elle la permission par un bill et qu'il a l'adresse de lui faire tenir.  mais dans le même temps on l'avertit que le père de cette belle a conclu son mariage avec un autre","je lève au ciel les yeux, je vous regarde, je soupire, c'est vous en dire assez."
" et que tout se dispose pour en célébrer la cérémonie. jugez quelle atteinte cruelle au cœur de ce triste berger. le voilà accablé d'une mortelle douleur. il ne peut souffrir l'effroyable idée de voir tout ce qu'il aime entre les bras d'un autre","vous me voyez, tircis, triste et mélancolique aux apprêts de l'hymen, dont vous vous alarmez,"
" et son amour au désespoir lui fait trouver moien de s'introduire dans la maison de sa bergère pour apprendre ses sentiments  et savoir d'elle la destinée à laquelle il doit se résoudre.","je lève au ciel les yeux, je vous regarde, je soupire, c'est vous en dire assez."
"il y rencontre les apprêts de tout ce qu'il craint. il y voit venir l'indigne rival que le caprice d'un père oppose aux tendresses de son amour. il le voit triomphant ce rival ridicule auprès de l'aimable bergère","vous me voyez, tircis, triste et mélancolique aux apprêts de l'hymen, dont vous vous alarmez,"
"ainsi qu'auprès d'une conquête qui lui est assurée  et cette vue le remplit d'une colère dont il a peine à se rendre le maître. il jette de douloureux regards sur celle qu'il adore  et son respect","je lève au ciel les yeux, je vous regarde, je soupire, c'est vous en dire assez."
" et la présence de son père l'empêchent de lui rien dire que des yeux :  mais enfin il force toute contrainte  et le transport de son amour l'oblige à lui parler ainsi.","vous me voyez, tircis, triste et mélancolique aux apprêts de l'hymen, dont vous vous alarmez,"
"belle philis, c'est trop, c'est trop souffrir, rompons ce dur silence, et m'ouvrez vos pensées,","je lève au ciel les yeux, je vous regarde, je soupire, c'est vous en dire assez."
"apprenez-moi ma destinée, faut-il vivre ? faut-il mourir ?","vous me voyez, tircis, triste et mélancolique aux apprêts de l'hymen, dont vous vous alarmez,"
"ouais, je ne croyais pas que ma fille fût si habile que de chanter ainsi à livre ouvert sans hésiter.","hélas ! belle philis, se pourrait-il, que l'amoureux tircis,"
"ouais, je ne croyais pas que ma fille fût si habile que de chanter ainsi à livre ouvert sans hésiter.","eût assez de bonheur, pour avoir quelque place dans votre cœur ?"
"je ne m'en défends point, dans cette peine extrême : oui, tircis, je vous aime.","ô parole pleine d'appas ! ai-je bien entendu ? hélas"
"je ne m'en défends point, dans cette peine extrême : oui, tircis, je vous aime.","redites-la, philis, que je n'en doute pas."
"oui, tircis, je vous aime.","de grâce encore, philis."
"je vous aime.","recommencez cent fois, ne vous en lassez pas."
