,Speaker 1,Speaker 2
148,"Rien, rien. Voilà ce que c’est d’avoir causé, vous n’en tâterez plus, et je vous laisse sur la bonne bouche.",Arrête un peu.
149,Point.,Je ne te veux dire qu’un mot.
150,"Nennin, nennin, vous avez envie de me tirer les vers du nez.","Non, ce n’est pas cela."
151,Eh quelque sot. Je vous vois venir.,C’est autre chose. Écoute.
152,"Point d’affaire. Vous voudriez que je vous disse que Monsieur le Vicomte vient de donner de l’argent à Claudine, et qu’elle l’a mené chez sa Maîtresse. Mais je ne suis pas si bête.",De grâce.
153,Non.,Je te donnerai...
154,Tarare !,"Je n’ai pu me servir avec cet innocent de la pensée que j’avais. Mais le nouvel avis qui lui est échappé ferait la même chose, et si le Galant est chez moi, ce serait pour avoir raison aux yeux du père et de la mère, et les convaincre pleinement de l’effronterie de leur fille. Le mal de tout ceci c’est que je ne sais comment faire pour profiter d’un tel avis. Si je rentre chez moi, je ferai évader le drôle, et quelque chose que je puisse voir moi-même de mon déshonneur, je n’en serai point cru à mon serment, et l’on me dira que je rêve. Si d’autre part je vais querir beau-père et belle-mère sans être sûr de trouver chez moi le Galant, ce sera la même chose, et je retomberai dans l’inconvénient de tantôt. Pourrais-je point m’éclaircir doucement s’il y est encore ? Ah Ciel ! il n’en faut plus douter et je viens de l’apercevoir par le trou de la porte. Le sort me donne ici de quoi confondre ma partie, et pour achever l’aventure il fait venir à point nommé les juges dont j’avais besoin."
155,"Enfin vous ne m’avez pas voulu croire tantôt, et votre fille l’a emporté sur moi. Mais j’ai en main de quoi vous faire voir comme elle m’accommode, et Dieu mercimon déshonneur est si clair maintenant, que vous n’en pourrez plus douter.","Comment, mon Gendre, vous en êtes encore là-dessus ?"
156,"Oui j’y suis, et jamais je n’eus tant de sujet d’y être.",Vous nous venez encore étourdir la tête ?
157,"Oui, Madame, et l’on fait bien pis à la mienne.",Ne vous lassez-vous point de vous rendre importun ?
158,Non. Mais je me lasse fort d’être pris pour dupe.,Ne voulez-vous point vous défaire de vos pensées extravagantes ?
159,"Non, Madame, mais je voudrais bien me défaire d’une femme qui me déshonore.","Jour de Dieu, notre gendre, apprenez à parler."
160,Corbleu cherchez des termes moins offensants que ceux-là.,Marchand qui perd ne peut rire.
161,Souvenez-vous que vous avez épousé une Demoiselle.,"Je m’en souviens assez, et ne m’en souviendrai que trop."
162,"Si vous vous en souvenez, songez donc à parler d’elle avec plus de respect.","Mais que ne songe-t-elle plutôt à me traiter plus honnêtement ? Quoi parce qu’elle est Demoiselle, il faut qu’elle ait la liberté de me faire ce qui lui plaît, sans que j’ose souffler ?"
163,"Qu’avez-vous donc, et que pouvez-vous dire ?N’avez-vous pas vu ce matin qu’elle s’est défendue de connaître celui dont vous m’étiez venu parler ?","Oui. Mais vous, que pourrez-vous dire, si je vous fais voir maintenant que le galant est avec elle ?"
164,Avec elle ?,"Oui avec elle, et dans ma maison ?"
165,Dans votre maison ?,Oui. Dans ma propre maison.
166,"Si cela est, nous serons pour vous contre elle.","Oui. L’honneur de notre famille nous est plus cher que toute chose, et si vous dites vrai, nous la renoncerons pour notre sang, et l’abandonnerons à votre colère."
167,Vous n’avez qu’à me suivre.,Gardez de vous tromper.
168,N’allez pas faire comme tantôt.,"Mon Dieu, vous allez voir. Tenez. Ai-je menti ?"
169,"Adieu. J’ai peur qu’on vous surprenne ici, et j’ai quelques mesures à garder.","Promettez-moi donc, Madame, que je pourrai vous parler cette nuit."
170,J’y ferai mes efforts.,"Approchons doucement par derrière, et tâchons de n’être point vus."
171,"Ah ! Madame, tout est perdu. Voilà votre père et votre mère accompagnés de votre mari.",Ah Ciel !
172,"Fort, Madame, frappez comme il faut.","S’il vous demeure quelque chose sur le cœur, je suis pour vous répondre."
173,Apprenez à qui vous vous jouez.,Ah mon père vous êtes là !
174,"Oui, ma fille, et je vois qu’en sagesse, et en courage tu te montres un digne rejeton de la maison de Sotenville. Viens çà, approche-toi que je t’embrasse.","Embrasse-moi aussi, ma fille. Las ! je pleure de joie, et reconnais mon sang aux choses que tu viens de faire."
175,"Sans doute, notre gendre, et vous devez maintenant être le plus content des hommes.","Assurément. Voilà une femme, celle-là, vous êtes trop heureux de l’avoir, et vous devriez baiser les pas où elle passe."
176,Euh traîtresse !,"Qu’est-ce, mon gendre ? que ne remerciez-vous un peu votre femme, de l’amitié que vous voyez qu’elle montre pour vous ?"
177,"Non non, mon père, il n’est pas nécessaire. Il ne m’a aucune obligation de ce qu’il vient de voir, et tout ce que j’en fais n’est que pour l’amour de moi-même.","Où allez-vous, ma fille ?"
178,"Je me retire, mon père, pour ne me voir point obligée à recevoir ses compliments.","Elle a raison d’être en colère. C’est une femme qui mérite d’être adorée, et vous ne la traitez pas comme vous devriez."
179,Scélérate.,"C’est un petit ressentiment de l’affaire de tantôt, et cela se passera avec un peu de caresse que vous lui ferez. Adieu, mon gendre, vous voilà en état de ne vous plus inquiéter. Allez-vous-en faire la paix ensemble, et tâchez de l’apaiser par des excuses de votre emportement."
180,"Vous devez considérer que c’est une jeune fille élevée à la vertu, et qui n’est point accoutumée à se voir soupçonner d’aucune vilaine action. Adieu. Je suis ravie de voir vos désordres finis et des transports de joie que vous doit donner sa conduite.","Je ne dis mot. Car je ne gagnerais rien à parler, et jamais il ne s’est rien vu d’égal à ma disgrâce. Oui, j’admire mon malheur, et la subtile adresse de ma carogne de femme pour se donner toujours raison, et me faire avoir tort. Est-il possible que toujours j’aurai du dessous avec elle ; que les apparences toujours tourneront contre moi, et que je ne parviendrai point à convaincre mon effrontée ? Ô Ciel ! seconde mes desseins, et m’accorde la grâce de faire voir aux gens que l’on me déshonore."
181,"La nuit est avancée, et j’ai peur qu’il ne soit trop tard. Je ne vois point à me conduire. Lubin !",Monsieur ?
182,Est-ce par ici ?,"Je pense que oui. Morgué voilà une sotte nuit, d’être si noire que cela."
183,"Elle a tort assurément. Mais si d’un côté elle nous empêche de voir, elle empêche de l’autre que nous ne soyons vus.","Vous avez raison. Elle n’a pas tant de tort. Je voudrais bien savoir, Monsieur, vous qui êtes savant, pourquoi il ne fait point jour la nuit ?"
184,"C’est une grande question, et qui est difficile. Tu es curieux, Lubin.","Oui. Si j’avais étudié, j’aurais été songer à des choses où on n’a jamais songé."
185,Je le crois. Tu as la mine d’avoir l’esprit subtil et pénétrant.,"Cela est vrai. Tenez. J’explique du Latin, quoique jamais je ne l’aie appris, et voyant l’autre jour écrit sur une grande porte "
186,"Cela est admirable ! Tu sais donc lire, Lubin ?","Oui. Je sais lire la lettre moulée, mais je n’ai jamais su apprendre à lire l’écriture."
187,Nous voici contre la maison. C’est le signal que m’a donné Claudine.,"Par ma foi c’est une fille qui vaut de l’argent, et je l’aime de tout mon cœur."
188,Aussi t’ai-je amené avec moi pour l’entretenir.,"Monsieur, je vous suis…"
189,Chut. J’entends quelque bruit.,Claudine.
190,Hé bien ?,Laisse la porte entr’ouverte.
191,Voilà qui est fait.,Ce sont elles. St.
192,St.,St.
193,St.,Madame.
194,Quoi ?,Claudine.
195,Qu’est-ce ?,"Ah ! Madame, que j’ai de joie !"
196,"Claudine, ma pauvre Claudine.","Doucement, Monsieur."
197,"Tout beau, Lubin.","Est-ce toi, Claudine ?"
198,Oui.,"Est-ce vous, Madame ?"
199,Oui.,Vous avez pris l’une pour l’autre.
200,Ma foi la nuit on n’y voit goutte.,"Est-ce pas vous, Clitandre ?"
201,"Oui, Madame.","Mon mari ronfle comme il faut, et j’ai pris ce temps pour nous entretenir ici."
202,Cherchons quelque lieu pour nous asseoir.,C’est fort bien avisé.
203,"Claudine, où est-ce que tu es ?","entendu descendre ma femme, et je me suis vite habillé pour descendre après elle. Où peut-elle être allée ? Serait-elle sortie ?"
204,"Où es-tu donc, Claudine ? Ah te voilà. Par ma foi ton Maître est plaisamment attrapé, et je trouve ceci aussi drôle que les coups de bâton de tantôt dont on m’a fait récit. Ta Maîtresse dit qu’il ronfle à cette heure, comme tous les diantres, et il ne sait pas que Monsieur le Vicomte et elle sont ensemble pendant qu’il dort. Je voudrais bien savoir quel songe il fait maintenant. Cela est tout à fait risible ! De quoi s’avise-t-il aussi d’être jaloux de sa femme, et de vouloir qu’elle soit à lui tout seul ?C’est un impertinent, et Monsieur le Vicomte lui fait trop d’honneur. Tu ne dis mot, Claudine. Allons, suivons-les, et me donne ta petite menotte que je la baise. Ah que cela est doux ! Il me semble que je mange des confitures. (",Qui va là ?
205,Personne.,"Il fuit, et me laisse informé de la nouvelle perfidie de ma coquine. Allons, il faut que sans tarder, j’envoie appeler son père et sa mère, et que cette aventure me serve à me faire séparer d’elle. Holà, Colin, Colin."
206,Monsieur.,"Allons, vite, ici-bas."
207,M’y voilà. On ne peut pas plus vite.,Tu es là ?
208,"Oui, Monsieur.","Doucement. Parle bas. Écoute. Va-t’en chez mon beau-père, et ma belle-mère, et dis que je les prie très instamment de venir tout a l’heure ici. Entends-tu ? Eh ? Colin, Colin."
209,Monsieur.,Où diable es-tu ?
210,Ici.,"Peste soit du maroufle qui s’éloigne de moi. Je te dis que tu ailles de ce pas trouver mon beau-père, et ma belle-mère, et leur dire que je les conjure de se rendre ici tout à l’heure. M’entends-tu bien ? Réponds. Colin, Colin."
211,Monsieur.,"Voilà un pendard qui me fera enrager, viens-t’en à moi."
212,"Ah le traître ! il m’a estropié. Où est-ce que tu es ? Approche, que je te donne mille coups. Je pense qu’il me fuit.",Assurément.
213,Veux-tu venir ?,Nenni ma foi.
214,"Viens, te dis-je.","Point, vous me voulez battre."
215,Hé bien non. Je ne te ferai rien.,Assurément ?
216,"Oui. Approche. Bon. Tu es bien heureux de ce que j’ai besoin de toi. Va-t’en vite de ma part prier mon beau-père et ma belle-mère de se rendre ici le plus tôt qu’ils pourront, et leur dis que c’est pour une affaire de la dernière conséquence. Et s’ils faisaient quelque difficulté à cause de l’heure, ne manque pas de les presser, et de leur bien faire entendre qu’il est très important qu’ils viennent, en quelque état qu’ils soient. Tu m’entends bien maintenant ?","Oui, Monsieur."
217,"Va vite, et reviens de même. Et moi je vais rentrer dans ma maison, attendant que. … Mais j’entends quelqu’un. Ne serait-ce point ma femme ? Il faut que j’écoute, et me serve de l’obscurité qu’il fait.",Adieu. Il est temps de se retirer.
218,Quoi si tôt ?,Nous nous sommes assez entretenus.
219,"Ah ! Madame, puis-je assez vous entretenir, et trouver en si peu de temps toutes les paroles dont j’ai besoin ? Il me faudrait des journées entières pour me bien expliquer à vous de tout ce que je sens ; et je ne vous ai pas dit encore la moindre partie de ce que j’ai à vous dire.",Nous en écouterons une autre fois davantage.
220,"Hélas ! de quel coup me percez-vous l’âme, lorsque vous parlez de vous retirer, et avec combien de chagrins m’allez-vous laisser maintenant ?",Nous trouverons moyen de nous revoir.
221,"Oui. Mais je songe qu’en me quittant, vous allez trouver un mari. Cette pensée m’assassine, et les privilèges qu’ont les maris sont des choses cruelles pour un Amant qui aime bien.","Serez-vous assez fort pour avoir cette inquiétude, et pensez-vous qu’on soit capable d’aimer de certains maris qu’il y a. On les prend, parce qu’on ne s’en peut défendre, et que l’on dépend de parents qui n’ont des yeux que pour le bien, mais on sait leur rendre justice, et l’on se moque fort de les considérer au delà de ce qu’ils méritent."
222,Voilà nos carognes de femmes.,"Ah ! qu’il faut avouer que celui qu’on vous a donné était peu digne de l’honneur qu’il a reçu, et que c’est une étrange chose que l’assemblage qu’on a fait d’une personne comme vous avec un homme comme lui."
223,Pauvres maris ! voilà comme on vous traite.,"Vous méritez sans doute une toute autre destinée, et le Ciel ne vous a point faite pour être la femme d’un paysan."
224,"Plût au Ciel ! Fût-elle la tienne, tu changerais bien de langage. Rentrons. C’en est assez.","Madame, si vous avez à dire du mal de votre mari, dépêchez vite, car il est tard."
225,"Ah, Claudine, que tu es cruelle.",Elle a raison. Séparons-nous.
226,"Il faut donc s’y résoudre puisque vous le voulez. Mais au moins je vous conjure de me plaindre un peu, des méchants moments que je vais passer.",Adieu.
227,"Où es-tu, Claudine que je te donne le bonsoir.","Va, va, je le reçois de loin, et je t’en renvoie autant."
228,Rentrons sans faire de bruit.,La porte s’est fermée.
229,J’ai le passe-partout.,Ouvrez donc doucement.
230,"On a fermé en dedans, et je ne sais comment nous ferons.",Appelez le garçon qui couche là.
231,"Colin, Colin, Colin.","Colin, Colin ? Ah je vous y prends donc, Madame ma femme, et vous faites des escampativos pendant que je dors. Je suis bien aise de cela, et de vous voir dehors à l’heure qu’il est."
232,"Hé bien, quel grand mal est-ce qu’il y a à prendre le frais de la nuit ?","Oui, oui. L’heure est bonne à prendre le frais. C’est bien plutôt le chaud, Madame la Coquine ; et nous savons toute l’intrigue du rendez-vous, et du Damoiseau. Nous avons entendu votre galant entretien, et les beaux vers à ma louange que vous avez dits l’un et l’autre. Mais ma consolation c’est que je vais être vengé, et que votre père et votre mère seront convaincus maintenant de la justice de mes plaintes, et du dérèglement de votre conduite. Je les ai envoyé querir, et ils vont être ici dans un moment."
233,Ah Ciel !,Madame.
234,"Voilà un coup sans doute où vous ne vous attendiez pas. C’est maintenant que je triomphe, et j’ai de quoi mettre à bas votre orgueil, et détruire vos artifices. Jusques ici vous avez joué mes accusations, ébloui vos parents, et plâtré vos malversations. J’ai eu beau voir, et beau dire, et votre adresse toujours l’a emporté sur mon bon droit, et toujours vous avez trouvé moyen d’avoir raison. Mais à cette fois, Dieu merci, les choses vont être éclaircies, et votre effronterie sera pleinement confondue.","Hé je vous prie, faites-moi ouvrir la porte."
235,"Non, non il faut attendre la venue de ceux que j’ai mandés, et je veux qu’ils vous trouvent dehors à la belle heure qu’il est. En attendant qu’ils viennent, songez, si vous voulez à chercher dans votre tête quelque nouveau détour pour vous tirer de cette affaire. À inventer quelque moyen de rhabiller votre escapade. À trouver quelque belle ruse pour éluder ici les gens et paraître innocente. Quelque prétexte spécieux de pèlerinage nocturne, ou d’amie en travail d’enfant que vous veniez de secourir.","Non, mon intention n’est pas de vous rien déguiser. Je ne prétends point me défendre, ni vous nier les choses, puisque vous les savez."
236,"C’est que vous voyez bien que tous les moyens vous en sont fermés, et que dans cette affaire vous ne sauriez inventer d’excuse qu’il ne me soit facile de convaincre de fausseté.","Oui. Je confesse que j’ai tort, et que vous avez sujet de vous plaindre. Mais je vous demande par grâce de ne m’exposer point maintenant à la mauvaise humeur de mes parents, et de me faire promptement ouvrir."
237,Je vous baise les mains.,Ehmon pauvre petit mari. Je vous en conjure.
238,"Ah mon pauvre petit mari ? Je suis votre petit mari maintenant, parce que vous vous sentez prise. Je suis bien aise de cela, et vous ne vous étiez jamais avisée de me dire de ces douceurs.","Tenez. Je vous promets de ne vous plus donner aucun sujet de déplaisir, et de me..."
239,"Tout cela n’est rien. Je ne veux point perdre cette aventure, et il m’importe qu’on soit une fois éclairci à fond de vos déportements.","De grâce, laissez-moi vous dire. Je vous demande un moment d’audience."
240,Hé bien quoi ?,"Il est vrai que j’ai failli, je vous l’avoue encore une fois, et que votre ressentiment est juste. Que j’ai pris le temps de sortir pendant que vous dormiez, et que cette sortie est un rendez-vous que j’avais donné à la personne que vous dites. Mais enfin ce sont des actions que vous devez pardonner à mon âge ; des emportements de jeune personne qui n’a encore rien vu, et ne fait que d’entrer au monde. Des libertés où l’on s’abandonne sans y penser de mal, et qui sans doute dans le fond n’ont rien de…"
241,"Oui : vous le dites, et ce sont de ces choses qui ont besoin qu’on les croie pieusement.","Je ne veux point m’excuser par là d’être coupable envers vous, et je vous prie seulement d’oublier une offense, dont je vous demande pardon de tout mon cœur ; et de m’épargner en cette rencontre le déplaisir que me pourraient causer les reproches fâcheux de mon père et de ma mère. Si vous m’accordez généreusement la grâce que je vous demande ; ce procédé obligeant, cette bonté que vous me ferez voir, me gagnera entièrement. Elle touchera tout à fait mon cœur, et y fera naître pour vous ce que tout le pouvoir de mes parents et les liens du mariage n’avaient pu y jeter. En un mot, elle sera cause que je renoncerai à toutes les galanteries, et n’aurai de l’attachement que pour vous. Oui, je vous donne ma parole que vous m’allez voir désormais la meilleure femme du monde, et que je vous témoignerai tant d’amitié, tant d’amitié que vous en serez satisfait."
242,Ah ! Crocodile qui flatte les gens pour les étrangler.,Accordez-moi cette faveur.
243,Point d’affaires. Je suis inexorable.,Montrez-vous généreux.
244,Non.,De grâce.
245,Point.,Je vous en conjure de tout mon cœur.
246,"Non, non, non. Je veux qu’on soit détrompé de vous, et que votre confusion éclate.","Hé bien si vous me réduisez au désespoir, je vous avertis qu’une femme en cet état est capable de tout, et que je ferai quelque chose ici dont vous vous repentirez."
247,"Et que ferez-vous, s’il vous plaît ?","Mon cœur se portera jusqu’aux extrêmes résolutions, et de ce couteau que voici je me tuerai sur la place."
248,Ah ! ah ! à la bonne heure.,"Pas tant à la bonne heure pour vous, que vous vous imaginez. On sait de tous côtés nos différends, et les chagrins perpétuels que vous concevez contre moi. Lorsqu’on me trouvera morte, il n’y aura personne qui mette en doute que ce ne soit vous qui m’aurez tuée ; et mes parents ne sont pas gens assurément à laisser cette mort impunie, et ils en feront sur votre personne toute la punition que leur pourront offrir, et les poursuites de la justice, et la chaleur de leur ressentiment. C’est par là que je trouverai moyen de me venger de vous, et je ne suis pas la première qui ait su recourir à de pareilles vengeances, qui n’ait pas fait difficulté de se donner la mort, pour perdre ceux qui ont la cruauté de nous pousser à la dernière extrémité."
249,"Je suis votre valet. On ne s’avise plus de se tuer soi-même, et la mode en est passée il y a longtemps.","C’est une chose dont vous pouvez vous tenir sûr, et si vous persistez dans votre refus, si vous ne me faites ouvrir, je vous jure que tout à l’heure je vais vous faire voir jusques où peut aller la résolution d’une personne qu’on met au désespoir."
250,"Bagatelles, bagatelles. C’est pour me faire peur.","Hé bien puisqu’il le faut, voici qui nous contentera tous deux, et montrera si je me moque. Ah c’en est fait. Fasse le Ciel que ma mort soit vengée comme je le souhaite, et que celui qui en est cause, reçoive un juste châtiment de la dureté qu’il a eue pour moi."
251,Ouais ! serait-elle bien si malicieuse que de s’être tuée pour me faire pendre ? Prenons un bout de chandelle pour aller voir.,St. Paix. Rangeons-nous chacune immédiatement contre un des côtés de la porte.
252,"La méchanceté d’une femme irait-elle bien jusques là ? (Il sort avec un bout de chandelle sans les apercevoir, elles entrent, aussitôt elles ferment la porte. ) Il n’y a personne. Eh je m’en étais bien douté, et la pendarde s’est retirée, voyant qu’elle ne gagnait rien après moi, ni par prières ni par menaces. Tant mieuxcela rendra ses affaires encore plus mauvaises, et le père et la mère qui vont venir en verront mieux son crime. Ahah la porte s’est fermée. Holà ho quelqu’un. Qu’on m’ouvre promptement.","Comment c’est toi !D’où viens-tu, bon pendard ? Est-il l’heure de revenir chez soi, quand le jour est près de paraître, et cette manière de vie est-elle celle que doit suivre un honnête mari ?"
253,Cela est-il beau d’aller ivrogner toute la nuit ? et de laisser ainsi toute seule une pauvre jeune femme dans la maison ?,Comment vous avez...
254,"Va, va, traître, je suis lasse de tes déportements, et je m’en veux plaindre sans plus tarder à mon père et à ma mère.",Quoi c’est ainsi que vous osez...
255,"Approchez de grâce, et venez me faire raison de l’insolence la plus grande du monde, d’un mari à qui le vin et la jalousie ont troublé de telle sorte la cervelle, qu’il ne sait plus ni ce qu’il dit, ni ce qu’il fait, et vous a lui-même envoyé querir pour vous faire témoins de l’extravagance la plus étrange dont on ait jamais ouï parler. Le voilà qui revient comme vous voyez, après s’être fait attendre toute la nuit, et si vous voulez l’écouter, il vous dira qu’il a les plus grandes plaintes du monde à vous faire de moi ; que durant qu’il dormait, je me suis dérobée d’auprès de lui pour m’en aller courir, et cent autres contes de même nature qu’il est allé rêver.",Voilà une méchante carogne.
256,"Oui, il nous a voulu faire accroire qu’il était dans la maison, et que nous en étions dehors, et c’est une folie qu’il n’y a pas moyen de lui ôter de la tête.","Comment, qu’est-ce à dire cela ?"
257,Voilà une furieuse impudence que de nous envoyer querir.,Jamais...
258,"Non, mon père, je ne puis plus souffrir un mari de la sorte. Ma patience est poussée à bout, et il vient de me dire cent paroles injurieuses.",Corbleu vous êtes un malhonnête homme.
259,"C’est une conscience de voir une pauvre jeune femme traitée de la façon, et cela crie vengeance au Ciel.",Peut-on...
260,"Allez, vous devriez mourir de honte.",Laissez-moi vous dire deux mots.
261,"Vous n’avez qu’à l’écouter, il va vous en conter de belles.",Je désespère.
262,"Il a tant bu, que je ne pense pas qu’on puisse durer contre lui, et l’odeur du vin qu’il souffle est montée jusqu’à nous.","Monsieur mon beau-père, je vous conjure..."
263,Retirez-vous. Vous puez le vin à pleine bouche.,"Madame, je vous prie..."
264,Fi ne m’approchez pas. Votre haleine est empestée.,Souffrez que je vous...
265,"Retirez-vous, vous dis-je. On ne peut vous souffrir.",Permettez de grâce que...
266,"Poua, vous m’engloutissez le cœur. Parlez de loin, si vous voulez.","Hé bien oui, je parle de loin. Je vous jure que je n’ai bougé de chez moi, et que c’est elle qui est sortie."
267,Ne voilà pas ce que je vous ai dit ?,Vous voyez quelle apparence il y a.
268,"Allez. Vous vous moquez des gens. Descendez, ma fille, et venez ici.","J’atteste le Ciel, que j’étais dans la maison, et que..."
269,"Taisez-vous, c’est une extravagance qui n’est pas supportable.","Que la foudre m’écrase tout à l’heure, si..."
270,Ne nous rompez pas davantage la tête et songez à demander pardon à votre femme.,Moi demander pardon ?
271,"Oui pardon, et sur-le-champ.",Quoi je...
272,Corbleu si vous me répliquez. Je vous apprendrai ce que c’est que de vous jouer à nous.,Ah George Dandin !
273,"Allons, venez, ma fille, que votre mari vous demande pardon.","Moi ? lui pardonner tout ce qu’il m’a dit ? Non, non, mon père, il m’est impossible de m’y résoudre, et je vous prie de me séparer d’un mari avec lequel je ne saurais plus vivre."
274,Le moyen d’y résister ?,"Ma fille, de semblables séparations ne se font point sans grand scandale, et vous devez vous montrer plus sage que lui, et patienter encore cette fois."
275,"Comment patienter après de telles indignités ? non, mon père, c’est une chose où je ne puis consentir.","Il le faut, ma fille, et c’est moi qui vous le commande."
276,"Ce mot me ferme la bouche, et vous avez sur moi une puissance absolue.",Quelle douceur !
277,"Il est fâcheux d’être contrainte d’oublier de telles injures, mais quelle violence que je me fasse, c’est à moi de vous obéir.",Pauvre mouton !
278,Approchez.,"Tout ce que vous me faites faire ne servira de rien, et vous verrez que ce sera dès demain à recommencer."
279,"Nous y donnerons ordre. Allons, mettez-vous à genoux.",À genoux ?
280,"Oui à genoux, et sans tarder.",Ô Ciel ! Que faut-il dire ?
281,"Madame, je vous prie de me pardonner.",
282,L’extravagance que j’ai faite.,
283,Et je vous promets de mieux vivre à l’avenir.,Et je vous promets de mieux vivre à l’avenir.
284,"Prenez-y garde, et sachez que c’est ici la dernière de vos impertinences que nous souffrirons.","Jour de Dieu, si vous y retournez, on vous apprendra le respect que vous devez à votre femme ; et à ceux de qui elle sort."
285,"Voilà le jour qui va paraître. Adieu. Rentrez chez vous, et songez bien à être sage. Et nous, mamour, allons nous mettre au lit.","Ah ! je le quitte maintenant, et je n’y vois plus de remède, lorsqu’on a comme moi épousé une méchante femme, le meilleur parti qu’on puisse prendre, c’est de s’aller jeter dans l’eau la tête la première."
