,Speaker 1,Speaker 2
177,"Oui, Montsir, et avec un grant dévotion nous tous attendre sti Mariage.",L’avis n’est pas mauvais. Je vous donne le bonjour.
178,"Je remercie, Montsir, de la faveur grande.",Votre très humble valet.
179,"Je le suis, Montsir, obliger plus que beaucoup du bon nouvel que Montsir m’avoir donné. Cela ne va pas mal ; quittons notre ajustement de Flamand, pour songer à d’autres machines ; et tâchons de semer tant de soupçons et de division entre le Beau-père et le Gendre, que cela rompe le Mariage prétendu. Tous deux également sont propres à gober les hameçons qu’on leur veut tendre ; et entre nous autres Fourbes de la première Classe, nous ne faisons que nous jouer, lorsque nous trouvons un Gibier aussi facile que celui-là.",
180,"Qu’est-ce, Monsieur, qu’avez-vous ?","Tout ce que je vois, me semble Lavement."
181,Comment ?,Vous ne savez pas ce qui m’est arrivé dans ce Logis à la porte duquel vous m’avez conduit ?
182,"Non vraiment, qu’est-ce que c’est ?",Je pensais y être régalé comme il faut.
183,Hé bien ?,Je vous laisse entre les mains de Monsieur. Des Médecins habillés de noir. Dans une chaise. Tâter le pouls. Comme ainsi soit. Il est fou. Deux gros joufflus. Grands chapeaux. 
184,Qu’est-ce que tout cela veut dire ?,"Cela veut dire que cet Homme-là, avec ses grandes embrassades, est un Fourbe qui m’a mis dans une Maison pour se moquer de moi, et me faire une pièce."
185,Cela est-il possible ?,"Sans doute, ils étaient une douzaine de Possédés après mes chausses ; et j’ai eu toutes les peines du monde à m’échapper de leurs pattes."
186,"Voyez un peu, les mines sont bien trompeuses ! Je l’aurais cru le plus affectionné de vos Amis. Voilà un de mes étonnements, comme il est possible qu’il y ait des Fourbes comme cela dans le Monde.","Ne sens-je point le Lavement ? Voyez, je vous prie."
187,Eh il y a quelque petite chose qui approche de cela.,"J’ai l’odorat et l’imagination tout rempli de cela, et il me semble toujours que je vois une douzaine de Lavements qui me couchent en joue."
188,Voilà une méchanceté bien grande ! et les Hommes sont bien traîtres et scélérats !,"Enseignez-moi, de grâce, le Logis de Monsieur Oronte ; je suis bien aise d’y aller tout à l’heure."
189,"Ah, ah, vous êtes donc de complexion amoureuse, et vous avez ouï parler que ce Monsieur Oronte a une Fille…","Oui, je viens l’épouser."
190,L’é… L’épouser ?,Oui.
191,En mariage ?,De quelle façon donc ?
192,"Ah c’est une autre chose, et je vous demande pardon.",Qu’est-ce que cela veut dire ?
193,Rien.,Mais encore ?
194,"Rien, vous dis-je ; j’ai un peu parlé trop vite.",Je vous prie de me dire ce qu’il y a là-dessous.
195,"Non, cela n’est pas nécessaire.",De grâce.
196,"Point, je vous prie de m’en dispenser.",Est-ce que vous n’êtes pas de mes Amis ?
197,"Si fait, on ne peut pas l’être davantage.",Vous devez donc ne me rien cacher.
198,C’est une chose où il y va de l’intérêt du prochain.,"Afin de vous obliger à m’ouvrir votre cœur, voilà une petite Bague que je vous prie de garder pour l’amour de moi."
199,"Laissez-moi consulter un peu si je le puis faire en conscience. C’est un Homme qui cherche son bien, qui tâche de pourvoir sa Fille le plus avantageusement qu’il est possible ; et il ne faut nuire à personne. Ce sont des choses qui sont connues à la vérité, mais j’irai les découvrir à un Homme qui les ignore, et il est défendu de scandaliser son prochain. Cela est vrai ; mais d’autre part voilà un Étranger qu’on veut surprendre, et qui de bonne foi vient se marier avec une Fille qu’il ne connaît pas, et qu’il n’a jamais vue ; un Gentilhomme plein de franchise, pour qui je me sens de l’inclination, qui me fait l’honneur de me tenir pour son Ami, prend confiance en moi, et me donne une Bague à garder pour l’amour de lui. Oui, je trouve que je puis vous dire les choses sans blesser ma conscience ; mais tâchons de vous les dire le plus doucement qu’il nous sera possible, et d’épargner les Gens le plus que nous pourrons. De vous dire que cette Fille-là mène une vie déshonnête, cela serait un peu trop fort ; cherchons pour nous expliquer, quelques termes plus doux. Le mot de Galante aussi n’est pas assez ; celui de Coquette achevée, me semble propre à ce que nous voulons, et je m’en puis servir, pour vous dire honnêtement ce qu’elle est.",L’on me veut donc prendre pour dupe ?
200,"Peut-être dans le fond n’y a-t-il pas tant de mal que tout le monde croit ; et puis il y a des Gens, après tout, qui se mettent au-dessus de ces sortes de choses, et qui ne croient pas que leur honneur dépende…","Je suis votre serviteur, je ne me veux point mettre sur la tête un chapeau comme celui-là, et l’on aime à aller le front levé dans la Famille des Pourceaugnac."
201,Voilà le Père.,Ce Vieillard-là ?
202,"Oui, je me retire.","Bonjour, Monsieur, bonjour."
203,"Serviteur, Monsieur, serviteur.","Vous êtes Monsieur Oronte, n’est-ce pas ?"
204,Oui.,"Et moi, Monsieur de Pourceaugnac."
205,À la bonne heure.,"Croyez-vous, Monsieur Oronte, que les Limosins soient des sots ?"
206,"Croyez-vous, Monsieur de Pourceaugnac, que les Parisiens soient des bêtes ?","Vous imaginez-vous, Monsieur Oronte, qu’un Homme comme moi soit si affamé de Femme ?"
207,"Vous imaginez-vous, Monsieur de Pourceaugnac, qu’une Fille comme la mienne soit si affamée de Mari ?","On vient de me dire, mon Père, que Monsieur de Pourceaugnac est arrivé. Ah le voilà sans doute, et mon cœur me le dit. Qu’il est bien fait ! qu’il a bon air ! et que je suis contente d’avoir un tel Époux ! Souffrez que je l’embrasse, et que je lui témoigne…"
208,"Doucement, ma Fille, doucement.","Tu-dieu, quelle Galante ! Comme elle prend feu d’abord !"
209,"Je voudrais bien savoir, Monsieur de Pourceaugnac, par quelle raison vous venez…",Que je suis aise de vous voir ! et que je brûle d’impatience…
210,"Ah, ma Fille, ôtez-vous de là, vous dis-je.","Ho, ho, quelle égrillarde !"
211,"Je voudrais bien, dis-je, savoir par quelle raison, s’il vous plaît, vous avez la hardiesse de…",Vertu de ma vie !
212,"Encore, qu’est-ce à dire cela ?",Ne voulez-vous pas que je caresse l’Époux que vous m’avez choisi ?
213,Non : rentrez là -dedans.,Laissez-moi le regarder.
214,"Rentrez, vous dis-je.","Je veux demeurer là, s’il vous plaît."
215,"Je ne veux pas, moi ; et si tu ne rentres tout à l’heure, je…","Hé bien, je rentre."
216,"Ma Fille est une sotte, qui ne sait pas les choses.",Comme nous lui plaisons !
217,Tu ne veux pas te retirer ?,Quand est-ce donc que vous me marierez avec Monsieur ?
218,Jamais ; et tu n’es pas pour lui.,"Je le veux avoir, moi, puisque vous me l’avez promis."
219,"Si je te l’ai promis, je te le dépromets.",Elle voudrait bien me tenir.
220,"Vous avez beau faire, nous serons mariés ensemble en dépit de tout le monde.","Je vous en empêcherai bien tous deux, je vous assure. Voyez un peu quel "
221,"Mon Dieu, notre Beau-père prétendu, ne vous fatiguez point tant ; on n’a pas envie de vous enlever votre Fille, et vos grimaces n’attraperont rien.",Toutes les vôtres n’auront pas grand effet.
222,"Vous êtes-vous mis dans la tête que Léonard de Pourceaugnac soit un Homme à acheter Chat en poche ? Et qu’il n’ait pas là-dedans quelque morceau de judiciaire pour se conduire, pour se faire informer de l’histoire du Monde, et voir en se mariant, si son honneur a bien toutes ses sûretés ?","Je ne sais pas ce que cela veut dire : mais vous êtes-vous mis dans la tête, qu’un Homme de soixante et trois ans ait si peu de cervelle, et considère si peu sa fille, que de la marier avec un Homme qui a ce que vous savez, et qui a été mis chez un Médecin pour être pansé ?"
223,"C’est une pièce que l’on m’a faite, et je n’ai aucun mal.",Le Médecin me l’a dit lui-même.
224,"Le Médecin en a menti ; je suis Gentilhomme, et je le veux voir l’épée à la main.","Je sais ce que j’en dois croire, et vous ne m’abuserez pas là-dessus, non plus que sur les dettes que vous avez assignées sur le Mariage de ma Fille."
225,Quelles dettes ?,"La feinte ici est inutile, et j’ai vu le Marchand Flamand, qui, avec les autres Créanciers, a obtenu depuis huit mois Sentence contre vous."
226,Quel Marchand Flamand ? quels Créanciers ? quelle Sentence obtenue contre moi ?,Vous savez bien ce que je veux dire.
227,"Ah ! tu es assy, et à la fy yeu te trobi aprés abé fait tant de passés. Podes-tu, scélérat, podes-tu sousteni ma bisto ?",Qu’est-ce que veut cette Femme-là ?
228,"Que te boli, infame ! Tu fas semblan de nou me pas connouysse, et nou rougisses pas, impudent que tu sios, nou rougisses pas de me beyre ? Nou sabi pas, Moussur, saquos bous dont m’an dit que bouillo espousa la Fillo ; may yeu bous declari que yeu soun sa Fenno, et que ya set ans, Moussur, qu’en passan à Pezenas el auguet l’adresse dambé sas mignardisos, commo sap tapla fayre, de me gaigna lou cor, et m’oubligel pra quel mouyen à ly douna la ma per l’espousa.","Oh, Oh."
229,Que Diable est-ce ci ?,"Lou trayté me quitel trés ans aprés, sul preteste de qualques affayres que l’apelabon dins soun Païs, et despey noun ly resçauput quaso de noubelo ; may dins lou tens qui soungeabi lou mens, m’an dounat abist, que begnio dins aquesto Bilo, per se remarida danbé un autro joüena Fillo, que sous Parens ly an proucurado, sensse saupré res de sou prumié mariatge.Yeu ay tout quitat en diligensso, et me souy rendu dodins aqueste Loc lou pu leu qu’ay pouscut, per m’oupousa en aquel criminel mariatge, et confondre as elys de tout le mounde lou plus méchant des Hommes."
230,Voilà une étrange effrontée !,"Impudent, n’as pas honte de m’injuria, alloc d’estre confus day reproches secrets que ta conssiensso te deu fayre ?"
231,"Moi, je suis votre Mari ?","Infame, gausos-tu dire lou contrari ? He tu sabes be, per ma penno, que n’es que trop bertat ; et plaguesso al Cel qu’aco nou fougesso pas, et que m’auquesso layssado dins l’estat d’innoussenço et dins la tranquillitat oun moun amo bibio daban que tous charmes et tas trounpariés oun m’en benguesson malhurousomen fayre sourty ; yeu nou serio pas reduito à fayré lou tristé perssounatgé qu’yeu fave presentomen ; à beyre un Marit cruel mespresa touto l’ardou qu’yeu ay per el, et me laissa sensse cap de pietat abandounado à las mourtéles doulous que yeu ressenty de sas perfidos acciûs."
232,"Je ne saurais m’empêcher de pleurer. Allez, vous êtes un méchant Homme.",Je ne connais rien à tout ceci.
233,"Ah je n’en pis plus, je sis toute essoflée. Ah finfaron, tu m’as bien fait courir, tu ne m’écaperas mie. Justice, justice ; je boute empeschement au Mariage. Chés mon Mery, Monsieur, et je veux faire pindre che bon pindar-là.",Encore !
234,Quel diable d’Homme est-ce ci ?,"Et que boulés-bous dire, ambe bostre empachomen, et bostro pendarié ? Quaquel Homo es bostre Marit ?"
235,"Oui, Medeme, et je sis sa Femme.","Aquo es faus, aquos yeu que soun sa Fenno ; et se deû estre pendut, aquo sera yeu que lou faray penda."
236,Je n’entains mie che baragoin-là.,Yeu bous disy que yeu soun sa Fenno.
237,Sa Femme ?,Oy.
238,"Je vous dis que chest my, encore in coup, qui le sis.","Et yeu bous sousteni yeu, qu’aquos yeu."
239,Il y a quetre ans qu’il m’a éposée.,Et yeu set ans y a que m’a preso per Fenno.
240,J’ay des gairents de tout ce que je dy.,Tout mon Païs lo sap.
241,No Ville en est témoin.,Tout Pézenas a bist nostre mariatge.
242,Tout Chin-Quentin a assisté à no Noce.,Nou y a res de tan beritable.
243,Il gn’y a rien de plus chertain.,"Gausos-tu dire lou contrari, valisquos ?"
244,"Est-che que tu me démaintiras, méchaint Homme ?",Il est aussi vrai l’un que l’autre.
245,"Quaign’inpudensso ! Et coussy, miserable, nou te soubenes plus de la pauro Françon, et del paure Jeanet, que soun lous fruits de nostre mariatge ?","Bayez un peu l’insolence. Quoy, tu ne te souviens mie de chette pauvre ainfain, no petite Madelaine, que tu m’as laichée pour gaige de ta foy ?"
246,Voilà deux impudentes carognes !,"Beny Françon, beny, Jeanet, beny, toustou, beny, toustoune, beny fayre beyre à un Payre dénaturat la duretat qu’el a per nautres."
247,"Venez, Madelaine, me n’ainfain, venez-ves-en ichy faire honte à vo père de l’inpudainche qu’il a.","Ah mon Papa, mon Papa, mon Papa."
248,Diantre soit des petits Fils de Putains.,"Coussy, trayte, tu nou sios pas dins la darnière confusiu, de ressaupre à tal tous Enfants, et de ferma l’aureillo à la tendresso paternello ? Tu nou m’escaperas pas, infame, yeu te boly seguy per tout, et te reproucha ton crime jusquos à tant que me sio beniado, et que t’ayo fayt penia, couqui, te boli fayré penia."
249,"Ne rougis-tu mie de dire ches mots-là, et d’estre insainsible aux cairesses de chette pauvre ainfain ? Tu ne te sauveras mie de mes pates ; et en dépit de tes dains ; je feray bien voir que je sis ta Femme, et je te feray pindre.","Mon Papa, mon Papa, mon Papa."
250,"Au secours, au secours, où fuirai-je ? je n’en puis plus.","Allez, vous ferez bien de le faire punir, et il mérite d’être pendu."
251,"Je conduis de l’œil toutes choses, et tout ceci ne va pas mal. Nous fatiguerons tant notre Provincial, qu’il faudra, ma foi, qu’il déguerpisse.",Ah je suis assommé. Quelle peine ! Quelle maudite Ville ! Assassiné de tous côtés !
252,"Qu’est-ce, Monsieur, est-il encore arrivé quelque chose ?",Oui. Il pleut en ce Pays des Femmes et des Lavements.
253,Comment donc ?,"Deux carognes de baragouineuses me sont venues accuser de les avoir épousées toutes deux, et me menacent de la justice."
254,"Voilà une méchante affaire, et la justice en ce Pays-ci est rigoureuse en diable contre cette sorte de crime.","Oui : Mais quand il y aurait Information, Ajournement, Décret, et Jugement obtenu par surprise, Défaut et Contumace, j’ai la voie de Conflit de Juridiction, pour temporiser et venir aux Moyens de nullité qui seront dans les Procédures."
255,"Voilà en parler dans tous les termes ; et l’on voit bien, Monsieur, que vous êtes du métier.","Moi, point du tout, je suis Gentilhomme."
256,"Il faut bien pour parler ainsi, que vous ayez étudié la Pratique.","Point, ce n’est que le sens commun qui me fait juger que je serai toujours reçu à mes Faits justificatifs, et qu’on ne me saurait condamner sur une simple accusation, sans un récolement et confrontation avec mes Parties."
257,En voilà du plus fin encore.,Ces mots-là me viennent sans que je les sache.
258,Il me semble que le sens commun d’un Gentilhomme peut bien aller à concevoir ce qui est du droit et de l’ordre de la Justice ; mais non pas à savoir les vrais termes de la Chicane.,Ce sont quelques mots que j’ai retenus en lisant les Romans.
259,Ah fort bien.,"Pour vous montrer que je n’entends rien du tout à la Chicane, je vous prie de me mener chez quelque Avocat pour consulter mon Affaire."
260,"Je le veux, et vais vous conduire chez deux Hommes fort habiles ; mais j’ai auparavant à vous avertir de n’être point surpris de leur manière de parler ; ils ont contracté du Barreau certaine habitude de Déclamation, qui fait que l’on dirait qu’ils chantent, et vous prendrez pour Musique tout ce qu’ils vous diront.","Qu’importe comme ils parlent, pourvu qu’ils me disent ce que je veux savoir."
261,"Oui, les choses s’acheminent où nous voulons : Et comme ses lumières sont fort petites, et son sens le plus borné du monde, je lui ai fait prendre une frayeur si grande de la sévérité de la Justice de ce Pays, et des apprêts qu’on faisait déjà pour sa mort, qu’il veut prendre la fuite ; et pour se dérober avec plus de facilité aux Gens que je lui ai dit qu’on avait mis pour l’arrêter aux Portes de la Ville, il s’est résolu à se déguiser, et le déguisement qu’il a pris est l’habit d’une Femme.",Je voudrais bien le voir en cet équipage.
262,"Songez de votre part à achever la Comédie ; et tandis que je jouerai mes Scènes avec lui, allez-vous-en… Vous entendez bien ?",Oui.
263,Et lorsque je l’aurai mis où je veux…,Fort bien.
264,Et quand le Père aura été averti par moi…,Cela va le mieux du monde.
265,"Voici notre Demoiselle, allez vite, qu’il ne nous voie ensemble.","Pour moi, je ne crois pas qu’en cet état on puisse jamais vous connaître, et vous avez la mine comme cela, d’une Femme de condition."
266,"Voilà qui m’étonne, qu’en ce Pays-ci les formes de la Justice ne soient point observées.","Oui, je vous l’ai déjà dit, ils commencent ici par faire pendre un Homme, et puis ils lui font son Procès."
267,Voilà une Justice bien injuste.,"Elle est sévère comme tous les Diables, particulièrement sur ces sortes de crimes."
268,Mais quand on est innocent ?,"N’importe, ils ne s’enquêtent point de cela ; et puis ils ont en cette Ville une haine effroyable pour les Gens de votre Pays, et ils ne sont point plus ravis que de voir pendre un Limosin."
269,Qu’est-ce que les Limosins leur ont fait ?,"Ce sont des brutaux, ennemis de la gentillesse et du mérite des autres Villes. Pour moi, je vous avoue que je suis pour vous dans une peur épouvantable ; et je ne me consolerais de ma vie, si vous veniez à être pendu."
270,"Ce n’est pas tant la peur de la mort qui me fait fuir, que de ce qu’il est fâcheux à un Gentilhomme d’être pendu, et qu’une preuve comme celle-là ferait tort à nos Titres de Noblesse.","Vous avez raison, on vous contesterait après cela le Titre d’Écuyer. Au reste, étudiez-vous, quand je vous mènerai par la main, à bien marcher comme une Femme, et prendre le langage et toutes les manières d’une Personne de qualité."
271,"Laissez-moi faire, j’ai vu les Personnes du bel air ; tout ce qu’il y a, c’est que j’ai un peu de barbe.","Votre barbe n’est rien, et il y a des Femmes qui en ont autant que vous. Çà, voyons un peu comme vous ferez. Bon."
272,"Allons donc, mon Carrosse ; où est-ce qu’est mon Carrosse ? Mon Dieu, qu’on est misérable, d’avoir des Gens comme cela ! Est-ce qu’on me fera attendre toute la journée sur le pavé, et qu’on ne me fera point venir mon Carrosse ?",Fort bien.
273,"Holà ! ho, Cocher, petit Laquais. Ah petit fripon, que de coups de fouet je vous ferai donner tantôt ! Petit Laquais, petit Laquais ; où est-ce donc qu’est ce petit Laquais ? ce petit Laquais ne se trouvera-t-il point ? ne me fera-t-on point venir ce petit Laquais ? est-ce que je n’ai point un petit Laquais dans le monde ?","Voilà qui va à merveille : mais je remarque une chose, cette Coiffe est un peu trop déliée, j’en vais quérir une un peu plus épaisse, pour vous mieux cacher le visage, en cas de quelque rencontre."
274,Que deviendrai-je cependant ?,Attendez-moi là. Je suis à vous dans un moment ; vous n’avez qu’à vous promener.
275,"Allons, dépêchons, Camerade, li faut allair tous deux nous à la Crève pour regarter un peu chousticier sti Monsiu de Porcegnac qui l’a esté contané par Ortonnance à l’être pendu par son cou.",Li faut nous loër un fenestre pour foir sti Choustice.
276,Li disent que l’on fait téjà planter un grand potence tout neuve pour li accrocher sti Porcegnac.,"Ly sira, ma foi, un grand plaisir, d’y regarter pendre sti Limosin."
277,"Oui, de li foir gambiller les pieds en haut tevant tout le monde.","Li est un plaisant drole, oui ; li disent que c’être marié trois foye."
278,Sti diable li vouloir trois Femmes à li tout seul ; li est bien assez t’une.,"Ah pon chour, Mameselle."
279,Que faire fous là tout seul ?,"J’attends mes Gens, Messieurs."
280,"Li est belle, par mon foi.","Doucement, Messieurs."
281,"Fous, Mameselle, fouloir finir réchouir fous à la Crève ? Nous faire foir à fous un petit pendement pien choli.",Je vous rends grâce.
282,"L’est un Gentilhomme Limossin qui sera pendu chantiment, à un grand potence.",Je n’ai pas de curiosité.
283,Li est là un petit teton qui l’est drole.,Tout beau.
284,"Mon foy, moi couchair pien avec fous.","Ah c’en est trop, et ces sortes d’ordures-là ne se disent point à une Femme de ma condition."
285,"Laisse, toi, l’est moi qui le veut couchair avec elle.",Moy ne vouloir pas laisser.
286,"Moi li vouloir, moi.",Moi ne faire rien.
287,Toi l’avoir menti.,Toi l’avoir menty toi-même.
288,"Au secours, à la force.","Qu’est-ce ? quelle violence est-ce là ? et que voulez-vous faire à Madame ? Allons, que l’on sorte de là, si vous ne voulez que je vous mette en prison."
289,"Parti pon, toi ne l’afoir point.","Parti pon aussi, toi ne l’afoir point encore."
290,"Je vous suis bien obligée, Monsieur, de m’avoir délivrée de ces insolents.","Ouais, voilà un visage qui ressemble bien à celui que l’on m’a dépeint."
291,"Ce n’est pas moi, je vous assure.","Ah, ah ! qu’est-ce que je veux dire ?"
292,Je ne sais pas.,Pourquoi donc dites-vous cela ?
293,Pour rien.,"Voilà un discours qui marque quelque chose, et je vous arrête prisonnier."
294,"Eh, Monsieur, de grâce.","Non, non : à votre mine, et à vos discours, il faut que vous soyez ce Monsieur de Pourceaugnac que nous cherchons, qui se soit déguisé de la sorte ; et vous viendrez en prison tout à l’heure."
295,Hélas !,Ah Ciel ! que veut dire cela ?
296,Ils m’ont reconnu.,"Oui, oui, c’est de quoi je suis ravi."
297,"Eh ! Monsieur, pour l’amour de moi : vous savez que nous sommes Amis il y a longtemps ; je vous conjure de ne le point mener en prison.",Non ; il m’est impossible.
298,Vous êtes Homme d’accommodement ; n’y a-t-il pas moyen d’ajuster cela avec quelques Pistoles ?,Retirez-vous un peu.
299,Il faut lui donner de l’argent pour vous laisser aller ; Faites vite.,Ah maudite Ville !
300,"Tenez, Monsieur.",Combien y a-t-il ?
301,"Un, deux, trois, quatre, cinq, six, sept, huit, neuf, dix.","Non, mon ordre est trop exprès."
302,"Mon Dieu attendez. Dépêchez, donnez-lui-en encore autant.",Mais…
303,"Dépêchez-vous, vous dis-je, et ne perdez point de temps : Vous auriez un grand plaisir, quand vous seriez pendu.",Ah !
304,"Tenez, Monsieur.","Il faut donc que je m’enfuie avec lui, car il n’y aurait point ici de sûreté pour moi. Laissez-le-moi conduire, et ne bougez d’ici."
305,Je vous prie donc d’en avoir un grand soin.,"Je vous promets de ne le point quitter, que je ne l’aie mis en lieu de sûreté."
306,Adieu. Voilà le seul honnête Homme que j’ai trouvé en cette Ville.,"Ne perdez point de temps ; je vous aime tant, que je voudrais que vous fussiez déjà bien loin. Que le Ciel te conduise ! Par ma foi, voilà une grande dupe. Mais voici…"
307,"Ah ! quelle étrange aventure ! quelle fâcheuse nouvelle pour un Père ! Pauvre Oronte, que je te plains ! Que diras-tu ? et de quelle façon pourras-tu supporter cette douleur mortelle ?",Qu’est-ce ? quel malheur me présages-tu ?
308,"Ah ! Monsieur, ce perfide de Limosin, ce traître de Monsieur de Pourceaugnac vous enlève votre Fille.",Il m’enlève ma Fille !
309,"Oui ; elle en est devenue si folle, qu’elle vous quitte pour le suivre ; et l’on dit qu’il a un Caractère pour se faire aimer de toutes les Femmes.",Allons vite à la Justice. Des Archers après eux.
310,"Allons, vous viendrez malgré vous, et je veux vous remettre entre les mains de votre Père. Tenez, Monsieur, voilà votre Fille que j’ai tirée de force d’entre les mains de l’Homme avec qui elle s’enfuyait ; non pas pour l’amour d’elle, mais pour votre seule considération : car après l’action qu’elle a faite, je dois la mépriser, et me guérir absolument de l’amour que j’avais pour elle.",Ah infâme que tu es !
311,"Comment ? me traiter de la sorte, après toutes les marques d’amitié que je vous ai données ! Je ne vous blâme point de vous être soumise aux volontés de Monsieur votre Père ; il est sage et judicieux dans les choses qu’il fait, et je ne me plains point de lui de m’avoir rejeté pour un autre. S’il a manqué à la parole qu’il m’avait donnée, il a ses raisons pour cela. On lui a fait croire que cet autre est plus riche que moi de quatre ou cinq mille écus ; et quatre ou cinq mille écus est un denier considérable, et qui vaut bien la peine qu’un Homme manque à sa parole : Mais oublier en un moment toute l’ardeur que je vous ai montrée, vous laisser d’abord enflammer d’amour pour un nouveau venu, et le suivre honteusement sans le consentement de Monsieur votre Père, après les crimes qu’on lui impute, c’est une chose condamnée de tout le monde, et dont mon cœur ne peut vous faire d’assez sanglants reproches.","Hé bien ! oui, j’ai conçu de l’amour pour lui, et je l’ai voulu suivre, puisque mon Père me l’avait choisi pour Époux. Quoi que vous me disiez, c’est un fort honnête Homme ; et tous les crimes dont on l’accuse, sont faussetés épouvantables."
312,"Taisez-vous ! Vous êtes une impertinente, et je sais mieux que vous ce qui en est.","Ce sont sans doute des pièces qu’on lui fait, et c’est peut-être lui qui a trouvé cet artifice pour vous en dégoûter."
313,"Moi, je serais capable de cela !","Oui, vous."
314,"Taisez-vous, vous dis-je ? vous êtes une sotte.","Non, non, ne vous imaginez pas que j’aie aucune envie de détourner ce Mariage, et que ce soit ma passion qui m’ait forcé à courir après vous. Je vous l’ai déjà dit, ce n’est que la seule considération que j’ai pour Monsieur votre Père, et je n’ai pu souffrir qu’un honnête Homme comme lui fût exposé à la honte de tous les bruits qui pourraient suivre une action comme la vôtre."
315,"Je vous suis, Seigneur Éraste, infiniment obligé.","Adieu, Monsieur, j’avais toutes les ardeurs du monde d’entrer dans votre Alliance ; j’ai fait tout ce que j’ai pu pour obtenir un tel honneur, mais j’ai été malheureux, et vous ne m’avez pas jugé digne de cette grâce. Cela n’empêchera pas que je ne conserve pour vous les sentiments d’estime et de vénération où votre Personne m’oblige ; et si je n’ai pu être votre Gendre, au moins serai-je éternellement votre Serviteur."
316,"Arrêtez, Seigneur Éraste ; votre procédé me touche l’âme, et je vous donne ma Fille en mariage.",Je ne veux point d’autre Mari que Monsieur de Pourceaugnac.
317,"Et je veux, moi, tout à l’heure, que tu prennes le Seigneur Éraste. Çà, la main.","Non, je n’en ferai rien."
318,Je te donnerai sur les oreilles.,"Non, non, Monsieur, ne lui faites point de violence, je vous en prie."
319,"C’est à elle à m’obéir, et je sais me montrer le Maître.","Ne voyez-vous pas l’amour qu’elle a pour cet Homme-là ? Et voulez-vous que je possède un Corps, dont un autre possédera le cœur ?"
320,"C’est un sortilège qu’il lui a donné, et vous verrez qu’elle changera de sentiment avant qu’il soit peu. Donnez-moi votre main. Allons.",Je ne…
321,"Ah que de bruit. Çà, votre main, vous dis-je. Ah, ah, ah.","Ne croyez pas que ce soit pour l’amour de vous que je vous donne la main ; ce n’est que de Monsieur votre Père dont je suis amoureux, et c’est lui que j’épouse."
322,"Je vous suis beaucoup obligé, et j’augmente de dix mille écus le Mariage de ma Fille. Allons, qu’on fasse venir le Notaire pour dresser le Contrat.","En attendant qu’il vienne, nous pouvons jouir du divertissement de la Saison, et faire entrer les Masques que le bruit des Noces de Monsieur de Pourceaugnac a attirés ici de tous les endroits de la Ville."
